Unnamed: 0,Document Title,Abstract,time,label
310,310,4f37aa19,get same T_ and most likely same system matrix now,1540316280.27193,0
30,30,fd9bac19,Correct the implementation of Input as a Singleton. Trying to recover the work I lost on the interface.,1540316904.666655,1
281,281,dfd7fd20,Fix visibility header,1540316570.011189,0
294,294,35c1b4f1,Fixed errors in CMakeLists.txt,1540316485.2415712,0
150,150,264f4656,fixed stupid bug,1540316370.38187,1
126,126,c028f7ac,Fix some inconsistencies in wavelet cavity generation,1540316452.524179,1
175,175,dfda032c,Fix calculation of S matrix inverse (#156),1540316235.567951,1
160,160,4a7af635,Correct a potential bug in the tear_down_pcm_ function (double delete...),1540316339.721105,1
6,6,b93dce58,added scaling Factor in WaveletCavity and adapted the calculation of asc in c6h6,1540317213.297038,1
103,103,5dc6fcdc,Simple fix in GenericMacros.cmake,1540316546.7446961,1
322,322,993056ca,Include fstream in MathUtils.hpp,1540316182.1976054,0
95,95,e1d35795,Fix generation of faulty static library,1540316589.550923,1
26,26,57f4303e,Found and solved a bug when requesting Explicit initialization of the spheres list.,1540316921.812753,1
287,287,0d364f17,Fix Doxygen warnings,1540316513.502958,0
145,145,9295432e,Roberto: fixed osx-error,1540316386.8150382,1
190,190,7c82244e,Various fixes for cavity formation.,1540316191.196768,1
271,271,7acf877d,Fix messy Travis CI builds,1540316640.2286901,0
176,176,658266c0,compilation succesfull. not inlcuded molecule in energy calculation,1540316232.1034741,1
308,308,6d4a0c84,Changed names in basis.h routines,1540316283.458986,0
39,39,4cfdaf0c,Correct warts in Boost build-up,1540316875.123939,1
76,76,fb42e2cb,Minor tweaks (following Coverity analysis),1540316708.005142,1
315,315,97083ec4,energy --> energy_pwl,1540316265.2020938,0
170,170,9682c106,Small corrections.,1540316256.189962,1
173,173,a9bc698a,Minor mods to names used for volume function in pwl.,1540316247.608476,1
97,97,022f7614,Fix versioning regex (#128),1540316585.9695768,1
289,289,72ad1e1c,Fix stupid typo.,1540316503.640759,0
32,32,a7fd22a1,pow(int  int) is not an ammissible overload before C++11. Correct.,1540316900.324612,1
19,19,1221dfaa,Super big polishing commit. The order of includes IS IMPORTANT  I will document in the programmers' manual how to do it properly. The coupling between wavelet cavity and wavelet solver (issue 368) MUST be solved.,1540316975.370751,1
139,139,4e68ca1c,Fixed two bugs.,1540316412.823917,1
250,250,0b7320ec,Correct a comparison of integers of different signs warning.,1540316929.411778,0
144,144,96efb9d6,WEMRHS2M call fixed - still error with GreensFunction,1540316391.796189,1
272,272,e139533b,Fix read-in of old .npz files,1540316633.4349134,0
52,52,cdd916b7,Change calculation of parity. This is used in the block-diagonalization of the PCM matrix,1540316797.029244,1
280,280,5091cad7,Fix some install rules issues,1540316574.5046868,0
314,314,7b334b12,Some changes due to libgetkw,1540316267.442871,0
122,122,8fbb76b5,Explicit mode cavity setup test fixed,1540316468.041523,1
98,98,aee88f58,Fix race condition when building,1540316582.168451,1
239,239,f4d0444f,Wavelet cavity code compiles and generates a dump. No clue what to do with it for now...,1540317014.6774929,0
184,184,0745e6bc,Minor modifications.,1540316201.4588554,1
75,75,5d6b3066,Fixed default template parameter problem for non C++11 compilers,1540316711.292432,1
207,207,33617205,Correct typo in script...,1540317164.574125,0
258,258,79fc89b5,Correct an error in the top-level CMakeLists.txt.,1540316855.36218,0
123,123,f86c962b,Explicit mode cavity setup test fixed,1540316466.615114,1
246,246,baf62f2b,Kill execution if wavelet cavity with only one generating sphere is asked.,1540316982.62783,0
235,235,d6866092,Removes checks on a and d' compression params from input. We read Maharavo's file for the cavity,1540317050.141956,0
254,254,0919f97a,Correct a double / in CMakeLists.txt,1540316864.103194,0
34,34,155b5039,Solved a bug in the symmetric cavity generator.,1540316896.523358,1
63,63,790768e5,Correct dependency on Boost and compilation errors for a test source file,1540316748.902066,1
36,36,bc281724,debugging wavelet cavity,1540316885.011699,1
42,42,cebb8137,Correct possible string overflow,1540316867.67802,1
