Unnamed: 0,Document Title,Abstract,time,label
90,90,1fb279eb,DRR - Cpptraj: Fix up binary suffix determination for tests. Add 'cuda' test option.,1539150008.359876,1
436,436,969b13a1,Merge pull request #25 from hainm/update_parmed,1539148776.203116,1
179,179,da750df7,DRR - Cpptraj: Fix passing of default options in actions.,1539149664.155848,1
781,781,ff3d371d,DRR - Cpptraj: Change default for hb cutoff back to 3.5  reduce vertical separation cutoff to 2.0 (still may be a bit too big). Fix base pair step determination  base pairs are indexed by residue number.,1539147842.846143,1
475,475,8e768977,Merge pull request #337 from drroe/test_targets,1539148727.269901,1
654,654,ebb4b008,Merge pull request #331 from drroe/fix_cif,1539148464.9478462,1
300,300,f72ed494,DRR - Cpptraj: Fix segfault in some routines using COORDS sets when velocities are present.,1539149258.807285,1
470,470,a18023bc,Merge pull request #501 from drroe/charmm_repd_logs,1539148736.348905,1
402,402,ac5dea44,Update CMake submodule  and fix CI scripts for new version,1539148959.606462,1
696,696,d9ae1d2f,Merge pull request #176 from drroe/frame_externalmem_assign,1539148359.570159,1
426,426,d6fd0351,Merge pull request #203 from rmcgibbo/check-netcdf,1539148789.835442,1
838,838,798c5333,DRR - Cpptraj: Fix code doc,1539149993.84553,0
596,596,9f7f2813,Merge pull request #470 from drroe/fix_mem_errors,1539148527.427793,1
265,265,431211fd,DRR - Cpptraj: Fix single ensemble for 'nosort',1539149389.133891,1
