,index,hash,time,message,buggy
17,17,c88e3fe,2008-01-31 11:44:55,Fixed a bug I must have introduced when trying to make PSF reading faster by preallocating the bond  angle  etc lists  but I was only including the last item that was read in each line - also disabled building of bondlists on each atom for the Bond selection  since noone's using it and it really slows down reading a psf This corresponds to r22 in /code/MDAnalysis.,0
18,18,b3f6a4e,2008-01-31 11:45:02,Fixed Timeseries so that you can pass in an AtomGroup This corresponds to r23 in /code/MDAnalysis.,1
18,18,b3f6a4e,2008-01-31 11:45:02,Fixed Timeseries so that you can pass in an AtomGroup This corresponds to r23 in /code/MDAnalysis.,0
19,19,c421884,2008-01-31 11:45:09,Import common objects into base namespace  also fixed some things in AtomGroup.py This corresponds to r24 in /code/MDAnalysis.,1
32,32,5f7dffa,2008-01-31 11:46:58,Updated schlitter example to automatically remove translational and rotational degrees of freedom This corresponds to r42 in /code/MDAnalysis.,0
33,33,4084aae,2008-01-31 11:47:06,Fixed delaunay tetrahedronalization This corresponds to r43 in /code/MDAnalysis.,1
33,33,4084aae,2008-01-31 11:47:06,Fixed delaunay tetrahedronalization This corresponds to r43 in /code/MDAnalysis.,0
34,34,14cf0e5,2008-01-31 11:47:13,Small psf parsing bug when there are 0 entries for a particular potential term This corresponds to r44 in /code/MDAnalysis.,1
34,34,14cf0e5,2008-01-31 11:47:13,Small psf parsing bug when there are 0 entries for a particular potential term This corresponds to r44 in /code/MDAnalysis.,0
35,35,0b6c4cb,2008-01-31 11:47:20,Fixed PSF parsing when number of residues is greater than 10000 This corresponds to r45 in /code/MDAnalysis.,1
36,36,20d0a9b,2008-01-31 11:47:35,Finally - MDAnalysis has been updated to use numpy. Have fun!,0
37,37,a55e6bd,2008-01-31 11:47:43,Small bug in distances helper code This corresponds to r47 in /code/MDAnalysis.,1
38,38,2a8e613,2008-01-31 11:47:50,added prototype because compiler complained This corresponds to r48 in /code/MDAnalysis.,0
39,39,ab34cb3,2008-01-31 11:47:57,* in comments: changes to make it compile on Mac OS X 10.3.9 without intel compiler and libs. The current version still compiles as before with intel. * added the numpy includes to rms fitting as well (otherwise it failed for me) This corresponds to r49 in /code/MDAnalysis.,1
40,40,e76542d,2008-01-31 11:48:04,use numpy.linalg (with old Numeric LinearAlgebra it does not work anymore) This corresponds to r50 in /code/MDAnalysis.,0
41,41,9199c09,2008-01-31 11:48:11,fixed: Bug in psf parser would not read charges correctly. Eg 0.900000E-01 would be read as 0.9 and not lead to an exception. This means that anything done with MDAnalysis and charge analysis in the past needs to be rechecked. I referencedd the Charmm source code for the authoritative PSF format. This corresponds to r51 in /code/MDAnalysis.,1
41,41,9199c09,2008-01-31 11:48:11,fixed: Bug in psf parser would not read charges correctly. Eg 0.900000E-01 would be read as 0.9 and not lead to an exception. This means that anything done with MDAnalysis and charge analysis in the past needs to be rechecked. I referencedd the Charmm source code for the authoritative PSF format. This corresponds to r51 in /code/MDAnalysis.,0
42,42,0bd1bdf,2008-01-31 11:48:18,Tidied up the AtomGroup class and fixed a few minor bugs This corresponds to r52 in /code/MDAnalysis.,1
42,42,0bd1bdf,2008-01-31 11:48:18,Tidied up the AtomGroup class and fixed a few minor bugs This corresponds to r52 in /code/MDAnalysis.,0
43,43,4ee5bb4,2008-01-31 11:48:29,Cleanup of code and minor bug fixes related to esoteric indexing of trajectories This corresponds to r53 in /code/MDAnalysis.,1
45,45,fe5e1f3,2008-01-31 11:48:44,Some more odd cases for indexing a trajectory This corresponds to r55 in /code/MDAnalysis.,0
46,46,a49584c,2008-01-31 11:48:51,Fixed some timeseries bugs - upgraded to work with numpy. Now individual timeseries objects can be treated like numpy arrays This corresponds to r56 in /code/MDAnalysis.,1
48,48,a5aaa2f,2008-01-31 11:49:13,Documentation for release This corresponds to r58 in /code/MDAnalysis.,0
49,49,4e539e4,2008-01-31 11:49:20,Fixed documentation This corresponds to r59 in /code/MDAnalysis.,1
51,51,8cfd130,2008-01-31 11:49:34,Universe can read a structure from a PDB file * added PDB module  the reader is attempting to fake the DCDReader * PDB uses BioPython * added pdb managed attribute to Universe class.,0
52,52,18ec2db,2008-01-31 11:49:47,fixed protein selection: Charmm Histidine residues were left out of the protein selection This corresponds to r63 in /code/MDAnalysis.,1
52,52,18ec2db,2008-01-31 11:49:47,fixed protein selection: Charmm Histidine residues were left out of the protein selection This corresponds to r63 in /code/MDAnalysis.,0
53,53,071b3c1,2008-01-31 11:49:54,fixed: centerOfMass()  centerOfGeometry()  radiusOfGyration() were broken because numpy.sum() now HAS to include the axis This corresponds to r64 in /code/MDAnalysis.,1
55,55,51319af,2008-01-31 11:50:13,Documentation for the atomSelection function - also added Point selection to select atoms around a point  optimized around point and property selections This corresponds to r66 in /code/MDAnalysis.,0
56,56,9e0e37b,2008-01-31 11:50:21,Fixed some bugs with equality testing using == instead of 'is'  also added potential_profile example This corresponds to r67 in /code/MDAnalysis.,1
56,56,9e0e37b,2008-01-31 11:50:21,Fixed some bugs with equality testing using == instead of 'is'  also added potential_profile example This corresponds to r67 in /code/MDAnalysis.,0
57,57,803b03d,2008-01-31 11:50:28,Fixed a typo in name of function in DCD class This corresponds to r68 in /code/MDAnalysis.,1
60,60,cb29d56,2008-01-31 11:50:50,Can calculate the distance array without minimum image by setting bpx=None. This makes sense when working on RMS-fitted trajectories which do not obey the original PBC any more. This code avoids having to use a stupid hack like box = 2*box and is perhaps 25% faster by leaving out minimage() This corresponds to r71 in /code/MDAnalysis.,0
61,61,5d61666,2008-01-31 11:50:57,fixed: AROUND selection (Naveen) This corresponds to r72 in /code/MDAnalysis.,1
64,64,c4d8fc2,2008-01-31 11:51:19,Forgot to actually parse the 'all' token in selections This corresponds to r75 in /code/MDAnalysis.,0
65,65,617c3f2,2008-01-31 11:51:26,Fixed coordinate based selections on AtomGroups This corresponds to r76 in /code/MDAnalysis.,1
66,66,a568244,2008-01-31 11:51:33,Stupid difference in numpy.nonzero between versions of numpy - later versions return a tuple This corresponds to r77 in /code/MDAnalysis.,0
67,67,5fe1352,2008-01-31 11:51:49,fixed sanity check on result (seg faulted before),1
67,67,5fe1352,2008-01-31 11:51:49,fixed sanity check on result (seg faulted before),0
68,68,f7faed3,2008-01-31 11:51:56,fixed: typo (lead to NameError: results) This corresponds to r81 in /code/MDAnalysis.,1
70,70,1e9e46f,2008-01-31 11:52:10,only doc changes,0
71,71,9868860.0,2008-01-31 11:52:17,fixed charge parser This corresponds to r84 in /code/MDAnalysis.,1
73,73,eee8a69,2008-01-31 11:52:35,LAMMPSParser: proper psf formatting This corresponds to r86 in /code/MDAnalysis.,0
74,74,d399950,2008-01-31 11:52:42,Coordinates now returns a brand new array - doesn't break any of the numtools c functions that don't check for contiguity - long term we should fix the c functions to work properly with non-contiguous arrays This corresponds to r87 in /code/MDAnalysis.,1
75,75,c770738,2008-01-31 11:52:49,Under certain circumstances  numframes is not (yet) defined and then repr throws an exception so I removed numframes from the representation.,0
76,76,cfd0d8c,2008-01-31 11:52:56,- distance_array bug: need to copy() to get a contigious array - AROUND selection: if periodic = False then do not use minimum image   convention when looking for neighbours. The default is now True to   get the behaviour from previous version of MDAnalysis.   Note: I'm not sure if the AROUND selection is working properly at         all. It didn't work for me before and it needs to be tested         again.,1
80,80,f76af61,2008-01-31 11:53:27,updated version to 0.5-rc1 in order to put a tar ball up on google code This corresponds to r93 in /code/MDAnalysis.,0
81,81,fb1c908,2008-01-31 11:53:36,Release tar ball.  - Change version to 0.5.0  (.0 signifies alpha status  later use a1  a2  b1  b2    after the patch version)  - Added MANIFEST.in to include doc files and all the necessary header files as they are    not automatically picked up by distutils (apparently  a bug: 'getting C library   sources currently broken--no get_source_files() method in build_clib.py')   Also need to pick up all pyrex files and the docs - Revamped docs a little bit. - NOTE: python setup.py install --prefix=mydir is not working properly  it still         tries to install something in the site-wide dir   Added links to googlecode and a template for acknowledgements. - Tested the sdist and managed to compile bot on MAc OS X and Linux (CentOS 4.2 with   modern numpy (> 1.0.3)) - updated CHANGELOG This corresponds to r94 in /code/MDAnalysis.,1
84,3,b53c031,2008-02-10 23:59:51,Added bfactors property to the AtomGroup. It is only set when the structure is loaded from a PDB file. The bfactors array itself is an attribute of the Universe (because it makes no sense to attach it to the time step as it is only defined for a single frame) and handled as a managed attribute in AtomGroups. (Change where bfactors[] resides?),0
85,4,67d7a1a,2008-02-11 18:23:23,numpy.array only makes a copy if you force it. This should fix the problem with AtomGroup.coordinates() function and distance_array,1
89,8,85b6118,2008-02-20 17:26:10,House keeping: - added generated files to svn:ignore - added a little bit to TODO and made sure that it gets into the tar ball,0
90,90,bf338f5,2008-02-25 00:43:35,"Issue #6: ""accessing coordinate functions of universe segments fails"" was caused by my previous skipping of the check for an empty AtomGroup. Reverted to previous version.",1
93,93,0c907a8,2008-02-28 02:35:29,Universe: Convenience functionality for interactive work: if the dcd argument has a extension 'pdb' then we try to load it as a pdb. The dcd exception handling is not robust enough yet (e.g. segmentation faults occur when accessing self.dcd after erroneously loading a dcd) so we cannot do a simple try: load_dcd() ... except IOError.,0
94,94,2fb5875,2008-02-28 02:45:34,Fixed: check for dcd extension always failed,1
96,96,57a2bbb,2008-05-18 13:21:30,Universe now knows the filename of the psf file it was built from  dcd and pdb instances also have the filename attribute.,0
97,97,d70bb1c,2008-06-22 03:59:51,fixed: exception did not display psf file name,1
101,0,8cbdc55,2008-08-23 00:02:50,Branch to test pre 0.5.1 (This is UNSTABLE and any given svn version may be completely broken),0
102,101,4dc0d3d,2008-08-23 00:36:29,Release 0.5.1: bugfixes and some enhancements that accrued over the last few months (see CHANGELOG for details). - LICENSE was updated with the UIUC Open Source License (catdcd code) - updated email addresses etc in README - updated TODO (distance_array bug fixed) - added keyword expansion for some of the doc files so that Id lines are   properly shown,1
107,4,b9d4f29,2008-08-23 04:15:04,initial work on defining hydrogen bonds,0
108,5,842210f,2008-08-23 12:49:35,UNSTABLE: fixes in HBond (at least now it runs...),1
108,5,842210f,2008-08-23 12:49:35,UNSTABLE: fixes in HBond (at least now it runs...),0
109,6,4630319,2008-08-23 12:51:23,UNSTABLE: fixed __init__.py fles so that we really present the same names in the MDAnalysis name space as before the reorganization,1
113,10,652d487,2008-08-24 23:02:23,New functionality in NeighborSearch: - CoordinateNeighborSearch(): takes coordinate arrays   AtomNeighborSearch(): takes AtomGroups (or anything with a   coordinates()) method. In MDAnalysis we are only using   CoordinateNeighborSearch() at the moment. - New search_list() method to find all A within R of B.,0
114,11,4cfbf64,2008-08-24 23:13:35,Distance selections: - AROUND and POINT work when applied to a universe (there's still a   bug present that prevents proper use with AtomGroups)  I fixed a bug   that made these selections spit out total garbage or crash - AROUND uses by default KDTree neighbor search and is about 7x faster   than the distance matrix based routine (still  it is even better to   explicitly construct such selections with AtomGroups and   KDTree.NeighborSearch.AtomNeighborSearch),1
114,11,4cfbf64,2008-08-24 23:13:35,Distance selections: - AROUND and POINT work when applied to a universe (there's still a   bug present that prevents proper use with AtomGroups)  I fixed a bug   that made these selections spit out total garbage or crash - AROUND uses by default KDTree neighbor search and is about 7x faster   than the distance matrix based routine (still  it is even better to   explicitly construct such selections with AtomGroups and   KDTree.NeighborSearch.AtomNeighborSearch),0
115,12,b842b018,2008-08-25 01:08:25,fixed: threw exception if no atom was found at all  now just returns empty index list,1
117,14,2e4d939,2008-08-25 19:47:34,Added order='C' to make clear what the array layout should be  this does not change anything because the numpy default is 'C' anyway.,0
118,15,eca9dd9,2008-08-25 20:25:39,fixed: typo  entity unwrapping of segment should now really return a segment,1
118,15,eca9dd9,2008-08-25 20:25:39,fixed: typo  entity unwrapping of segment should now really return a segment,0
119,16,68dc377,2008-08-31 21:36:32,fixed: 'from MDAnalysis import *' did not get Universe and collection into the main name space (in the same way as the old MDAnalysis did),1
119,16,68dc377,2008-08-31 21:36:32,fixed: 'from MDAnalysis import *' did not get Universe and collection into the main name space (in the same way as the old MDAnalysis did),0
120,17,0e75b0d,2008-08-31 23:14:57,fixed: copy does not take kw args,1
120,17,0e75b0d,2008-08-31 23:14:57,fixed: copy does not take kw args,0
121,18,23b347d,2008-09-01 01:59:50,Framework to organize flags: setup the core.flags instance in __init__.py and import where necessary. Values can be changed interactively and include error checks on values.,1
125,22,210d85b,2008-09-01 11:38:30,docs: more on periodic selections,0
126,23,d232c0b,2008-09-01 11:40:21,AtomGroup.coordinates() returns a VIEW on the array if it can (copy=False)  the copy=True hack was supposed to help with the old distance array bug but this has been fixed independently. I don't think that we need copy=True here but perhaps one should proceed with some caution. For testing the argument is left in the method.,1
126,23,d232c0b,2008-09-01 11:40:21,AtomGroup.coordinates() returns a VIEW on the array if it can (copy=False)  the copy=True hack was supposed to help with the old distance array bug but this has been fixed independently. I don't think that we need copy=True here but perhaps one should proceed with some caution. For testing the argument is left in the method.,0
127,24,c7e2a6a,2008-09-02 15:17:08,- fixed installation bug  can now do 'python setyp.py --prefix=~/my/pydir' at the cost of not installing the docs  however it's not really clear where the docs should go. > - new scheme for labelling UNSTABLE releases: get global revision with svnversion and put this number + 1 into RELESE. This way we weill be able to produce nice svn snapshot tarballs.,1
132,29,fcfd6f1,2009-01-20 19:47:24,dummy Biopython when pdb-loading functionality is not needed and Biopythn not available,0
133,30,4643eb6,2009-01-21 17:45:33,fixed: pdb file output could not be read by Charmm even though it was technical legal pdb 3.2.,1
133,30,4643eb6,2009-01-21 17:45:33,fixed: pdb file output could not be read by Charmm even though it was technical legal pdb 3.2.,0
134,31,99000bf,2009-01-21 23:47:27,fixed: pdb format was off  apparently one has to strip all spaces from name and resName,1
137,34,f41a5c5,2009-04-18 14:47:36,release candidate 1: - updated docs (README  INSTALL) - added examples + short README.txt - cranked RELEASE,0
138,35,02e9bce,2009-08-11 21:11:30,- CRDWriter added (denniej0) - fixed a bug in PrimitivePDBWriter: would only work if run from a base AtomGroup  not a derived   class such as a segment - updated CHANGELOG and TODO,1
140,37,a7dc12f,2009-08-11 23:06:22,checking in my deleted charmm format and altering title,0
141,38,3d207f4,2009-08-11 23:10:43,fixed: lone star can not have space  must be '*\n'.,1
153,1,0adf5d2,2010-04-06 18:47:50,removed empty python dir (should have done this with the 0.6.0 release),0
154,2,d06aa63,2010-04-08 16:59:48,FIXED: problem in PDB.PDBWriter  also bumped version as we are working towards 0.6.1,1
155,3,96b2148,2010-04-26 15:16:22,updated INSTALL: easy_install is mostly working,0
156,4,81ed228,2010-04-26 15:16:28,FIXES Issue #22 (Universe.dimensions broken),1
157,5,f196e19,2010-04-30 21:42:55,Merge branch 'orbeckst',0
158,109,ef40fc0,2010-04-30 22:08:33,added patches that were lost in the last orbeckst -> trunk merge - crucial fix of old pyrex loops in src/dcd/dcdtimeseries.pyx - experimental HBond.py re-added - fixed date in CHANGELOG...,1
160,8,0e4728c,2010-04-30 22:34:03,release 0.6.1 - bumped version - cleaned up CHANGELOG - removed experimental HBonds.py,0
161,9,ea8f40c,2010-05-01 03:48:18,Gromacs trajectories fixes and improvements - FIXED: trr/xtc tests failed (on Mac OS X) when MDAnalysis was properly installed   as a egg directory but not as a developer install:   - forgot to include the trr and xtc files in the package   - learned that xdrfile_open() segfaults (at least Mac OS X) if     there is no file: added additional check to prevent that - Gromacs XDR reader now behave like DCDReader:   (1) raise IOError when done    (2) continue raising with repeated next() - for some reason  TRR files can (always??) return status exdrINT at end of file  catch   this in _read_next_timestep() - regenerated swig files from libxdrfile.i (only minor doc things),1
163,10,f99d3aa,2010-05-01 04:37:59,notes on what to do when unittests are not running,0
164,11,2371a6b,2010-05-01 05:11:15,unittests: fixed doc string :-p,1
164,11,2371a6b,2010-05-01 05:11:15,unittests: fixed doc string :-p,0
165,111,c5b7c4a,2010-05-01 05:27:04,Gromacs trajectories fixes and improvements - FIXED: trr/xtc tests failed (on Mac OS X) when MDAnalysis was properly installed as a egg directory but not as a developer install: - forgot to include the trr and xtc files in the package - learned that xdrfile_open() segfaults (at least Mac OS X) if there is no file: added additional check to prevent that - Gromacs XDR reader now behave like DCDReader: (1) raise IOError when done  (2) continue raising with repeated next() - for some reason  TRR files can (always??) return status exdrINT at end of file  catch this in _read_next_timestep() - regenerated swig files from libxdrfile.i (only minor doc things),1
168,113,5cc4ef5,2010-05-01 20:36:51,bumped release but include devel,0
169,4,cb62c94,2010-05-01 20:36:57,fixed syntax error in test cases (lost the commit somewhere...),1
178,123,9ec2423,2010-05-21 17:18:42,updated libxdrfile AUTHORS (OB messed with the original files...),0
179,14,4c5ced7,2010-05-21 17:18:50,KDTree: fixed compiler warning: comparison between signed and unsigned integer expressions,1
179,14,4c5ced7,2010-05-21 17:18:50,KDTree: fixed compiler warning: comparison between signed and unsigned integer expressions,0
180,15,e8ccb16,2010-05-21 17:19:00,FIXED Issue 16: can easy_install from tar file but at the prices of copying c_numpy.pxd into each subdirectory  easy_install breaks if these are symbolic or hard links,1
185,20,abd036b,2010-05-21 17:28:56,bumped version to 0.6.1-rc1,0
186,128,1fc9243,2010-05-25 23:12:49,principleAxes fix and additional nucleic acid selections,1
187,21,7cc5777,2010-05-26 00:14:19,provide assert_() in case numpy is <1.3 so that some of the tests pass,0
188,22,fdf6982,2010-05-26 00:14:28,minor doc fixes,1
188,22,fdf6982,2010-05-26 00:14:28,minor doc fixes,0
189,23,4b17366,2010-05-26 00:14:36,fixed: PrincipleAxes() returned garbage (ported from trunk r294,1
190,24,14eef4e,2010-05-26 20:09:13,added biopython to requirements and updated CHANGELOG,0
191,129,9b802c7,2010-05-27 00:36:27,minor doc fixes,1
205,12,8fa51e0,2010-06-16 14:56:46,GROParser added. GROReader to follow.,0
206,13,e24330f,2010-06-17 00:19:18,Issue #32: sort of fixed (check if a DCD has size 0 and raise IOError  instead of segfaulting,1
208,143,3f067a6,2010-06-17 17:30:41,moved SelectionError into top level,0
209,16,4aaeaae,2010-06-17 17:30:48,example scripts improvements and additions - added examples for simple and fancy rms fitting - added graph for the simple fitting - fixed: filename for g(r) example,1
212,147,fc2a737,2010-06-23 14:58:19,PSFParser to allow for EXT formatted PSF and selection updates to allow for nucleic acid xstal structure resname codes,0
213,20,22959c7,2010-06-23 20:26:24,fixed rms_fitting bug,1
215,150,c3822a2,2010-06-25 01:52:07,trajectory reader improvements: slices - XTC/TRR reader can do simple slices by sequential iteration - moved some functionality from DCDReader into the base class TrjReader - added explicitly required methods to TrjReader (cf Trajectory API)   mostly with NotImplementedError - enabled reverse iteration for the DCDReader (but disabled for XTC/TRR   because it would require re-seeking every single frame from the beginning) - UnitTests for slices,0
216,151,3683440.0,2010-06-25 14:29:16,FIXED: trajectory IObase.convert_time_from_native() did the opposite,1
216,151,3683440.0,2010-06-25 14:29:16,FIXED: trajectory IObase.convert_time_from_native() did the opposite,0
217,24,71c4b8c,2010-06-28 19:54:43,"unified parser/coordinate reader entry points - use a two-stage process to clean up the messy loading in Universe   1. determine file type with a ""guess_format()"" function (currently will      simply look at the file extension)   2. look up known file formats (in the sub-modules' top level there are      approriate dictionaries that connect format to the appropriate reader)   3. return the appropriate parser (get_parser_for()) or reader (get_reader_for())   4. load - add new formats to      topology._topology_parsers      coordinates._trajectory_reader - PDBParser: made the first failure for wrong extension more general  but we should not   really get there anymore because we use guess_format/get_parser_for - updated CHANGELOG",1
217,24,71c4b8c,2010-06-28 19:54:43,"unified parser/coordinate reader entry points - use a two-stage process to clean up the messy loading in Universe   1. determine file type with a ""guess_format()"" function (currently will      simply look at the file extension)   2. look up known file formats (in the sub-modules' top level there are      approriate dictionaries that connect format to the appropriate reader)   3. return the appropriate parser (get_parser_for()) or reader (get_reader_for())   4. load - add new formats to      topology._topology_parsers      coordinates._trajectory_reader - PDBParser: made the first failure for wrong extension more general  but we should not   really get there anymore because we use guess_format/get_parser_for - updated CHANGELOG",0
218,25,daa6a4e,2010-06-28 20:13:00,parser/coordinate entry points: FIXED: would not allow building of psf-only universe (but now issue a warning),1
218,25,daa6a4e,2010-06-28 20:13:00,parser/coordinate entry points: FIXED: would not allow building of psf-only universe (but now issue a warning),0
219,154,87cd8dd,2010-06-29 10:18:40,FIXED Issue 33: principleAxes() return values are confusing - new principalAxes() method (correct name  too  as a bonus) that returns   the three eigenvectors directly and does not require unpacking - kept old method bu deprecated it,1
219,154,87cd8dd,2010-06-29 10:18:40,FIXED Issue 33: principleAxes() return values are confusing - new principalAxes() method (correct name  too  as a bonus) that returns   the three eigenvectors directly and does not require unpacking - kept old method bu deprecated it,0
220,27,bb29716,2010-06-29 11:08:01,Added working GROReader and TestGROReader  and fixed Timestep.numatoms issue,1
220,27,bb29716,2010-06-29 11:08:01,Added working GROReader and TestGROReader  and fixed Timestep.numatoms issue,0
221,28,309970.0,2010-06-29 19:12:10,additional tests for coordinate readers - more GRO tests  coordinates and distances fail at the moment because the GRO reader   does not convert units (TO BE FIXED) - more tests for PDB files - use GRO parser for the XTC and TRR tests instead of PDB (a bit faster and more native),1
221,28,309970.0,2010-06-29 19:12:10,additional tests for coordinate readers - more GRO tests  coordinates and distances fail at the moment because the GRO reader   does not convert units (TO BE FIXED) - more tests for PDB files - use GRO parser for the XTC and TRR tests instead of PDB (a bit faster and more native),0
222,29,1ea6c00,2010-06-30 01:31:02,FIXED Issue 34: fixed unitcell for XTC/TRR - box vectors were extracted wrongly - moved rad2deg  _angle  _veclength into coordinates.core (for further use) - added test case,1
222,29,1ea6c00,2010-06-30 01:31:02,FIXED Issue 34: fixed unitcell for XTC/TRR - box vectors were extracted wrongly - moved rad2deg  _angle  _veclength into coordinates.core (for further use) - added test case,0
223,30,71ab28d,2010-06-30 01:31:10,"use attribute ""issue"" to mark tests relating to recorded problems so that we can run them separately",1
224,31,3b2d102,2010-06-30 01:31:16,GRO reader: unitcell and unit conversion - added unit conversion so that the GROReader behaves like all the other readers: it   automatically converts the distances to Angstroem - read unitcell (according to the file format specs)  requires special Timestep   class with the appropriate dimensions property to do the conversion - added some docs to the trajectory API to better explain what is expected of   Timesteps (this was not properly documented) - added more test cases for GRO (note that the precision for comparisons goes down   to a single decimal in some cases  eg when subtracting positions!) - minor clean up in various readers: removed explicit setting of the units attribute: this   is a class attribute and set in the class declaration  no need to set it again in __init__.,0
225,32,7377130.0,2010-06-30 01:57:19,GRO reader: fixed case with only 3 entries for the unitcell,1
226,161,7d963e3,2010-06-30 02:19:11,added dt managed attribute to all Readers - computes time between frames in ps - round to 4 decimals to get nice and tidy numbers (the unit conversion   can introduce some small and spurious numerical contamination),0
227,162,6f0c4db,2010-06-30 02:19:18,GRO reader: fix of fix .. should have run the tests after r341,1
230,37,8bc82f7,2010-06-30 14:29:52,release 0.6.3 docs  version set to 0.6.3-rc1,0
231,38,86b01a6,2010-06-30 14:57:44,FIXED: adk_oplsaa.gro test file was not included and some tests failed if done from a non-developer install,1
231,38,86b01a6,2010-06-30 14:57:44,FIXED: adk_oplsaa.gro test file was not included and some tests failed if done from a non-developer install,0
232,0,96d649c,2010-06-30 15:01:04,FIXED: adk_oplsaa.gro test file was not included and some tests failed if done from a non-developer install,1
235,40,7.79e+47,2010-07-01 16:34:19,minor doc improvements,0
236,166,4e5b303,2010-07-05 18:15:05,fixed backbone_dihedral in examples,1
243,9,5deb87c,2010-07-08 08:02:10,forgot to svn add testfiles and added comments to tests/__init__.py,0
244,10,fbc7f24,2010-07-08 09:17:42,fixed: AUTHORS file was not included in distribution,1
244,10,fbc7f24,2010-07-08 09:17:42,fixed: AUTHORS file was not included in distribution,0
245,41,c5d4f27,2010-07-08 09:52:57,mass-guessing for the PDBParser (unknown are set to 0!) and fixed backbone_dihedral in examples,1
247,43,dde8566,2010-07-08 09:53:10,added basic XYZ trajectory reader with compression support. See coordinates/XYZ.py for more details,0
248,44,0e88bd6,2010-07-08 09:53:17,standard documentation update - added Phil Fowler as author - reformatting and update of the README  with links to the wiki - minor doc fixes - schedule release for 07/08/2010 - AUTHORS file included in distribution,1
250,46,1125174.0,2010-07-08 09:53:31,altered XYZReader class to not use format  also added unit tests for simple and compressed XYZ files (files in tests/data and comments),0
251,47,ffc7753,2010-07-08 09:53:41,release 0.6.3 (updated/reformatted CHANGELOG and bumped version) - included all changes since branching (XYZ reader  fixes) - all unit tests pass (Mac OS X 10.6.4 + MacPorts) for this revision,1
256,177,1939985.0,2010-07-22 13:09:38,Added GROWriter - writes from either a Universe or AtomGroup,0
257,178,91ac199,2010-08-03 18:13:03,FIXED Issue 38: XTC writer broken -  fix provided by Danny Parton - added unit test (passes),1
260,17,12d816e,2010-08-22 05:31:17,Trajectory API: format is now UPPERCASE - the format specifier has been changed to the upper case extension (to be   consistent in naming) - added single frame writers to API definition - new get_writer_for() convenience function - refactored check for compressed file formats into check_compressed_format(),0
261,18,d014d41,2010-08-22 05:31:25,FIXED Issue 37: simulation box were not converted - added coordinates.core.triclinic_box() and triclinic_vectors() to handle conversion - added function convert_dimensions_to_unitcell() to Writers   and added to the requirements of the Trajectory API - GROWriter: introduced a temporary GROWriterStandard class which will replace the current   GROWriter (which got a DeprecationWarning),1
261,18,d014d41,2010-08-22 05:31:25,FIXED Issue 37: simulation box were not converted - added coordinates.core.triclinic_box() and triclinic_vectors() to handle conversion - added function convert_dimensions_to_unitcell() to Writers   and added to the requirements of the Trajectory API - GROWriter: introduced a temporary GROWriterStandard class which will replace the current   GROWriter (which got a DeprecationWarning),0
262,19,2c5c85f,2010-08-22 06:36:38,dcd-to-xtc conversion working - added example script dcd2xtc.py - hacked a few fixes into the xdr writer to substitute missing parameters   (maybe need to do something similar of dcd writer...) - not well tested,1
