,index,hash,time,message,buggy
141,6,6ff9291,2003-03-26 13:55:24,replaced unnecessary }  with } in examples,0
142,7,b3cb54f,2003-03-26 14:18:35,fixed (hacked?) configure for the IBM Power4,1
142,7,b3cb54f,2003-03-26 14:18:35,fixed (hacked?) configure for the IBM Power4,0
143,8,02bc647,2003-03-26 14:26:35,fixed (hacked?) configure for the IBM Power4,1
143,8,02bc647,2003-03-26 14:26:35,fixed (hacked?) configure for the IBM Power4,0
144,9,6a19c7a,2003-03-26 14:27:36,fixed (hacked?) configure for the IBM Power4,1
144,9,6a19c7a,2003-03-26 14:27:36,fixed (hacked?) configure for the IBM Power4,0
145,10,98abf6a,2003-03-26 14:29:35,OK  fixed for the last time?,1
151,16,b56812f,2003-03-27 18:30:05,Added prism6 to unv_support. I also added it to write_gmv  where it is treated as a phex8.,0
152,17,6c99922,2003-03-28 20:38:07,minor optimizations in iinline point methods. print more useful information when a call to inverse_map fails,1
153,18,5c09610,2003-03-29 12:45:33,- moved the FEInterface::is_inf_elem to private.  There is no public need   anymore since bool Elem::infinite(). This clears up  the use of InfFE. - thought about the worth of inf_elem_iterator  and really do not need   them.  Would be straightforward to implement  so if anybody needs   them  tell me.,0
154,19,639bd2c,2003-04-01 14:19:49,various changes to InfFE: - fixed bug that occured only with higher-order base approximation - changed internal dof & node numbering scheme completely - added inverse_map() - split implementation files for better overview,1
158,23,7e69b1f,2003-04-02 22:34:37,compiler optimizations,0
159,24,6f8c950,2003-04-02 22:37:17,fixes for SGI,1
160,25,522b968,2003-04-03 00:52:58,optimization options for xlC,0
161,26,8eab73b,2003-04-03 14:17:25,- added _build_ support for 2D infinite elements - fixed nodal_soln for infinite elements - added static member libMesh::zero.  May not be really necessary    but want to be on the safe side: who knows what the default   constructor of std::complex does with only one double passed in. - added container class FEComputeData.  Serves as a hide for   I/O to customized FE classes.  E.g. for the notorious infinite   elements  the compute_data()  using FEComputeData  is the physically   correct counterpart to shape(),1
161,26,8eab73b,2003-04-03 14:17:25,- added _build_ support for 2D infinite elements - fixed nodal_soln for infinite elements - added static member libMesh::zero.  May not be really necessary    but want to be on the safe side: who knows what the default   constructor of std::complex does with only one double passed in. - added container class FEComputeData.  Serves as a hide for   I/O to customized FE classes.  E.g. for the notorious infinite   elements  the compute_data()  using FEComputeData  is the physically   correct counterpart to shape(),0
162,27,599016d,2003-04-05 02:25:42,- cleaned up the EquationSystems::read() and write() to   (a) handle multiple vectors  if desired    (b) delegated tasks to SystemBase that SystemBase can do   (c) added get_info() for SystemBase  two more inline methods in EqnSysBase    (d) fixed a silly bug in FrequencySystem that did allocate additional       vectors  but omitted to assign values,1
163,28,23fa027,2003-04-05 02:27:35,forgot to add this one...,0
164,29,7b9185f,2003-04-05 12:16:35,"fixes for HP.  Ben  was it IBM or SGI that did not like this ""FE<Dim-1 ...>""?  I fixed that for HP  perhaps the other compilers are now happy  too.",1
164,29,7b9185f,2003-04-05 12:16:35,"fixes for HP.  Ben  was it IBM or SGI that did not like this ""FE<Dim-1 ...>""?  I fixed that for HP  perhaps the other compilers are now happy  too.",0
165,30,52913e7,2003-04-06 16:59:00,technically  an iterator and a const_iterator are different types of objects  and comparisons between the two are not allowed.  fixed two instances of this,1
169,34,5c89ad5,2003-04-08 03:33:21,updated the dependencies for command-line parsing,0
170,35,0ca79ec,2003-04-08 12:46:07,fixed doc bug,1
172,37,b489176,2003-04-09 01:20:25,forget libMesh::msg() et. al  found a way to reroute std::cout so that messages do not appear from non-processor 0 processors.,0
173,38,56b7f91,2003-04-09 02:30:28,Added a build_solution_vector overload in equation_systems which can be used to build (locally) the global solution for a single variable in a single system.  I cant remember why I wanted to do that  the code is untested and has error() in the beginning.  Testing to come.,1
173,38,56b7f91,2003-04-09 02:30:28,Added a build_solution_vector overload in equation_systems which can be used to build (locally) the global solution for a single variable in a single system.  I cant remember why I wanted to do that  the code is untested and has error() in the beginning.  Testing to come.,0
174,39,d36d854,2003-04-09 03:25:00,fixed a missing std:: in getpot.h,1
178,43,f6597a2,2003-04-09 19:27:00,* Ben once said  EquationSystems should take care of time stepping.   so i changed ex8 to make use of the EquationSystems features (flag    param) * added two macros that keep instantiation data in (almost) one place    for the two templated classes EquationSystems<> and FE<>.  This   was already done with InfFE<>. * cleaned NewmarkSystem of some unnecessary member data,0
179,44,2faea96,2003-04-09 19:29:24,forgot to add .depend and fix .cvsignore... here it is.  -),1
181,46,3fed62c,2003-04-11 19:09:32,just moved a few lines,0
182,47,538e613,2003-04-11 23:57:05,small compatibility enhancements: - explicitly assigning values to the FEFamily entries helps in   identifying the family  whether a .dat file was produced with or   without enabled ifem - for the EquationSystems<T> I/O it actually does not matter   what System type it handles  and what system type it loads.   So  changed the error (in case of system type mismatch) to a simple std::out - added in FrequencySystem the EquationSystems::parameter n_frequencies,1
182,47,538e613,2003-04-11 23:57:05,small compatibility enhancements: - explicitly assigning values to the FEFamily entries helps in   identifying the family  whether a .dat file was produced with or   without enabled ifem - for the EquationSystems<T> I/O it actually does not matter   what System type it handles  and what system type it loads.   So  changed the error (in case of system type mismatch) to a simple std::out - added in FrequencySystem the EquationSystems::parameter n_frequencies,0
183,48,f7b6610,2003-04-18 13:16:41,Changed targets in the example programs from ex1 to ./ex1  for example.  This fixes the problem of not having . in your path  which was pointed out by Denis.  Thanks.,1
185,50,fa1c98d,2003-04-18 14:03:05,check for strstream if sstream is not found,0
186,51,63f1e9b,2003-04-18 14:11:29,fixed aclocal  was printing incorrect comments for locale and sstream #defines,1
188,53,d403113,2003-04-18 17:10:38,added a missing #ifdef ENABLE_INFINITE_ELEMENTS,0
189,54,7245f1c,2003-04-18 19:02:23,removed const problem from getpot,1
195,3,759847c,2003-04-30 13:56:11,changed the DofMap to use iterators instead of direct access to the elements and nodes,0
196,4,e5346bf,2003-04-30 21:09:30,added preliminary solution projection support.  This was quite painful because of an unforseen bug in the Point-to-Node assignment operator that is now fixed,1
207,15,336d3fb,2003-05-06 17:13:33,NewmarkSystem now works,0
208,16,4c07b93,2003-05-06 17:53:29,fixed all the examples except for ex6 & ex7.  Need to add the FrequencySystem,1
208,16,4c07b93,2003-05-06 17:53:29,fixed all the examples except for ex6 & ex7.  Need to add the FrequencySystem,0
209,17,648eb2e,2003-05-06 21:53:35,fixed the FrequencySystem.  All systems have been reimplemented.  All the examples work,1
209,17,648eb2e,2003-05-06 21:53:35,fixed the FrequencySystem.  All systems have been reimplemented.  All the examples work,0
210,18,7722d2f,2003-05-07 20:47:15,added EquationSystems::additional_data stuff  fixed ex4 documentation  cleaned up the systems,1
210,18,7722d2f,2003-05-07 20:47:15,added EquationSystems::additional_data stuff  fixed ex4 documentation  cleaned up the systems,0
211,19,c680689,2003-05-09 03:45:50,fixed a syntax error that caused a segfault with icc,1
213,21,fffaebf,2003-05-09 14:18:51,minor changes to the DataMap,0
214,22,7f50284,2003-05-09 21:27:47,reordered multiple-inheritance to work around icc bug,1
216,24,e4857da,2003-05-10 22:10:38,Added some small classes  mainly focused at ease of every-day use  no big number-crunching things:,0
217,25,8fbf61d,2003-05-10 22:19:41,"already fixed the first ""bug""",1
218,26,ad81842,2003-05-10 22:19:42,This commit was manufactured by cvs2svn to create branch 'libmesh-devel'.,0
219,27,d93cd2a,2003-05-12 14:16:48,fixed a bug with the SystemBase::reinit() that only occured with --enable-complex,1
232,40,816cd64,2003-05-14 19:48:22,forgot cleaning up & cvsignores,0
233,41,929f882,2003-05-14 22:29:35,made the MeshBase class reference counted  adding a flux jump error indicator,1
242,50,4a888e2,2003-05-15 23:34:36,merged libmesh_devel changes,0
243,51,138f13e,2003-05-15 23:56:45,fixed an error message on SGI CC,1
243,51,138f13e,2003-05-15 23:56:45,fixed an error message on SGI CC,0
244,52,04e33a8,2003-05-15 23:57:02,fixed some warnings on cxx,1
244,52,04e33a8,2003-05-15 23:57:02,fixed some warnings on cxx,0
245,53,46fc9b0,2003-05-16 00:30:08,fixed ifems for xlC compatibility,1
250,58,8f4ad46,2003-05-20 09:28:45,- cleaned up the UnvInterface to be much more readable  - added functionality to _write_ Universal files  too.,0
251,59,2661c88,2003-05-20 13:38:05,fixed for solving only for 1 frequency,1
251,59,2661c88,2003-05-20 13:38:05,fixed for solving only for 1 frequency,0
252,60,e13dd9a,2003-05-20 20:55:04,added the ErrorEstimator::component_mask to select only a subset of the variables when calculating an error indicator,1
254,62,e3d9d5c,2003-05-21 00:39:46,updated PETSc link,0
255,63,9885b5f,2003-05-21 13:50:23,fixes for --disable-amr and compiling with DIM=2,1
262,70,16a2126,2003-05-22 12:48:09,changhed operator == for points to require less flops,0
263,71,b9593a1,2003-05-22 16:20:52,fixed for Real data,1
264,72,322e61c,2003-05-22 17:06:24,Minor changes to the iterator functionality provided by the MeshBase and Elem classes.  Non-standard typedefs were removed as these constructs are avoided in all other parts of the code.  Also the use of std::make_pair() was implemented to clean up the syntax.  In the quadrature rules  several places which were foolishly taking pointers instead of references were changed.  None of these changes affect the user interface.,0
265,73,c0c0c8b,2003-05-22 18:31:19,fixed documentation of XdrMODE  fixed compare.cc for new EquationSystems  fixed bug in SystemBase::compare  fixed EquationSystems for handling FrequencySystem  added bool EquationSystems::parameter_exists() function  temporary work-around for ErrorEstimator & complex until Tuples come,1
270,78,bf5f6a2,2003-05-23 00:30:38,taught MeshBase::write_gmv() how to write INFPRISM6,0
271,79,52be984,2003-05-23 03:21:47,re-inlined some performance-critical methods in DofObject.  write_gmv() needed an #ifndef ENABLE_INFINITE_ELEMENTS.  Fix for building with --disable-optional.,1
278,86,41fc52e,2003-05-28 03:17:50,partitioning of adaptively refined meshes in parallel now works,0
279,87,b20569f,2003-05-28 03:30:41,fixed configure for gcc-3.3 and gcc-3.4,1
282,90,a1057a2,2003-05-29 00:03:06,parallel solution projection on refined meshes now works,0
283,91,ca1ba55,2003-05-29 04:29:16,fixed the space-filling curve to only operate on the active elements.  Changed MeshRefinement::uniformly_refine() to only call prepare_for_use() after all the refinement steps are taken,1
285,93,3b609a1,2003-05-29 16:01:02,oops...  forgot to stop a log in the case of an early return,0
286,94,3d4c660,2003-05-29 16:58:49,64-bit fix for SGI,1
287,95,61b221a,2003-05-29 18:14:07,Re-worked the new localize member in the PetscVector.  Having trouble on refined & repartitioned meshes when the partitioning essentially flip-flops,0
288,96,2fb76e0,2003-05-29 21:31:36,systems were not calling clear() in their destructors.  Solving transient problems in parallel with AMR now works  I think...  YEAH!,1
288,96,2fb76e0,2003-05-29 21:31:36,systems were not calling clear() in their destructors.  Solving transient problems in parallel with AMR now works  I think...  YEAH!,0
289,97,2e2c97f,2003-05-30 14:48:30,added example 9  which shows how to use the TransientSystem to solve a linear convection-diffusion problem,1
289,97,2e2c97f,2003-05-30 14:48:30,added example 9  which shows how to use the TransientSystem to solve a linear convection-diffusion problem,0
290,98,af74955,2003-05-30 20:15:45,thanks to Steffen!  fixed a _fierce_ bug in InfFE.  For this to work i had to add yet another (but very small) purely virtual member to FEBase that before only existed in FE.,1
294,102,d111756,2003-06-03 16:47:38,Now use the hashed containers for performance-critical functions on platforms where they are available,0
295,103,36906ac,2003-06-03 22:10:07,MeshRefinement messed up the coarsening flags when you dont want level-1 compliance  fixed...,1
296,104,1548798.0,2003-06-04 01:30:08,changed EquationSystems::add_system<T>() to return a reference to the new object  changed example 10 to use a hybrid mesh,0
297,105,63263cb,2003-06-04 15:00:16,- updated documentation of examples fixed one overly include in ex5  - enabled ex9 and ex10 now also for older (gcc 2.95) compilers using   the OStringStream.  Left the old code in //OLD CODE comments.,1
298,106,abb5c25,2003-06-04 18:28:36,cleand up some comments,0
299,107,e75af0e,2003-06-04 22:47:45,fixed the o_string_stream for when the compiler works,1
299,107,e75af0e,2003-06-04 22:47:45,fixed the o_string_stream for when the compiler works,0
300,108,8d0b57f,2003-06-05 19:33:51,fixed StatisticsVector::variance to return the same value as the GSL and MATLAB,1
302,110,d71059d,2003-06-07 14:36:17,- moved some private methods in MeshData to public - gmv support now outputs also InfPrism12,0
303,111,68ae9ce,2003-06-08 17:28:42,fixed a bug that only occurred when the infinite element origin is not given by (0 0 0),1
305,113,bdb7b87,2003-06-10 19:04:48,This commit was manufactured by cvs2svn to create tag 'libmesh-0_4_0'.,0
306,0,b1700ae,2003-06-12 01:36:00,fixed a bug in the LaspackVector assignment operator when the lhs was not initialized,1
306,0,b1700ae,2003-06-12 01:36:00,fixed a bug in the LaspackVector assignment operator when the lhs was not initialized,0
307,1,35ccea8,2003-06-12 02:29:07,fixed a bug in the LaspackVector assignment operator when the lhs was not initialized,1
307,1,35ccea8,2003-06-12 02:29:07,fixed a bug in the LaspackVector assignment operator when the lhs was not initialized,0
308,2,270d674,2003-06-12 15:24:23,documentation fix,1
308,2,270d674,2003-06-12 15:24:23,documentation fix,0
309,3,e55db4c,2003-06-12 21:56:31,fixed a bug in the ExodusII triangle support,1
309,3,e55db4c,2003-06-12 21:56:31,fixed a bug in the ExodusII triangle support,0
310,4,b56d8c1,2003-06-15 00:36:25,changed 2 to 2.  etc... for the hierarchic polynomials.  This was necessary for the Portland Group compiler.  There is still a linking problem,1
316,10,293b983,2003-06-25 19:58:26,Made the smooth() function pure virtual once again.,0
317,11,775db36,2003-06-26 07:16:29,changed not to !.  SGIs CC did not understand it...  Sorry John.  Maybe in the future?  It may be that a command line option fixes it  but I could not find anything in the manual page.  If you can find any information on the web we might be able to put it back in... Maybe you could ask Spencer?,1
317,11,775db36,2003-06-26 07:16:29,changed not to !.  SGIs CC did not understand it...  Sorry John.  Maybe in the future?  It may be that a command line option fixes it  but I could not find anything in the manual page.  If you can find any information on the web we might be able to put it back in... Maybe you could ask Spencer?,0
318,12,36f77a5,2003-06-26 11:00:31,added fix to getpot.h for cygwin,1
318,12,36f77a5,2003-06-26 11:00:31,added fix to getpot.h for cygwin,0
319,13,877da3f,2003-07-05 09:59:14,"fixed funny bug: the PARMETIS_INCLUDE from PETSc's packages file could shadow the PARMETIS_INCLUDE from libMesh's Make.common... Perhaps the ""make"" I use is not the best  but at least this renamed variable does not hurt",1
324,18,ec5287e,2003-07-10 07:38:06,the MeshData may now also take user-specified node/element data  not only reading from file.,0
325,19,0706b72,2003-07-10 12:10:10,hopefully final fix: a tricky call to SystemBase::clear() deleted EquationSystems parameters... Not desired when reading :-P,1
326,20,39e016b,2003-07-11 14:44:27,Added the magnitude of complex numbers when writing results in tecplot format format.,0
327,21,faee615,2003-07-12 14:02:59,yet another bugfix for MeshData: the good ol' 12.3456789D+01 issue  where the streams do not recognize the D as 10th-power... This fix is likely to be the last. :-P,1
327,21,faee615,2003-07-12 14:02:59,yet another bugfix for MeshData: the good ol' 12.3456789D+01 issue  where the streams do not recognize the D as 10th-power... This fix is likely to be the last. :-P,0
328,22,fe8f940,2003-07-12 16:33:18,fixed the ::build_side() and ::side() for infinite cells.  the BoundaryMesh now works with infinite elements  too... yields cool pic's,1
330,24,92862bb,2003-07-12 19:37:17,forgot to update the smart MeshBase::write(std::string) method,0
331,25,79cdaee,2003-07-12 20:39:30,fixed the MeshData to write a sensible header with the minimum info necessary for reading,1
335,29,4c3504b,2003-07-16 18:42:12,separated out functionality that will be repeated in the partition and repartition members,0
336,30,ebeeb6e,2003-07-18 18:53:00,fixed a bug in assigning an end iterator to the beginning of a container,1
336,30,ebeeb6e,2003-07-18 18:53:00,fixed a bug in assigning an end iterator to the beginning of a container,0
337,31,def48f1,2003-07-22 19:14:45,Moved a templated inlined function out of the C file and into the h file.  Funny to note that this compiled on gcc but not on xlC.  The main problem I think is the instantiation of templated *functions* as opposed to classes.  xlC wouldnt instantiate them correctly unless they were in the header file.,1
338,32,52d2d6a,2003-07-23 21:32:27,When checking the state of an ifstream  it is not correct to simply check if its !bad().  This is because the bad bit is not set when the file does not exist.  Instead the failbit is set.  Therefore it is more correct to check if the stream is good() e.g. assert(in.good()) rather than !bad().,0
339,33,177fccb,2003-07-23 21:49:05,"- John's bugfix for xlC was also the cure for HP-UX.  Thanks a lot  John! - fixed minor complaints about the ""this->"" issue",1
346,40,8639bf6,2003-07-30 16:14:05,"added the ""translate()"" method.  With this  nodal data stored in a MeshData can be translated to form that is suitable for the Mesh::write(...) methods  so that the nodal data can be visually inspected. Can translate either to the Mesh itself or to the BoundaryMesh",0
347,41,0e1bf0e,2003-08-01 13:56:54,added a fix for the Tecplot library incompatibilities on Redhat 9 machines,1
349,43,9eb82d8,2003-08-04 17:23:51,reworked the MeshData interface to look similar to the other libMesh design like get_xyz() etc.  Also included some more debug tests for invalid data files,0
