,index,hash,time,message,buggy
1654,282,e416658,2015-04-27 16:10:45,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13434 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1655,283,5a88d74,2015-04-28 00:01:00,Corrected error in etail and ptail,1
1655,283,5a88d74,2015-04-28 00:01:00,Corrected error in etail and ptail,0
1656,284,a6c0fb8,2015-04-28 00:16:01,Corrected error in etail and ptail,1
1669,297,6829502.0,2015-04-30 17:36:33,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13450 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1670,298,73a87e7,2015-05-08 15:55:29,Added group keywords to fix gcmc,1
1670,298,73a87e7,2015-05-08 15:55:29,Added group keywords to fix gcmc,0
1671,299,5779fc4,2015-05-08 17:21:20,Added group keywords to fix gcmc,1
1671,299,5779fc4,2015-05-08 17:21:20,Added group keywords to fix gcmc,0
1672,300,4dff676,2015-05-08 17:28:15,Added group keywords to fix gcmc,1
1672,300,4dff676,2015-05-08 17:28:15,Added group keywords to fix gcmc,0
1673,301,0c0441b,2015-05-08 19:59:58,Added group keywords to fix gcmc,1
1673,301,0c0441b,2015-05-08 19:59:58,Added group keywords to fix gcmc,0
1674,302,720490c,2015-05-11 22:16:34,Added group keywords to fix gcmc  fixed destructor,1
1692,1,26c0997,2015-05-15 23:09:00,Added inside box check for fix_gcmc moves,0
1693,2,bff0947,2015-05-18 16:04:42,Added error message to list,1
1704,13,4844574.0,2015-06-26 17:33:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13494 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1705,14,721b312,2015-07-01 15:51:02,Fixing small bug in Kokkos pair styles with long-range Coulombics,1
1705,14,721b312,2015-07-01 15:51:02,Fixing small bug in Kokkos pair styles with long-range Coulombics,0
1706,15,afd2f6b,2015-07-01 15:54:23,Fixing small bug in run-style verlet split,1
1706,15,afd2f6b,2015-07-01 15:54:23,Fixing small bug in run-style verlet split,0
1707,16,fe0bf70,2015-07-01 19:56:10,Small bug fix for Kokkos charmm pair styles,1
1708,17,2b605e2,2015-07-01 21:02:16,Describes new QUIP directory structure,0
1709,18,a67cb06,2015-07-01 21:52:07,Fixing small Kokkos bug,1
1740,47,217fdbc,2015-07-06 17:08:35,Added DATE reporting for parameter file,0
1741,48,f03b5a8,2015-07-07 16:43:21,Fixed problem with image flags in attempt_molecule_insertion_full() and cleaned things up a little.,1
1763,70,616e95e,2015-07-08 22:25:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13562 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1764,71,42ef877,2015-07-09 22:44:52,Fixing Kokkos bug with restarts,1
1764,71,42ef877,2015-07-09 22:44:52,Fixing Kokkos bug with restarts,0
1765,72,c210fae,2015-07-09 22:46:55,Fixing Kokkos memory bug,1
1819,126,d9ad60f,2015-07-17 18:05:06,Slight tweak to Kokkos Phi Makefile,0
1820,127,6d665f1,2015-07-17 18:15:35,Fixing warning,1
1943,250,9213a78,2015-08-01 16:13:14,Tweaked description of insertion rotation,0
1944,251,354ee97,2015-08-01 23:04:25,Added fix gcmc check to init(),1
1961,268,08e9e3c,2015-08-05 13:09:10,',0
1962,269,4b03a29,2015-08-10 02:57:32,Fixed molecule mass when gcmc offset applied,1
2055,80,3131840.0,2015-08-31 13:32:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13972 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2056,81,14554c9,2015-08-31 15:20:49,Fixing compile error in USER-OMP,1
2056,81,14554c9,2015-08-31 15:20:49,Fixing compile error in USER-OMP,0
2057,82,5c5df89,2015-08-31 16:08:00,Fixing segfault in USER-FEP,1
2104,129,66566c5,2015-09-11 15:05:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14033 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2105,130,54210d7,2015-09-11 21:47:25,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
2105,130,54210d7,2015-09-11 21:47:25,Fixed triclinic bug in gcmc and qtype bug atom/swap,0
2106,131,8.86e+172,2015-09-11 22:08:22,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
2106,131,8.86e+172,2015-09-11 22:08:22,Fixed triclinic bug in gcmc and qtype bug atom/swap,0
2107,132,0da2e17,2015-09-11 23:08:52,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
2107,132,0da2e17,2015-09-11 23:08:52,Fixed triclinic bug in gcmc and qtype bug atom/swap,0
2108,133,5cbf3cf,2015-09-11 23:09:21,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
2112,137,b9a5521,2015-09-18 20:36:17,Tweaked bit about thermostats,0
2113,138,ca55525,2015-09-18 21:16:12,Fixed problem with read_dump xyz,1
2149,174,858eed2,2015-09-28 12:38:18,',0
2150,175,e551418,2015-09-30 23:00:44,Fixed negligible error in Tersoff and COMB,1
2180,205,c7170a4,2015-10-15 17:39:43,Added Vashishta potential,0
2181,206,834731d,2015-10-15 18:41:59,Propoaged SW cutoff fix into similar code elsewhere,1
2183,208,ce62105,2015-10-15 21:02:03,Require type argument be zero when mol keyword used,0
2184,209,9025f65,2015-10-16 18:37:06,Fixed MINe type,1
2221,246,d75b473,2015-10-21 23:17:48,',0
2222,247,066e759,2015-10-21 23:20:45,Fixed problem with box flips under NVT,1
2292,317,a61df92,2015-11-10 16:47:09,got rid of std:complex_literals i1,0
2293,318,4c19f60,2015-11-11 23:37:31,Fixed uninitialized variable for multiple molecule in set,1
2293,318,4c19f60,2015-11-11 23:37:31,Fixed uninitialized variable for multiple molecule in set,0
2294,319,da1a3ac,2015-11-11 23:39:25,Fixed error in onemols initialization when gcmc uses non-first molecule template,1
2316,341,e993934,2015-12-01 14:32:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14276 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2317,342,3ca986f,2015-12-01 21:42:17,Fixed undefined tdof in setup,1
2318,343,00738a8,2015-12-02 05:06:52,Added average keyword,0
2319,344,853eab8,2015-12-03 22:57:01,Fixed problem in column_length(int),1
2319,344,853eab8,2015-12-03 22:57:01,Fixed problem in column_length(int),0
2320,345,28e3ebf,2015-12-04 19:06:19,Fixed error in average option,1
2320,345,28e3ebf,2015-12-04 19:06:19,Fixed error in average option,0
2321,346,050a136,2015-12-04 19:29:27,Fixed error in average option,1
2321,346,050a136,2015-12-04 19:29:27,Fixed error in average option,0
2322,347,d241f92,2015-12-04 19:29:46,Fixed error in average option,1
2324,349,f7702fd,2015-12-05 03:27:16,removed print statement,0
2325,350,5087bdb,2015-12-05 03:28:45,prevented reorder from being used with fix gcmc,1
2328,353,e028508,2015-12-05 03:33:47,Simplified non-overlap condition,0
2329,354,692047a,2015-12-08 16:12:04,Fixed error in one example command,1
2376,33,760071b,2015-12-09 23:57:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14342 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2377,34,59e5d36,2015-12-10 16:04:00,Fixing region issue,1
2482,139,eebf110,2016-01-21 18:16:00,Further tweaked the flangevin issue,0
2483,140,eb10541,2016-01-21 20:15:00,Fixing Kokkos bug,1
2486,143,e3e687f,2016-01-22 22:30:00,Added peratom keyword,0
2487,144,c8fb847,2016-01-22 22:36:00,Fixing Kokkos bug,1
2487,144,c8fb847,2016-01-22 22:36:00,Fixing Kokkos bug,0
2488,145,34785af,2016-01-22 23:35:00,Fixing Kokkos bugs,1
2488,145,34785af,2016-01-22 23:35:00,Fixing Kokkos bugs,0
2489,146,ad1d7ff,2016-01-23 00:09:00,Fixed another bug in edge_histo,1
2502,159,775b163,2016-01-25 15:46:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14487 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2503,160,9eb8702,2016-01-25 16:13:00,Fixing Kokkos bugs,1
2503,160,9eb8702,2016-01-25 16:13:00,Fixing Kokkos bugs,0
2504,161,92ae19e,2016-01-25 20:58:00,Fixing Kokkos bugs,1
2504,161,92ae19e,2016-01-25 20:58:00,Fixing Kokkos bugs,0
2505,162,bf9517b,2016-01-25 21:36:00,Fixing Kokkos bugs,1
2515,172,b5c90fa,2016-01-26 15:13:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14501 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2516,173,8c4d592,2016-01-26 22:07:00,Fixing Kokkos bug,1
2516,173,8c4d592,2016-01-26 22:07:00,Fixing Kokkos bug,0
2517,174,0541d52,2016-01-26 23:49:00,Fixing Kokkos bug,1
2517,174,0541d52,2016-01-26 23:49:00,Fixing Kokkos bug,0
2518,175,dca90d4,2016-01-27 18:40:00,Fixing Kokkos bug,1
2528,184,bc15585,2016-01-28 21:24:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14514 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2529,186,def0d4e,2016-01-28 23:28:00,Fixing logic error with suffix styles,1
2529,186,def0d4e,2016-01-28 23:28:00,Fixing logic error with suffix styles,0
2530,187,cf77d88,2016-01-28 23:32:00,Adding error checks for Kokkos-incompatible features,1
2536,193,7ae6db5,2016-01-29 17:14:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14523 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2537,194,daaadcd,2016-01-29 17:24:00,Adding Kokkos output and error checks,1
2562,218,02408d3,2016-02-04 21:09:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14554 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2563,220,384aef4,2016-02-05 17:28:00,Fixing Kokkos bugs,1
2563,220,384aef4,2016-02-05 17:28:00,Fixing Kokkos bugs,0
2564,221,da41fcb,2016-02-05 17:40:00,Fixing Kokkos bugs,1
2566,223,ea12e28,2016-02-10 15:02:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14583 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2567,224,b6be862,2016-02-10 22:50:00,Fixing Kokkos bug,1
2567,224,b6be862,2016-02-10 22:50:00,Fixing Kokkos bug,0
2568,225,e2117af,2016-02-10 23:34:00,Fixing Kokkos bug,1
2568,225,e2117af,2016-02-10 23:34:00,Fixing Kokkos bug,0
2569,226,7a5587d,2016-02-11 15:43:00,Adding Kokkos error check,1
2569,226,7a5587d,2016-02-11 15:43:00,Adding Kokkos error check,0
2570,227,707dee6,2016-02-11 16:40:00,Adding Kokkos error check,1
2570,227,707dee6,2016-02-11 16:40:00,Adding Kokkos error check,0
2571,228,ce579ea,2016-02-11 16:42:00,Adding Kokkos error check,1
2622,18,7b98025,2016-02-16 15:06:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14647 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2623,19,1a1b81c,2016-02-16 21:52:49,Fixing Kokkos bug,1
2623,19,1a1b81c,2016-02-16 21:52:49,Fixing Kokkos bug,0
2624,20,2ad2326,2016-02-16 23:13:28,Fixing Kokkos bug,1
2647,43,dbd2599,2016-02-24 15:27:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14675 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2648,44,b5e95a0,2016-02-24 18:53:37,Fixing USER-CUDA compile error,1
2662,58,855e8ec,2016-02-29 15:36:36,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14692 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2663,59,b2e792d,2016-02-29 22:10:07,fixed problem with exclusion,1
2688,84,9b33b04,2016-03-02 00:28:45,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14720 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2689,85,d6a67c2,2016-03-04 17:32:00,Fixing Kokkos bugs,1
2692,88,ee18055,2016-03-07 17:34:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14726 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2693,89,791f18b,2016-03-08 19:56:06,Corrected error in Liouville factorization,1
2714,110,b760ca8,2016-03-14 19:11:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14750 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2715,111,042f50a,2016-03-18 14:50:28,Christian's kokkos patch that allows concurrent host and device threading,1
2753,149,aaa32cf,2016-03-29 16:16:50,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14799 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2754,150,25992ae,2016-04-04 21:01:02,fixed bug in triclinic case,1
2754,150,25992ae,2016-04-04 21:01:02,fixed bug in triclinic case,0
2755,151,5ebf01e,2016-04-04 21:07:40,fixed bug in triclinic case,1
2755,151,5ebf01e,2016-04-04 21:07:40,fixed bug in triclinic case,0
2756,152,83796fe,2016-04-04 22:24:03,Fixing bug in fix efield,1
2772,168,cf26690,2016-04-12 14:56:22,Corrected formula for case lx != ly,0
2773,169,e564fc4,2016-04-13 21:38:58,Fixing Kokkos default values,1
2818,214,656f8ed,2016-04-22 17:55:51,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14870 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2819,215,e6ba3cc,2016-04-26 16:12:44,Fixing Kokkos compile errors,1
2832,228,92b45d0,2016-04-26 22:10:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14888 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2833,229,0da53bb,2016-04-26 22:32:03,Fixing compile error,1
2835,231,6b582d1,2016-04-26 22:38:01,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14891 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2836,232,579b616,2016-04-26 23:00:32,Fixing restart error,1
2876,272,bf3187d,2016-05-06 14:20:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14938 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2877,273,8ee124a,2016-05-06 19:00:45,Fixing Kokkos bug,1
2877,273,8ee124a,2016-05-06 19:00:45,Fixing Kokkos bug,0
2878,274,9e23f05,2016-05-06 19:05:32,Fixing Kokkos bug,1
2973,0,bbdd574,2016-05-24 22:54:03,Removed some memory leaks is SSA neighbor list,0
2974,1,97b8a30,2016-05-24 23:31:31,Blocked fix rigid,1
2974,1,97b8a30,2016-05-24 23:31:31,Blocked fix rigid,0
2975,2,d60fbe4,2016-05-24 23:34:10,Blocked fix rigid,1
2975,2,d60fbe4,2016-05-24 23:34:10,Blocked fix rigid,0
2976,3,edbb8bc,2016-05-25 20:09:34,Fixed uninitialized variables,1
3059,86,50ac419,2016-06-08 23:15:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15159 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3060,87,84de575,2016-06-09 18:31:54,fixed case where no axial components are active,1
3121,148,df720a4,2016-06-28 22:43:59,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15233 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3122,149,f735a66,2016-06-30 19:25:44,Fixed bug in qtype bugfix,1
3221,248,645160000.0,2016-07-18 22:08:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15342 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3222,249,667983a,2016-07-21 21:35:28,Fixed typo,1
3249,275,ef6ff80,2016-07-27 14:13:02,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15372 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3250,276,6b79bbf,2016-07-27 15:48:50,Fixing Kokkos memory issue,1
3250,276,6b79bbf,2016-07-27 15:48:50,Fixing Kokkos memory issue,0
3251,277,2479d80,2016-07-27 21:16:09,Fixed memory leak from rlist,1
3285,10,6ff87be,2016-07-30 21:24:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15413 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3286,3,66b4c9b,2016-08-01 18:58:52,implement modified version of balance and fix balance according to steve's suggestions and requirements,1
3300,25,7d08d99,2016-08-02 06:42:30,improve c++-11 compliance. replace variable size stack allocation.,0
3301,12,f76f2c8,2016-08-02 07:32:44,minor tweaks and comment fixes,1
3303,28,3cf6715,2016-08-02 16:53:12,be a bit more paranoid about initializing data structures,0
3304,29,eb273ab,2016-08-02 16:54:03,fix elusive uninitialized data bug reported by valgrind,1
3314,39,677da2e,2016-08-03 19:40:39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15432 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3315,19,4114baf,2016-08-04 02:02:34,proof-of-concept implementation for neighbor list based balancing with yet unsolved problems,1
3316,17,8d38db0,2016-08-04 08:03:38,convert weight array from class member to local pointer to temporary storage,0
3317,42,b20108b,2016-08-04 08:04:21,incorporate refactored weighting into fix balance,1
3318,19,332d682,2016-08-04 08:18:55,remove unused class member,0
3319,44,2574891,2016-08-04 08:28:40,fix optional argument scanning bug,1
3319,44,2574891,2016-08-04 08:28:40,fix optional argument scanning bug,0
3320,20,2574891.0,2016-08-04 08:28:40,fix optional argument scanning bug,1
3331,55,32c8c9d,2016-08-05 16:27:48,clarified energy contribution to minimization energy,0
3332,56,1780c86,2016-08-05 17:53:52,Fixed error in ave/time version,1
3339,63,0029040,2016-08-05 22:12:27,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15456 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3340,64,c6699e1,2016-08-06 13:21:32,rewrote balancing to use per-atom data stored via fix property/atom,1
3340,64,c6699e1,2016-08-06 13:21:32,rewrote balancing to use per-atom data stored via fix property/atom,0
3341,22,bb40f63,2016-08-06 14:39:09,we cannot add a fix while creating a fix. move fix addintion to Fix::init(),1
3346,27,7e0dc7a,2016-08-06 19:30:17,whitespace cleanup,0
3347,28,7f20afe,2016-08-06 19:31:09,convert from using fix property/atom to using fix store,1
3353,77,563e069,2016-08-08 13:50:31,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15461 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3354,78,17c1d3a,2016-08-08 14:55:58,Fix typo,1
3355,79,550be1d,2016-08-08 19:41:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15462 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3356,80,59dc83e,2016-08-09 04:08:01,Fix resource leak,1
3375,98,c03252f,2016-08-12 14:34:16,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15471 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3376,34,8492212.0,2016-08-13 01:58:37,fix bug found by coverity scan,1
3376,34,8492212.0,2016-08-13 01:58:37,fix bug found by coverity scan,0
3377,37,8492212,2016-08-13 01:58:37,fix bug found by coverity scan,1
3379,101,3b476d9,2016-08-13 07:24:26,update colvars to version 2016-08-10,0
3380,102,730e3cb,2016-08-13 10:53:29,correct small (but harmless) logic error.,1
3390,112,10ec14f,2016-08-16 23:29:32,Remembering to clean up memory with new arrays in vashishta.,0
3391,113,9babb7a,2016-08-16 23:54:56,fix indexing bugs in accessing compute and fix labels in fix ave/histo,1
3396,118,2fff78a,2016-08-20 22:43:04,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15484 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3397,119,1383684,2016-08-21 11:17:18,fix bug in recent dump changes for -DLAMMPS_BIGBIG,1
3397,119,1383684,2016-08-21 11:17:18,fix bug in recent dump changes for -DLAMMPS_BIGBIG,0
3398,120,5909bd5,2016-08-21 11:18:02,correct bug in tracking atom->nlocal vs. atom->nmax when allocating pbc enforcement buffers,1
3398,120,5909bd5,2016-08-21 11:18:02,correct bug in tracking atom->nlocal vs. atom->nmax when allocating pbc enforcement buffers,0
3399,121,06cc38e,2016-08-22 07:51:00,Fixed so tabulated pair_vashishta uses same pair_modify command style as other pair styles,1
3403,125,50a82bb,2016-08-22 15:49:33,address uninitialized variable issues pointed out by valgrind/coverity,0
3404,126,55fe1f6,2016-08-22 22:35:23,fixed integer division problem in python code snippet,1
3411,133,268fdab,2016-08-23 15:39:27,Merge branch 'small-bugfixes' into integration,0
3412,134,89fc866,2016-08-23 15:45:00,Fixing bug on Macs,1
3412,134,89fc866,2016-08-23 15:45:00,Fixing bug on Macs,0
3413,39,d007fac,2016-08-23 16:07:26,Fixing Kokkos output for number of OpenMP threads,1
3414,136,e27196e,2016-08-23 16:28:36,doc files,0
3415,137,e5c37bc,2016-08-23 19:32:51,Implemented optional C++ exceptions in Error class,1
3424,145,b8e7f53,2016-08-24 15:03:01,Small update for USER-MANIFOLD docs.,0
3425,146,0e7ce19,2016-08-24 15:57:06,Fixed initialization of arrays in computes,1
3425,146,0e7ce19,2016-08-24 15:57:06,Fixed initialization of arrays in computes,0
3426,147,d09a857,2016-08-24 16:03:44,Fixed initialization of arrays in computes,1
3426,147,d09a857,2016-08-24 16:03:44,Fixed initialization of arrays in computes,0
3427,148,95dde5c,2016-08-24 16:06:58,Fixed initialization of arrays in computes,1
3427,148,95dde5c,2016-08-24 16:06:58,Fixed initialization of arrays in computes,0
3428,149,3e793d6,2016-08-24 16:16:03,Fixed initialization of arrays in computes,1
3428,149,3e793d6,2016-08-24 16:16:03,Fixed initialization of arrays in computes,0
3429,150,1f3ef8e,2016-08-24 16:24:20,Fixed initialization of arrays in computes,1
3429,150,1f3ef8e,2016-08-24 16:24:20,Fixed initialization of arrays in computes,0
3430,151,fcd54f0,2016-08-24 16:38:30,Fixed initialization of arrays in computes,1
3430,151,fcd54f0,2016-08-24 16:38:30,Fixed initialization of arrays in computes,0
3431,152,5e811f1,2016-08-24 16:50:11,Fixed initialization of arrays in computes,1
3431,152,5e811f1,2016-08-24 16:50:11,Fixed initialization of arrays in computes,0
3432,153,7d43f34,2016-08-24 17:06:58,Fixed initialization of arrays in computes,1
3434,46,29d04c1,2016-08-24 20:31:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15496 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3435,156,ff541e9,2016-08-24 23:04:27,fix typo in compute omega/chunk usage example,1
3435,156,ff541e9,2016-08-24 23:04:27,fix typo in compute omega/chunk usage example,0
