Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
27,libmesh/include/solvers/memory_solution_history.h,4cbfa41,0.0,2.0,0.0,16.0,24.0,17.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,55.0,16.0,18.0,12.0,2.0,17.0,0.0,6.0,9.0,11.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.94,2.0,2.0,2.0,2.0,0.0
28,libmesh/include/solvers/memory_solution_history.h,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
29,libmesh/include/systems/fem_context.h,4cbfa41,0.0,3.0,0.0,113.0,209.0,371.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,687.0,101.0,165.0,133.0,19.0,317.0,91.0,20.0,93.0,110.0,91.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.92,16.0,16.0,16.0,15.0,0.0
30,libmesh/include/systems/diff_context.h,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
31,libmesh/src/base/dof_map.C,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
32,libmesh/src/base/dof_map_constraints.C,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
33,libmesh/src/base/dof_map.C,4cbfa41,12.0,50.0,13.0,544.0,1834.0,548.0,7.0,7.0,7.0,1.0,74.0,10.0,40.0,12.0,0.0,33.0,2904.0,447.0,1310.0,353.0,881.0,414.0,646.0,117.0,687.0,904.0,262.0,17.0,625.0,38.0,38.0,42.0,7.0,13.0,0.32,218.0,218.0,246.0,52.0,0.0
34,libmesh/src/systems/fem_context.C,4cbfa41,4.0,15.0,4.0,393.0,845.0,228.0,3.0,3.0,3.0,1.0,23.0,4.0,15.0,4.0,0.0,41.0,1458.0,329.0,663.0,179.0,426.0,186.0,252.0,36.0,424.0,586.0,220.0,0.0,366.0,14.0,14.0,14.0,1.0,4.0,0.28,104.0,104.0,116.0,41.0,0.0
35,libmesh/include/systems/fem_context.h,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
36,libmesh/src/systems/diff_context.C,4cbfa41,2.0,15.0,1.0,26.0,66.0,18.0,4.0,4.0,4.0,1.0,18.0,2.0,15.0,1.0,0.0,4.0,109.0,26.0,64.0,24.0,36.0,18.0,0.0,2.0,38.0,53.0,14.0,0.0,39.0,7.0,7.0,7.0,1.0,2.0,0.28,14.0,14.0,14.0,4.0,0.0
37,libmesh/include/systems/diff_context.h,4cbfa41,0.0,2.0,0.0,64.0,97.0,203.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,30.0,363.0,64.0,89.0,59.0,27.0,203.0,0.0,8.0,52.0,83.0,56.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,2.28,30.0,30.0,30.0,30.0,0.0
38,libmesh/include/systems/fem_context.h,44ea143,0.0,3.0,0.0,113.0,209.0,371.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,687.0,101.0,165.0,133.0,19.0,317.0,91.0,20.0,93.0,110.0,91.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.92,16.0,16.0,16.0,15.0,1.0
39,libmesh/include/systems/diff_context.h,44ea143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
40,libmesh/src/systems/fem_context.C,44ea143,4.0,15.0,4.0,393.0,845.0,228.0,3.0,3.0,3.0,1.0,23.0,4.0,15.0,4.0,0.0,41.0,1458.0,329.0,663.0,179.0,426.0,186.0,252.0,36.0,424.0,586.0,220.0,0.0,366.0,14.0,14.0,14.0,1.0,4.0,0.28,104.0,104.0,116.0,41.0,1.0
41,libmesh/include/systems/fem_context.h,44ea143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
42,libmesh/src/systems/diff_context.C,44ea143,2.0,15.0,1.0,26.0,66.0,18.0,4.0,4.0,4.0,1.0,18.0,2.0,15.0,1.0,0.0,4.0,109.0,26.0,64.0,24.0,36.0,18.0,0.0,2.0,38.0,53.0,14.0,0.0,39.0,7.0,7.0,7.0,1.0,2.0,0.28,14.0,14.0,14.0,4.0,1.0
43,libmesh/include/systems/diff_context.h,44ea143,0.0,2.0,0.0,64.0,97.0,203.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,30.0,363.0,64.0,89.0,59.0,27.0,203.0,0.0,8.0,52.0,83.0,56.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,2.28,30.0,30.0,30.0,30.0,1.0
44,libmesh/include/systems/fem_context.h,137ef48,0.0,3.0,0.0,119.0,227.0,397.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,737.0,105.0,177.0,145.0,19.0,333.0,109.0,20.0,97.0,114.0,95.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.88,16.0,16.0,16.0,15.0,0.0
45,libmesh/include/systems/diff_context.h,137ef48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
46,libmesh/src/systems/fem_context.C,137ef48,5.0,16.0,4.0,457.0,1009.0,270.0,3.0,3.0,3.0,1.0,24.0,5.0,16.0,4.0,0.0,45.0,1728.0,370.0,779.0,242.0,489.0,212.0,339.0,36.0,505.0,698.0,290.0,1.0,407.0,14.0,14.0,14.0,1.0,4.0,0.27,119.0,119.0,131.0,45.0,0.0
47,libmesh/include/systems/fem_context.h,137ef48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
48,libmesh/src/systems/diff_context.C,137ef48,2.0,11.0,1.0,40.0,104.0,25.0,2.0,2.0,2.0,1.0,14.0,2.0,11.0,1.0,0.0,9.0,168.0,40.0,102.0,32.0,57.0,25.0,0.0,2.0,60.0,83.0,22.0,1.0,60.0,7.0,7.0,7.0,1.0,2.0,0.25,22.0,22.0,22.0,9.0,0.0
49,libmesh/include/systems/diff_context.h,137ef48,0.0,2.0,0.0,75.0,108.0,231.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,30.0,413.0,75.0,98.0,67.0,27.0,231.0,0.0,10.0,60.0,91.0,64.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,2.36,30.0,30.0,30.0,30.0,0.0
50,libmesh/src/base/dof_map.C,137ef48,12.0,50.0,13.0,544.0,1834.0,548.0,7.0,7.0,7.0,1.0,74.0,10.0,40.0,12.0,0.0,33.0,2904.0,447.0,1310.0,353.0,881.0,414.0,646.0,117.0,687.0,904.0,262.0,17.0,625.0,38.0,38.0,42.0,7.0,13.0,0.32,218.0,218.0,246.0,52.0,1.0
51,libmesh/src/base/dof_map.C,e22f6de,12.0,50.0,13.0,545.0,1837.0,548.0,7.0,7.0,7.0,1.0,74.0,10.0,40.0,12.0,0.0,33.0,2908.0,448.0,1310.0,353.0,881.0,414.0,647.0,119.0,687.0,904.0,262.0,17.0,625.0,38.0,38.0,42.0,7.0,13.0,0.32,218.0,218.0,246.0,52.0,0.0
52,libmesh/src/base/dof_map_constraints.C,e22f6de,1.0,23.0,2.0,547.0,2218.0,492.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,2.0,3194.0,31.0,32.0,23.0,3.0,31.0,3059.0,126.0,9.0,16.0,11.0,0.0,5.0,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,1.0
53,libmesh/src/base/dof_map_constraints.C,c9fe8c2,1.0,23.0,2.0,547.0,2201.0,486.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,2.0,3174.0,31.0,32.0,23.0,3.0,31.0,3039.0,122.0,9.0,16.0,11.0,0.0,5.0,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,0.0
54,libmesh/src/mesh/parallel_mesh.C,7dcc0c9,4.0,18.0,4.0,292.0,768.0,203.0,3.0,3.0,3.0,1.0,26.0,3.0,16.0,4.0,0.0,42.0,1257.0,276.0,668.0,162.0,441.0,181.0,108.0,37.0,355.0,463.0,116.0,14.0,333.0,23.0,23.0,23.0,1.0,4.0,0.27,111.0,111.0,128.0,42.0,1.0
55,libmesh/src/partitioning/partitioner.C,7dcc0c9,18.0,52.0,20.0,142.0,325.0,141.0,5.0,5.0,6.0,1.0,89.0,12.0,34.0,15.0,0.0,6.0,600.0,108.0,207.0,65.0,152.0,109.0,166.0,18.0,139.0,172.0,48.0,6.0,118.0,17.0,17.0,19.0,1.0,3.0,0.53,32.0,32.0,34.0,6.0,1.0
56,libmesh/src/mesh/mesh_communication.C,7dcc0c9,3.0,14.0,4.0,214.0,650.0,384.0,3.0,3.0,3.0,1.0,20.0,3.0,13.0,4.0,0.0,17.0,1229.0,116.0,245.0,83.0,128.0,169.0,680.0,45.0,131.0,184.0,63.0,4.0,117.0,27.0,27.0,30.0,12.0,5.0,0.69,49.0,49.0,53.0,28.0,1.0
57,libmesh/src/mesh/parallel_mesh.C,4eda33c,4.0,18.0,4.0,292.0,767.0,203.0,3.0,3.0,3.0,1.0,26.0,3.0,16.0,4.0,0.0,42.0,1256.0,276.0,667.0,162.0,440.0,181.0,108.0,37.0,354.0,462.0,116.0,14.0,332.0,23.0,23.0,23.0,1.0,4.0,0.27,111.0,111.0,128.0,42.0,0.0
58,libmesh/src/partitioning/partitioner.C,4eda33c,18.0,52.0,20.0,143.0,327.0,141.0,5.0,5.0,6.0,1.0,89.0,12.0,34.0,15.0,0.0,6.0,603.0,108.0,207.0,65.0,152.0,109.0,168.0,19.0,139.0,172.0,48.0,6.0,118.0,17.0,17.0,19.0,1.0,3.0,0.53,32.0,32.0,34.0,6.0,0.0
59,libmesh/src/mesh/mesh_communication.C,4eda33c,3.0,14.0,4.0,212.0,644.0,367.0,3.0,3.0,3.0,1.0,20.0,3.0,13.0,4.0,0.0,17.0,1205.0,116.0,245.0,83.0,128.0,169.0,656.0,39.0,131.0,184.0,63.0,4.0,117.0,27.0,27.0,30.0,12.0,5.0,0.69,49.0,49.0,53.0,28.0,0.0
60,libmesh/src/numerics/petsc_vector.C,9d0da17,0.0,0.0,0.0,367.0,893.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.0,8.0,0.0,0.0,0.0,16.0,1387.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,libmesh/src/numerics/petsc_vector.C,fa631f4,0.0,0.0,0.0,371.0,900.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,8.0,0.0,0.0,0.0,16.0,1398.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,libmesh/src/numerics/petsc_preconditioner.C,fa631f4,0.0,0.0,0.0,63.0,152.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,5.0,0.0,0.0,0.0,14.0,256.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,libmesh/include/numerics/petsc_preconditioner.h,fa631f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
64,libmesh/include/numerics/petsc_preconditioner.h,fa631f4,0.0,0.0,0.0,35.0,56.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,8.0,0.0,0.0,0.0,15.0,127.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,libmesh/include/numerics/petsc_preconditioner.h,fa631f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
66,libmesh/src/numerics/petsc_preconditioner.C,ed82596,0.0,0.0,0.0,63.0,155.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,5.0,0.0,0.0,0.0,14.0,259.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,libmesh/include/numerics/petsc_preconditioner.h,ed82596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
68,libmesh/include/numerics/petsc_preconditioner.h,ed82596,0.0,0.0,0.0,35.0,57.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,8.0,0.0,0.0,0.0,15.0,128.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,libmesh/include/numerics/petsc_preconditioner.h,ed82596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
70,libmesh/examples/vector_fe/vector_fe_ex2/laplace_system.C,9410f0c,6.0,17.0,5.0,51.0,113.0,101.0,2.0,2.0,2.0,1.0,28.0,6.0,17.0,5.0,0.0,6.0,264.0,51.0,103.0,48.0,69.0,101.0,0.0,10.0,59.0,70.0,28.0,0.0,42.0,5.0,5.0,5.0,1.0,4.0,0.98,10.0,10.0,10.0,6.0,1.0
71,libmesh/include/systems/fem_context.h,9410f0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
72,libmesh/include/systems/fem_context.h,9410f0c,0.0,3.0,0.0,119.0,227.0,397.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,737.0,105.0,177.0,145.0,19.0,333.0,109.0,20.0,97.0,114.0,95.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.88,16.0,16.0,16.0,15.0,1.0
73,libmesh/src/systems/fem_context.C,9410f0c,5.0,16.0,4.0,457.0,1009.0,270.0,3.0,3.0,3.0,1.0,24.0,5.0,16.0,4.0,0.0,45.0,1728.0,370.0,779.0,241.0,490.0,212.0,339.0,36.0,505.0,698.0,289.0,1.0,408.0,14.0,14.0,14.0,1.0,4.0,0.27,119.0,119.0,131.0,45.0,1.0
74,libmesh/examples/vector_fe/vector_fe_ex3/curl_curl_system.C,9410f0c,7.0,15.0,5.0,70.0,135.0,52.0,2.0,2.0,2.0,1.0,27.0,7.0,15.0,5.0,0.0,8.0,256.0,70.0,124.0,44.0,75.0,52.0,0.0,11.0,86.0,103.0,41.0,0.0,62.0,5.0,5.0,5.0,1.0,4.0,0.42,16.0,16.0,16.0,8.0,1.0
75,libmesh/examples/vector_fe/vector_fe_ex2/laplace_system.C,6d9cf7d,6.0,17.0,5.0,51.0,113.0,101.0,2.0,2.0,2.0,1.0,28.0,6.0,17.0,5.0,0.0,6.0,264.0,51.0,103.0,48.0,69.0,101.0,0.0,10.0,59.0,70.0,28.0,0.0,42.0,5.0,5.0,5.0,1.0,4.0,0.98,10.0,10.0,10.0,6.0,0.0
76,libmesh/include/systems/fem_context.h,6d9cf7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
77,libmesh/include/systems/fem_context.h,6d9cf7d,0.0,3.0,0.0,119.0,227.0,397.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,737.0,105.0,177.0,145.0,19.0,333.0,109.0,20.0,97.0,114.0,95.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.88,16.0,16.0,16.0,15.0,0.0
78,libmesh/src/systems/fem_context.C,6d9cf7d,5.0,17.0,4.0,483.0,1085.0,271.0,3.0,3.0,3.0,1.0,26.0,5.0,17.0,4.0,0.0,45.0,1831.0,388.0,817.0,257.0,490.0,212.0,386.0,36.0,523.0,716.0,289.0,1.0,426.0,14.0,14.0,14.0,1.0,4.0,0.26,119.0,119.0,131.0,45.0,0.0
79,libmesh/examples/vector_fe/vector_fe_ex3/curl_curl_system.C,6d9cf7d,7.0,15.0,5.0,70.0,135.0,52.0,2.0,2.0,2.0,1.0,27.0,7.0,15.0,5.0,0.0,8.0,256.0,70.0,124.0,44.0,75.0,52.0,0.0,11.0,86.0,103.0,41.0,0.0,62.0,5.0,5.0,5.0,1.0,4.0,0.42,16.0,16.0,16.0,8.0,0.0
80,tests/base/dof_object_test.h,ff94d53,2.0,8.0,0.0,34.0,98.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,8.0,0.0,1.0,10.0,132.0,34.0,83.0,24.0,35.0,1.0,0.0,15.0,49.0,62.0,24.0,0.0,38.0,3.0,3.0,3.0,1.0,2.0,0.01,12.0,12.0,12.0,10.0,1.0
81,include/base/dof_object.h,ff94d53,1.0,8.0,1.0,207.0,358.0,312.0,2.0,2.0,2.0,1.0,10.0,1.0,8.0,1.0,1.0,30.0,873.0,203.0,338.0,181.0,115.0,302.0,19.0,15.0,155.0,203.0,104.0,0.0,99.0,7.0,7.0,7.0,5.0,4.0,0.89,49.0,49.0,49.0,36.0,1.0
82,tests/base/dof_object_test.h,9d365f7,2.0,10.0,0.0,38.0,121.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,10.0,0.0,1.0,10.0,159.0,38.0,106.0,26.0,58.0,1.0,0.0,15.0,65.0,78.0,26.0,0.0,52.0,3.0,3.0,3.0,1.0,2.0,0.01,12.0,12.0,12.0,10.0,0.0
83,include/base/dof_object.h,9d365f7,1.0,8.0,1.0,208.0,363.0,313.0,2.0,2.0,2.0,1.0,10.0,1.0,8.0,1.0,1.0,30.0,880.0,204.0,338.0,181.0,115.0,303.0,22.0,17.0,155.0,203.0,104.0,0.0,99.0,7.0,7.0,7.0,5.0,4.0,0.9,49.0,49.0,49.0,36.0,0.0
84,src/systems/equation_systems.C,81ad7a0,9.0,28.0,9.0,306.0,709.0,248.0,4.0,4.0,5.0,1.0,45.0,8.0,23.0,8.0,0.0,25.0,1249.0,285.0,585.0,173.0,382.0,219.0,140.0,34.0,360.0,473.0,159.0,22.0,292.0,22.0,22.0,22.0,5.0,6.0,0.37,112.0,109.0,120.0,38.0,1.0
