index,hash,time,message,buggy
115,96ab1cc,2018-03-08 17:26:59,split the test into two separate ones (otherwise one could never fail),0.0
117,068e4ea,2018-03-08 17:53:33,moved one test back into the test module,0.0
118,5209585.0,2018-03-08 17:53:33,moved one test back into the test module,0.0
119,27d2727,2018-03-08 17:53:33,moved one test back into the test module,0.0
120,b15e8ea,2018-03-09 00:28:50,Added the test case for Duecredit,0.0
121,5e3bd49,2018-03-09 11:41:41,cleanup: removed some unnecessary lines,0.0
122,3f31d61,2018-03-09 16:16:33,added comment explaining test_os_dot_fork_not_none,0.0
123,fe68045,2018-03-09 16:55:47,RMSD doc improvements,0.0
124,b2fc3f9,2018-03-09 23:08:37,added comment explaining why CalledProcessError is caught and raised again,0.0
125,46fe093,2018-03-10 03:10:19,omit due.py from coverage reporting,0.0
126,dde9250,2018-03-10 16:27:59,Updated docs  authors  and changelog,0.0
127,e3d5cac,2018-03-11 11:00:54,fixed duecredit import error reporting in due stub,1.0
128,9383f08,2018-03-11 21:01:35,Adding copy method to ChainReader,0.0
129,149ac8b,2018-03-12 08:51:40,Update TPR tests for tpx 112,0.0
130,f68f884,2018-03-12 10:29:43,duecredit: small fixes,0.0
131,d97c75e,2018-03-13 20:55:35,remove UTF-8 from duecredit citation,0.0
132,bc374fa,2018-03-13 22:40:39,Merge pull request #1810 from MDAnalysis/fix-aligner-errormessages,0.0
133,ffc7b7a,2018-03-14 14:12:43,mock out calls to fork() in duecredit,0.0
134,1413eac,2018-03-14 22:40:41,extensions need to be fully qualified in setup.py,0.0
135,2ea22fd,2018-03-15 00:19:50,add native NAMD 2.10 PSF and DCD,0.0
136,b23e688,2018-03-15 01:04:13,add tests for #1819,0.0
137,81a44aa,2018-03-15 01:08:36,correctly calculate start of time in DCD,0.0
138,d3f5163,2018-03-15 09:08:27,fix cython 0.28 compiler error,1.0
139,6c788c6,2018-03-15 10:49:35,fixes stochasticproxembed.pyx Cython compilation error,1.0
140,4e323f1,2018-03-15 13:39:16,fix cython to 0.27 as a band-aid solution,1.0
141,486b27b,2018-03-16 18:34:21,fixing istart/nsavc for writers,1.0
142,340ffbf,2018-03-17 18:13:30,fix copy error in cython setup,1.0
143,0658f75,2018-03-17 18:13:53,cython setup clean-up,0.0
144,be3e4f7,2018-03-17 19:33:50,removing unnecessary section from copy() and adding testcases,0.0
145,f79f88b,2018-03-18 09:16:10,"Revert ""fix cython to 0.27 as a band-aid solution""",0.0
146,83648d2,2018-03-18 09:33:48,fix rms tests,1.0
147,4e7d4aa,2018-03-18 11:17:12,DCD test: use decimal=5 for time tests,0.0
148,d1f6b8c,2018-03-18 11:28:08,Merge pull request #1822 from MDAnalysis/ayushsuhane-duecredits,0.0
149,543853e,2018-03-19 04:37:46,Fixes hyperlinks to external resources in docs for MDAnalysis.coordinates.PQR (#1836),0.0
150,a11dce4,2018-03-19 19:49:42,in copy()  seeking new reader and copying over current Timestep,0.0
151,63b70f0,2018-03-20 03:40:17,removing redundant test cases,0.0
152,74defb7,2018-03-21 23:16:55,Merge pull request #1833 from MDAnalysis/fix-cython28-build,0.0
153,c7c6f40,2018-03-22 11:39:01,BENCH: add rdf asv benchmarks (#1840),0.0
154,994f08c,2018-03-22 16:33:16,Merge branch 'develop' into issue-1819-dcd-istart,0.0
155,6412516.0,2018-03-22 17:37:23,updated CHANGELOG for #1819,0.0
156,5a232a3,2018-03-22 23:04:33,Merge pull request #1832 from MDAnalysis/issue-1819-dcd-istart,0.0
157,de6a585,2018-03-23 21:11:18,add GSD to docs,0.0
158,d404dd4,2018-03-24 12:57:33,make diffusionmap.DistanceMatrix full y use AnalysisBase,0.0
159,4ce5ae9,2018-03-24 13:03:50,analysis docs: explain verbose,0.0
160,d91dd3c,2018-03-27 00:16:53,improved docs for analysis.density,0.0
161,8f950b6,2018-03-28 23:14:59,changed groupby function to accept multiple attributes #1839 (#1846),0.0
162,ace4dc8,2018-03-29 00:25:06,Merge pull request #1843 from MDAnalysis/doc-fixes,0.0
163,5be20e3,2018-04-03 16:57:10,fix HydrogenBondAutoCorrel for scipy >= 1.0.1,1.0
164,0baba7c,2018-04-04 19:14:35,added tests for issue 1854,0.0
165,224347b,2018-04-04 19:58:07,Fixed issue 1854,1.0
166,1ee4ce9,2018-04-05 09:15:45,Merge pull request #1855 from MDAnalysis/issue-1854-PDBresids,0.0
167,160a909,2018-04-06 12:04:59,fixed reading PQR files from Gromacs,0.0
168,ea124c1,2018-04-06 12:08:36,added docs for PQR fix,0.0
169,a67cce9,2018-04-09 08:52:41,added test for PQR file reading,0.0
170,2b57a15,2018-04-09 13:04:06,fixed pkdtree with BioPython >= 1.71 (#1858),1.0
171,b63d685,2018-04-09 14:21:55,fixed PQR coordinate reading for GROMACS flavour,1.0
172,b41fa2f,2018-04-09 15:08:01,Bump TPX version,0.0
173,a295b2c,2018-04-09 16:22:53,BUG: Fix untested MDAnalysis.visualization code,0.0
174,e9fe678,2018-04-10 17:35:57,Add more tests for TPR and gromacs 2018,0.0
175,63a2b0e,2018-04-10 21:17:49,Update CHANGELOG and doc for TPX 112,0.0
176,c84c86c,2018-04-11 08:33:34,Merge pull request #1856 from MDAnalysis/issue-1804-pqrfix,0.0
177,b205bad,2018-04-13 10:52:41,updated docs for AtomGroup to clarify init methods,0.0
178,2f0ea82,2018-04-13 10:53:26,fixup! updated docs for AtomGroup to clarify init methods,1.0
179,e56073f,2018-04-13 11:45:44,updeprecated older Group.__init__,0.0
180,8ed2571,2018-04-13 13:05:34,removed old tests,0.0
181,e8a1648,2018-04-15 15:56:24,finalised 0.18.0,0.0
182,bc5be1f,2018-04-15 15:59:40,Merge branch 'develop',0.0
183,39b0e4c,2018-04-22 13:55:05,updated c files for 0.18 release,0.0
