,hash,message,buggy
273,0af9203,remove useless and incorrect neighbor list request in fix qeq/comb/omp,1
274,0565b1d,Fixing auto_sync logic bug in modify_kokkos,1
275,688b1f1,Fixing bug in Kokkos ReaxFF,1
276,116ae9d,Fixing copy bug in pair_exp6_rx_kokkos,1
277,635151.0,Fixing neighbor bug,1
278,f45b388,Fixing a bug in the kspace error estimator for triclinic systems,1
279,5b7ab13,Fixing Kokkos neighbor bug,1
280,9e23f05,Fixing Kokkos bug,1
281,630783c,Fixing neighbor bug,1
282,1a1b81c,Fixing Kokkos bug,1
283,daf766d,Fixing Kokkos neighbor bug,1
284,0635151,Fixing neighbor bug,1
285,b6be862,Fixing Kokkos bug,1
286,0541d52,Fixing Kokkos bug,1
287,eb10541,Fixing Kokkos bug,1
288,8c4d592,Fixing Kokkos bug,1
289,c8fb847,Fixing Kokkos bug,1
290,8ee124a,Fixing Kokkos bug,1
291,2ad2326,Fixing Kokkos bug,1
292,42ef877,Fixing Kokkos bug with restarts,1
293,dca90d4,Fixing Kokkos bug,1
294,c210fae,Fixing Kokkos memory bug,1
295,72a1dc1,Fixing bug in qeq,1
296,5c6e7b1,BUGFIX: fix a copy-o in build_Item_Ghost(): xbin2  etc. should be an int xbin2  ybin2  and zbin2 are temporary integer bin coordinates  not floats!,1
297,89fc866,Fixing bug on Macs,1
298,aaa76b5,Fixing bug,1
299,49dd944,fix gcmc updates from Aidan  trimming of output for replica commands,1
300,e7825ba,import fix halt prototype code with corrections for soft exit,1
301,1995f43,fix some more code formatting issues  add newline at EOF,1
302,925481c,USER-DPD: Fix hard-wall force interaction bug  and ensure fraction is >= 0 pair_exp6_rx.cpp patch by Jim Larentzos.  Applied by Tim Mattox.,1
303,92d15d4,replace string compare with enums  fix memory leak  formatting cleanup,1
304,44841f6,fix ave/chunk fixes  2d disc option  fix_modify dynamic/dof,1
305,1ac9081,fix external only needs to collect virial in case it is requested,1
306,c24fca6,fix possible uninitialized data access with pppm and pppm/disp,1
307,f735a66,Fixed bug in qtype bugfix,1
308,5c37fcc,fix ti/spring for eam/allow and eam/fs,1
309,37d5567,Fixed bug in lamda_box_corners function,1
310,8.86e+172,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
311,5cbf3cf,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
312,0eeb240,whitespace cleanup  fix bug in looking for empty strings  improve read performance and handling of comments,1
313,0da2e17,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
314,54210d7,Fixed triclinic bug in gcmc and qtype bug atom/swap,1
315,bb141aa,USER-INTEL: Bug fix for case where a bond/angle/dihedral/improper style is specified  but there are no bond/... types and therefore no allocation.,1
316,c083d5d,fix memory leak in list of neighbor list requests,1
317,423e3b6,integrate fix wall/ees and wall/region/ees into doc system,1
318,23925b3,update fix wall/ees and wall/region/ees file to conform more to common formatting,1
319,25992ae,fixed bug in triclinic case,1
320,5ebf01e,fixed bug in triclinic case,1
321,f043212,USER-DPD: fix a segfault when using constant temperature (DPD vs. DPDE),1
322,ad1d7ff,Fixed another bug in edge_histo,1
323,8e1cf66,apply bugfix to fix wall/gran by eric_lyster@agilent.com on lammps-users,1
324,51a0b6b,Fix data type of molecule array in npair_kokkos.h,1
325,f5047ac,augment fix shardlow check for ordering fixes to be KOKKOS compatible,1
326,c243093,Fix wall forces and subtractAppliedForce for extended-Lagrangian ABF,1
327,0ecdb99,fix uninitialized data access as reported by @martok in #174,1
328,aecafec,USER-DPD: fix missing host prefixes in AtomVecDPDKokkos::pack_comm,1
329,a087813,incorporate bugfix for fix ave/correlate/long from jorge ramirez,1
330,e2caf5c,Fix code path which allows passing a C++ ptr to PyLammps,1
331,5308ee6,fix shared build and mscg install,1
332,2f857c6,correct fix neigh/history/omp to properly support -DLAMMPS_BIGBIG compilation,1
333,473a3eb,fix for bug with compute rdf with pair reax/c. we must not copy a neighbor list  if newton settings are not compatible,1
334,76d93f2,add fix latte command to doc pages,1
335,6960529,set appropriate flags for computing a vector in constructor of fix restrain,1
336,8b7bd9d,fix bug where per atom data for USER-OMP was reducing the wrong arrays with hybrid styles,1
337,b0263e8,Fix missing force with extended-Lagrangian mass,1
338,71553cf,Fix PyLammps regression after output.cpp change,1
339,a635c70,Fixed so we test for compute fix and variable id's being NULL in find_ functions,1
340,19b7785,fix Fortran flags for MEAM,1
341,78a22be,sync Make.py and fix addforce change with GHub,1
342,18983c3,fix qeq/reax/omp bugfix from metin,1
343,5a23d2d,fix bug in computing mixed EAM potentials introduced by TI modifications,1
344,f022f6d,fix various formatting and broken link issues identified by ebook-convert,1
345,b9029ad,fix bug in incorrect use of O coordinate instead of M coordinate in pppm/tip4p,1
346,d4b074d,enable dynamic groups for fix dt/reset,1
347,f6658d1,fix incorrect create_atoms example for selecting created atoms with a variable,1
348,2ef713e,restore incorrect change due to spell checking in fix imd,1
349,4cfe122,fix warning about enum comparisons,1
350,f6ddc8c,Fix compile errors from neigh history refactor,1
351,76cc545,convert early fix ordering error to warning,1
352,111d350,fix gcmc units change for chemical potential,1
353,16b15a6,updated version of fix latte from SJP,1
354,f8891a4,Rename fix python/integrate to python/move,1
355,5968850.0,Fix broken charge history in fix_qeq_reax_kokkos,1
356,5968850,Fix broken charge history in fix_qeq_reax_kokkos,1
357,8bbefb6,more meaningful output for electron units. fix bug in time unit to fs conversion,1
358,4d915db,Rename fix python/move to move/python,1
359,f479f02,Fix a Colvars error that was hidden by the previous segfault,1
360,07d9f9d,updated version of fix latte from SJP,1
361,270abff,Fix compile error for CUDA in pair_exp6_rx_kokkos,1
362,7732548,correct issues related to the addition of fix cmap,1
363,7732548.0,correct issues related to the addition of fix cmap,1
364,3528f9c,fix bugs in documentation and implementation of atom style mdpd,1
365,4a6f279,fix lambda syntax for CUDA,1
366,2755328,fix bug with pair_modify <style> compute not triggering the correct global change,1
367,2755328.0,fix bug with pair_modify <style> compute not triggering the correct global change,1
368,eb29ef3,Fix space/tab error in pizza/gl.py,1
369,b9fd115,Completed first version of fix python/integrate,1
370,ec067bd,fix cut-n-paste error in create_bond docs,1
371,c4d0f07,Allow fix python to only execute every N steps,1
372,0262a54,Fix Python 3 compatibility by encoding strings passed as c_char_p,1
373,6e7504f,Import segfault fix in Colvars module,1
374,2bf6688,fix bug in fix_modify respa reported by steven early strong on lammps-users,1
375,fa6fc94,fix issues in FixNeighHistory and FixNeighHistoryOMP reported in https://sourceforge.net/p/lammps/mailman/message/36138319/,1
376,93f6033,Add documentation about fix python,1
377,0b51e9b,add documentation for fix move/python,1
378,0be2cd3,fix bug reported on lammps-users  when not using the first molecule template,1
379,00b08bb,Use compute_map and fix_map to list compute and fix styles,1
380,23e283f,Fixed proper deletion of fixes if fix is NULL,1
381,1adf385,correct bug and synchronize fix addforce respa level init with other fixes,1
382,3f46b6d,fix bugs from incorrect code synchronization,1
383,d4f45f4,correct set command example in fix property/atom,1
384,81e7d4a,fix incorrect preprocessor define for windows,1
385,63eada2,fix issue with docs for orientorder/atom compute reported by @andeplane,1
386,b49806d,correct the logic for checking if fix is right,1
387,fbe30b5,correct issue with compiling for -DLAMMPS_BIGBIG in fix qeq/reax/kk,1
388,7a78875,Fix issues in Kokkos pair snap and zbl,1
389,1b07a4e,Fix memory leak in pair python,1
390,46fe0a9,Fix compiler warnings in atom_vec_hybrid_kokkos,1
391,c33e104,delete duplicate fclose() in fix ttm/mod constructor,1
392,99a68e4,fix suffix style handling bug for adding fixes and computes,1
393,20ae050,fix memory leak via NeighListKokkos::clean_copy(),1
394,849cec3,fix memory leak in compute omega/chunk,1
395,e55c90c,Moved rerun bug fix to individual affected styles,1
396,328ef87,fix mixed memory alloc bug in dump custom. this closes #475,1
397,e8eeb52,fix memory leaks detected by valgrind,1
398,53a1de1,fix several GPU memory bugs in pair_table_kokkos,1
399,7f9a331,bugfix for 2 recenty reported neighbor issues  also a ReaxFF fix species issue,1
400,a88136c,correct a logic bug in fix wall/gran/region,1
401,81f342a,fix variable name bug and synchronize with other ported Install.py files,1
402,4b1bcaa,fix speelink in documentation files,1
403,c76d273,Another fix for seg fault in parallel allocation.,1
404,b3d6d9f,fix memory leak via NeighListKokkos::clean_copy(),1
405,2943dd5,correct another broken link in fix ti/spring,1
406,5fcc197,cmake: fix molfile compile,1
407,5edbd63,fix memory leak in fix_shardlow_kokkos,1
408,51b19df,plug memory leak in fix bond/react,1
409,6ab7161,Fix seg fault for gyration collective variable,1
410,f6a8195,pair TIP4P bug fix for cutoffs >> box size,1
411,1fc2eb1,fix issue with rRESPA inner/middle neighbor lists,1
412,198fe7e,fix storing of invalid memory pointer,1
413,c6c1852,Fix a few issues with Kokkos class2 files,1
414,9cd994f,fix issues with potential file parser,1
415,b861ea3,cmake: fix LATTE linkage,1
416,d6316c4,cmake: fix build with system latte,1
417,d26f140,fix race condition on rho,1
418,15a9600,Fix compiler warnings,1
419,19f2d2d,fix many warnings in pair_dpd_fdt_energy_kokkos,1
420,a599817,Fix issues with Kokkos skip lists,1
421,874944f,Made fix adapt support bond harmonic.,1
422,54f2b02,cmake: fix install,1
423,8ed8819,Fix execution space in manybody potentials,1
424,effbe18,fix domain boundary indexing,1
425,42d3a8f,"Fix spelling ""correction"" from 3a054d1a: iterations not interactions. :-)",1
426,fe82926,fix memory leaks in pair_tabl_rx_kokkos,1
427,bf4f081,fix memory leaks in pair_tabl_rx_kokkos,1
428,6ba59cb,fix memory leak in fix_shardlow_kokkos,1
429,c664f46,MathSpecial::fm_exp: fix return value on ppc64,1
430,47d6451,fix compilation for pymol_asphere tool,1
431,2c5f6e1,fix a broken link that slipped through the cracks in the previous cleanup,1
432,d3fa882,Fix execution space issues in Kokkos EAM pairstyles,1
433,9e+111,Fix issues in Kokkos npair_halffull and npair_skip,1
434,9e35e76,Fix issues in Kokkos npair_halffull and npair_skip,1
435,00a9672,Fix issue in fix_qeq_reax_kokkos  can't call child function from base constructor,1
436,34b3fc2,Fix GPU CMake compilation,1
437,68c5f66,Removing untested feature to fix bug affecting Windows builds,1
438,2b0bfcb,Fix memory leak in pair_reaxc_kokkos,1
439,688df1c,fix CUDA type issues in pair_table_rx_kokkos,1
440,78a486c,Authorize hybrid/overlay for fix srp,1
441,bda0ee3,Destroy unneeded fix in pair_reaxc_kokkos,1
442,6328beb,fix double-return warning,1
443,92e2df7,Fix bug in Kokkos peratom energy/virial with newton on,1
444,c4ac577,Fix segmentation fault in dump vtk,1
445,dd44189,fix bug in compute orientorder/atom argument parsing,1
