,hash,message,buggy
60,07ca3c9,Add an assert(!p_level) for now  unless it's fixed that could trigger confusing bugs later.,1
61,01b2132,"finally! -- _FULL_ functionality  now also on HP-UX  my ""favorite"" OS...  fixed xda and unv file I/O",1
62,72f3175,fixed an error in MeshCommunication::broadcast()  added some PerfLog calls,1
63,c8ad984,Fixed accidental commit of intermediate files,1
64,ab05199,Added blank image  fixed entry for Derek,1
65,6be3d1c,rbOOmit change: Fixed rb_eim_construction for --enable-parmesh,1
66,33d5e33,Fixed an issue with the MeshRefinement class and its initial_nodes vector. We were not accounting for cases where the Mesh was coarsened  and nodes were deleted.,1
67,ae64587,Fixed up comments in RB examples for the website,1
68,11eb1c5,thanks to Steffen: fixed a wrong shift pattern in Legendre polynomials for infinite elements,1
69,648eb2e,fixed the FrequencySystem.  All systems have been reimplemented.  All the examples work,1
70,499f0c6,fixed erroneous assert  all examples pass now,1
71,158055a,Fixed copy constructor to set element children pointers,1
72,24685.0,fixed silly tests that avoided the use of petsc options,1
73,d311cec,- fixed SystemBase handling of multiple matrices & vectors for Laspack - fixed FrequencySystem to support either fast solution or solution of large   frequency-dependent linear systems (complex)  updated ex7 accordingly - added axpy for sparse matrices,1
74,3a89f61,fixed all_second_order() so that boundary conditions get inherited,1
75,86a15cf,fixed meshtool to include additional headers,1
76,2cd27cd,Fixed misspelling everywhere of Kelley -> Kelly.  I blame this on a presentation by Mike Anderson where he misspelled it!,1
77,3d1428d,fixed to work with trilinos make install target,1
78,b8432d3,More ENABLE_AMR fixes  beginning framework for constraint-based periodic BCs,1
79,c5a988f,Patch by M. Luthi: change line -> 3line,1
80,8256040.0,Const correctness patch from Paul Bauman,1
81,fbb28df,"Martin's ""report bad element ID"" patch",1
82,c778761,Fixed mismatched perflog start/stop,1
83,0b9c6f1,Fixed some issues with numerical_jacobian and neighbor-element cross-terms.,1
84,ecb9219,Bugfixes for p refinement/coarsening,1
85,4ecf9b8,cast to a std::size_t rather than assume  fixes cygwin,1
86,4856c5f,Bugfixes for processor_id_type > unsigned int,1
87,41a81bc,Patch from Martin to print the parameter name in quotes,1
88,e116738,Bugfixes for p refinement/coarsening,1
89,fd8177d,Fixes for 64-bit indices builds with SLEPc enabled.,1
90,b4d80ad,Fixed issue in DEBUG mode where variables were used but not declared.,1
91,4f2c62d,Fixes for sizeof(dof_id_type) < sizeof(int),1
92,7ea67da,Fixed incorrect if-statement in boundary_id() and boundary_ids() functions.,1
93,02bc647,fixed (hacked?) configure for the IBM Power4,1
94,6a19c7a,fixed (hacked?) configure for the IBM Power4,1
95,a938c54,Fixes for assorted odd build configurations,1
96,2de4982,Fixes for vector-enabled FEMContext methods with --enable-complex,1
97,f1e8e65,RB Change: Fixed EIM truth_solve on hybrid meshes.,1
98,8e5b078,Library compatibility fixes for Real == long double,1
99,a872441,Fixed one line for proper .xda output.,1
100,f3f099a,Fixes for --disable-mpi  Using Parallel:: functions where convenient,1
101,0a7b376,fixed shared library linking on the IBM,1
102,996af2c,Fixes in make_links_to_me_remote  assert valid which_neighbor_am_i,1
103,e964ad0,Misc fixes suggested on the original PR.,1
104,bee399b,Jed Brown's updated ISCreateLibMesh patch.,1
105,1f094f7,fixes for the Altix with Intel/icc v8.1,1
106,6600c6a,Fixes for second derivative support with Number==Complex,1
107,b3cb54f,fixed (hacked?) configure for the IBM Power4,1
108,7a72b9e,Set fixed unique_id values in mesh extrusion,1
109,911a8fc,fixed an error in the Laspack csr implementation  no longer zero the system matrix before it is closed in the NewmarkSystem,1
110,d35058a,reduced_basis --disable-default-comm-world fixes,1
111,f157d0c,Patch from Roman Vetter for 1D support in OFF I/O,1
112,b20569f,fixed configure for gcc-3.3 and gcc-3.4,1
113,22cedbb,Fixed to handle 1D meshes  use component_scale terms,1
114,248c455,fixed .cvsignore for example 12,1
115,5d323db,Bugfixes - UniformRefinementEstimator seems to work now,1
116,41fe4b0,Fixed memory leak introduced in PR #773,1
117,1df0ac0,Fixed boundary condition IDs in reduced_basis_ex6,1
118,76eae43,Avoid dynamic memory allocation for fixed length array.,1
119,ba0f057,Bugfixes for non --enable-everything,1
120,958c4db,fixed exodusII_io.C to include boundary_info.h,1
121,fe62ed2,Unit test fixes for --enable-complex,1
122,8d0b57f,fixed StatisticsVector::variance to return the same value as the GSL and MATLAB,1
123,1c2f7f2,Fixes for BoundaryInfo::sync() to refined boundary,1
124,8fb2a3e,Fixes for external-to-libMesh getpot usage,1
125,3555c51,Patch from Dmitry Karpeev:,1
126,9d444f7,fixed a no-return statement condition,1
127,abc091f,Fixes for --disable-legacy-using-namespace,1
128,87f203d,Large set of dof_id_type  -Wconversion fixes,1
129,77dfa64,the patch recovery error estimator is now multithreaded,1
130,6ee2c9e,More non-default-type-size correctness fixes,1
131,49da91f,Major refactoring  fixes for ParallelMesh synchronization code.,1
132,12dc3e0,Fixed missing STOP_LOGs in some of the RB classes.,1
133,6c83aec,Fixed name demangling issue for Mac GCC users,1
134,5881eed,fixes for PETSc nonlinear systems with matrix-free solvers,1
135,60252a3,Patch from Ben Spencer:,1
136,ba9ee5e,Patch from Ben Spencer:,1
137,8875f57,Patch from Ben Spencer:,1
138,8c88ff5,fixed broken LaspackVector assignment operator,1
139,44ea143,MemorySolutionHistory bugfixes from Vikram Garg,1
140,775f3cc,fixed for PETSc 2.1.x configuration,1
141,0c66a9b,Fixes for compatibility with the Sun ONE Studio compiler,1
142,99060cb,fixed broken d()/dzeta linear pyramid shape functions,1
143,bc56be9,Fixes for our Epetra vector interface,1
144,1c76411,Fixes and efficiency improvements for --disable-amr,1
145,6a8edca,Fixes for code that might encounter remote_elem,1
146,4cd36a8,Fixes (to commented out code...) for LIBMESH_DIM < 3,1
147,330cf38,Derek's fixes for ParallelMesh stuff.,1
148,df72c99,Fixes in ignore/restore_warnings.h,1
149,316169b,64-bit fixes for key()  compute_key(),1
150,7b07a8a,Some (incomplete) fixes for --enable-tripleprecision,1
151,3e2103a,Fixes for du() API change,1
152,fb3b2f1,misc_ex9 fixes for dof_id_type != unsigned int,1
153,9885b5f,fixes for --disable-amr and compiling with DIM=2,1
154,33adeaa,Fixed one of the more ridiculous uses of arrays of C-style strings.,1
155,e90a18e,Fixed 6/7th degree triangle quadrature rule weights,1
156,4e75563,Assorted bugfixes,1
157,a7db13b,Fixes for disabling RTTI,1
158,b59ec8a,Fixed compilation error with --enable-complex  due to DenseMatrix::_svd_solve_lapack,1
159,b805544,Patch from Vijay for SLEPc 3.2 support,1
160,1511eba,Fixed triangle support on OS X.,1
161,5a7661c,fixes for new example targets,1
162,6ed3f23,PGI compiler flag fixes,1
163,1.059e+102,Fixes for --enable-complex,1
164,a2ec9d7,Fixes to the triangle interface for better memory management.,1
165,e81ba90,Fixes for --disable-ifem configuration,1
166,e9678d9,Fixes for --disable-mpi builds.,1
167,50e77c4,Fixing an error in homemade remove_if algorithms.,1
168,6b29e49,More fixes  refactoring for --enable-complex,1
169,86ef9eb,Fixes for high p 3D monomial shape function calculations,1
170,0309eac,is_adjoint() bugfixes,1
171,9f92c8a,_next_free_*_id bugfixes,1
172,7e5fd80,Reliability bugfixes,1
173,1f8f0da,Derek's fixes for --disable-amr.,1
174,c25a5ba,Fixes for --disable-periodic builds,1
175,dc9053c,dof_id_type fixes for Elem::connectivity(),1
176,095981f,"Fixes for the ""boundary id on internal sides"" case.",1
177,7f6c3ac,"Fixes for the ""boundary id on internal sides"" case.",1
178,bf41321,Patch from Manav Bhatia:,1
179,bddd1de,Fixes for PetscInt!=int compatibility,1
180,b5a2d88,Fixes for --disable-exceptions.,1
181,ca48d5c,Fixes from Roman Vetter for data imprecision  bugs in VTK output,1
182,8a557e2,Fixes for --disable-exodus,1
183,514052e,UnsteadySolver fixes and optimization,1
184,06f13bb,Fixes for --disable-fparser,1
185,983d9e6,More PETSc 2.3.3 API change fixes,1
186,402b556,Fixes for separate libMesh namespace,1
187,fbeb140,Sun Studio fixes,1
188,bc89796,Sun Studio fixes,1
189,af3ca23,Fixes for ENABLE_PERIODIC && !ENABLE_AMR,1
190,1f20452,Fixes for InfElemBuilder in the empty partition case,1
191,dc987d8,Fixes for --enable-singleprecision,1
192,c4a1fb4,More fixes for ParallelMesh refinement,1
193,9cf8e4f,Fixes for std::complex<> use,1
194,0dd21ff,"Revert ""fparser fixes""",1
195,d7cdb65,Fixes for Xdr I/O with varying id sizes,1
196,f59025b,minor SGI fixes,1
197,e3b354c,fixes for IRIX 6.5/MIPSPro 7.4,1
198,01f0069,Wconversion fixes for dof_map_constraints.C,1
199,a398b0a,Fixes for style and performance issues found by cppcheck,1
200,2.031e+64,fparser fixes,1
201,9e15fc8,id_type fixes for unit tests,1
202,66c7938,Fixes for hp projection cases,1
203,7249a7a,Fixes for hp refinement,1
204,aa03fab,fixes for allgather and vector_union,1
205,19f7866,"Fixes for ""make test_headers""",1
206,aeafb76,More odd-configuration-case fixes.,1
207,8591da0,Fixes for numeric_index_type != unsigned int,1
208,998bafc,Fixes for find_neighbors() with remote_elem,1
209,2c5649e,More fixes for dof_id_type != unsigned int,1
210,9c03490,IRIX compatibility fixes,1
211,ad2c257,compatibility fixes for IRIX,1
212,5ff91e3,IRIX compatibility fixes,1
213,6.651e+68,Fixes for *_id_type > int,1
214,612d1ff,--enable-complex fixes,1
215,3dc3d3e,Fixes for --enable-complex,1
216,81b4f6c,Fixes for --enable-single,1
217,142b1a2,compatibility fixes for gcc-3.0,1
218,ddb0383,One more set of size type fixes,1
219,90be9d7,Fixes for --disable-mpi,1
220,3d9b111,Fixes for --disable-mpi,1
221,b064cf8,Fixes for --disable-mpi,1
222,5c8d182,Fixes for --disable-mpi,1
223,74ab676,Communicator_World -> this->communicator() fixes,1
224,de4a284,Patch from Benjamin Spencer:,1
225,1fcb658,More BERNSTEIN+FIRST+QUAD4 fixes,1
226,2ae1ae8,64-bit fixes,1
227,f76b6b0,find_neighbors fixes for ParallelMesh,1
228,bf2b335,Fixes for petsc-without-MPI,1
229,32c1887,Fixes for VTK tests.,1
230,c4a1258,Fixes for create_parent_error_vector in parallel,1
231,e131332,Fixes for when HAVE_MPI is undefined,1
232,4a8b487,Fixes for all_second_order() with ParallelMesh,1
233,ca9a09a,compile fixes for Solaris,1
234,a2e7eeb,portability fixes for HP,1
235,10f5c1e,fixes for more config options,1
236,b978e87,build fixes for xlC,1
237,c907dc4,build fixes for xlC,1
238,c8d6250,Fixes for when triangle is disabled.,1
239,e7d1732,More fixes for --disable-gmv.,1
240,f026594,packed_range output_type fixes,1
241,1f1068e,incorporated m4 fixes,1
242,6c33e3f,m4 fixes,1
243,33390db,m4 fixes,1
244,1e9ffbb,Fixes for Cygwin,1
245,7b5c3c1,compatibility fixes,1
246,7ef07af,SGI fixes,1
247,6f8c950,fixes for SGI,1
248,98fae2d,AdjointRefinement fixes,1
249,2cbd66d,Fixes for FEXYZ,1
250,8832cd5,Fixes for LaplaceMeshSmoother.,1
251,9595015,Fixes to trishell3_edge_map and quadshell4_edge_map in ExodusII_IO_helper,1
252,af1a50e,fixes for the systems,1
253,37d4e34,misc other fixes,1
254,901a9a4,More -Wconversion fixes,1
255,c195d23,More -Wconversion fixes,1
256,27ada9c,More -Wconversion fixes,1
257,da06789,More -Wconversion fixes,1
258,b4181d1,More -Wconversion fixes,1
259,cd3e438,More -Wconversion fixes,1
260,cf147db,More -Wconversion fixes,1
261,9cea88d,More -Wconversion fixes,1
262,2e7f44a,misc fixes,1
263,bd6bf5a,misc fixes,1
264,79d7675,more VPATH fixes,1
265,38a75a5,Misc. fixes to mixed_dim_mesh_test.C,1
266,b78b784,Fixed compilation errors for --disable-amr due to recent node and edge boundary condition patch.,1
267,cc057b0,gcc 4.3.0 fixes,1
268,5328e6d,more complex fixes,1
269,70e63f7,more fixes for the iterators,1
270,483a0fc,More ParallelMesh fixes:,1
271,7d2915b,Fixes for ParallelMesh,1
272,29bceb8,More dof_id_type fixes,1
273,3fe13c0,More dof_id_type fixes,1
274,5a99c41,More dof_id_type fixes,1
275,2a50ca1,dof_id_type fixes,1
276,48d90b2,Fixes for FrequencySystem.,1
277,7a54f01,Patch from Jed Brown fixing PetscDMLibMesh on Petsc >= 3.5.,1
278,6769426.0,Patch from @dknez to fixed reduced_basis_ex2 for FEMContext API updated.,1
279,c2fc949,UniqueID fixes,1
280,ec5d2b6,Fixes for LIBMESH_REQUIRE_SEPARATE_NAMESPACE,1
281,abd9453,Fixes for --disable_amr,1
282,9cd115b,debugging InfFE,1
283,2d67ba9,Complete patch of correction of vtkSmartPointer usage,1
284,4424e3d,patches from Bill for writing MGF-style xdr meshes,1
285,32e9003,Patch from Vijay Mahadevan adding paths for SLEPc include files.,1
286,4fc4a88,Add configure test for C++11 std::make_unique<T> workaround.,1
287,89aa9e7,Patch from Jed Brown: * Update for the new XXDestroy() API coming in PETSc 3.2,1
288,a1057a2,parallel solution projection on refined meshes now works,1
289,d9980c3,fixed for Scali MPI compatibility.  Apparently MPI_SUM is not always valid for char data types,1
290,2dbdca3,New assert_valid_neighbors() test  bugfixes in find_neighbors(),1
291,2fb76e0,systems were not calling clear() in their destructors.  Solving transient problems in parallel with AMR now works  I think...  YEAH!,1
292,1e567bd,properly handle the XCode (no Fortran anywhere) case,1
293,9b85b6d,Return a custom error code when C++11 is required and the test fails.,1
294,877da3f,"fixed funny bug: the PARMETIS_INCLUDE from PETSc's packages file could shadow the PARMETIS_INCLUDE from libMesh's Make.common... Perhaps the ""make"" I use is not the best  but at least this renamed variable does not hurt",1
295,8904edf,fixes for the FrequencySystem to work with only _one_ frequency-dependent matrix  instead of multiple frequency-independent matrices,1
296,867d856,Make sure parallel_only() failures occur at a libmesh_assert() which gives us a nice stack trace  not at a weird internal MPI buffer size mismatch error.,1
297,b208114,Added more sophisticated error norm options,1
298,07f643e,Patch from Vikram Garg: Create (and have ImplicitSystem use) LinearSolver::adjoint_solve Override PetscLinearSolver::adjoint_solve to use KSPSolveTranspose Add option to reuse preconditioners Test this option in ex26,1
299,942e526,rbOOmit change: added rb_eim_theta.C to avoid linking error with METHOD=pro for reduced_basis_ex4,1
300,617a27f,Bugfixes and additional options for _INF norms in System::calculate_norm,1
301,8bed96f,Patch from Boyce Griffith for clean opt-mode compiles if the user has extra warnings enabled.,1
302,83755bb,Patch from Roman Vetter (and comments from myself) allowing System::project_vector to handle new element creation,1
303,0fe1181,Default template parameters to avoid API breakage,1
304,2d4e3ae,Patch from Vikram Garg implementing global error estimation and an initial version of element-wise error indication based on refined adjoint solutions,1
305,bcb2eb6,We need virtual destructors to avoid memory leaks here,1
306,0cdc55e,Added T. Kroger oops patch for compilation in debug mode.,1
307,f3d6ecd,"applied GMSH patch from Martin & added #include ""boundary_info.h""  Boundary information is now handled  and numNodes is now properly initialized.",1
308,9396b93,More fine-grained profiling of patch-building functions,1
309,e47886c,PETSc convergence reasons patch from Roman Vetter,1
310,17b9985,Patch to add project_solution/project_vector methods using FEMFunctionBase objects. Still untested.,1
311,978d9ee,Patch from Paul Bauman for 1D ExodusII output,1
312,5d50ea9,Patch from Manav Bhatia: gmsh format 2.2 support,1
313,4ca8a19,Make some PatchRecovery members protected:  this might be useful to anyone extending it  but specifically it'll be necessary to merge in Vikram's weighted patch recovery class once the bugs are worked out of that.,1
314,a6f9dce,Patch from Jungho Lee for clang compiler detection,1
315,f27a29b,Patch from Vijay Mahadevan updating SLEPc to new XXXDestroy syntax.,1
316,d672caf,Used Martin's patch for some changes regarding the _mesh_data pointer.,1
317,edccd7f,checkin of patch recovery error estimator from Varis.  Minor code clean-up  no rigorous testing.  I think the elem_order needs to be replaced with var_order.,1
318,1cbf111,Patch (mostly from Vikram) for AdjointResidualErrorEstimator evaluations using a matrix SystemNorm,1
319,3672669,added initial support for the patch recovery error estimator,1
320,a3833d2,Patch from Jed Brown: More generic preallocation of matrices  such that type can be changed with -mat_type,1
321,f5d3784,Weighted Patch Recovery Error Estimator and supporting functions  from Vikram Garg,1
322,149915a,adjoint_already_solved patch from Vikram Garg,1
323,f00b9c8,NumericVector::conjugate() patch from Jens Eftang,1
324,2782dad,Patch from Jed Brown for SLEPc 3.3 support,1
325,55fa171,Adding support (currently broken) for parallel DiffSystem framework solves.,1
326,ed82596,Patch from Yaqi Wang.,1
327,41c4b2a,GMV ptet10 patch included,1
328,20645db,avoid preallocation error that seems to be triggered by blocked matrix storage,1
329,c08baf8,avoid preallocation error that seems to be triggered by blocked matrix storage,1
330,f9e3874,Patch for safely coarsening a perturbed mesh,1
331,eb6bdf2,Explicitly specialize for single and double to avoid undefined function when SINGLE_PRECISION is set,1
332,63dfbdb,Fixing error in netcdf that apparently only affects OSX 10.6.8.,1
333,efb0d1e,removed an inline that caused problems for Solaris,1
334,1d14934,Avoid blksize=0 error on ultracoarse meshes,1
335,ef935ae,Reverting broken/incomplete patch,1
336,d36da1d,Better accessors for moving mesh problems,1
337,228b367,Fixing test for HYPRE in Petsc 3.0 for environments with $PETSC_ARCH set,1
338,c326da8,Patch  mostly from Lorenzo Botti  to allow for FE calculations on sides without using inverse_map in the common cases.,1
339,ce47c40,removed unnecessary xlC AutoPtr<> ap  return ap  workaround since the current xlC on longhorn is OK with this,1
340,5b18bcb,Avoid unnecessary calculations on affine maps,1
341,7f99a80,Avoid unnecessary calculations in straight-line case.,1
342,079e73e,I'd accidentally committed some deliberately-broken code that I was throwing at static testing tools.  Let's get rid of that now...,1
343,4eda032,Added n_unpartitioned_* methods  fixed ParallelMesh::n_* methods,1
344,38299fa,Get rid of some unnecessary code in NodeConstraints calculations,1
345,340761b,Get rid of some unnecessary code in NodeConstraints calculations,1
346,a2bf8fd,Bugfixes and return value (for use as a stopping criterion) for flag_elements_to_nelem_target(),1
347,1b89174,Fixes for ParallelMesh::all_first_order().  Not good enough to make plot_error() work with a non-serial ParallelMesh  but we're getting closer...,1
348,1ce707d,Bugfixes for flagging on tiny meshes  restore missing use of max_h_level,1
349,538e613,small compatibility enhancements: - explicitly assigning values to the FEFamily entries helps in   identifying the family  whether a .dat file was produced with or   without enabled ifem - for the EquationSystems<T> I/O it actually does not matter   what System type it handles  and what system type it loads.   So  changed the error (in case of system type mismatch) to a simple std::out - added in FrequencySystem the EquationSystems::parameter n_frequencies,1
350,5e07553,Adding MeshTools::libmesh_assert_equal_n_systems() as a way of debugging miscommunicated DofObject problems,1
351,3307841,Add support for 1st order hierarchics on 1st order elements  (incomplete) bugfixes for hierarchic cubes,1
352,8268d1e,Bugfixes for accidentally overwritten temporary flags  removed assumption that constraint rows are nonempty,1
353,a2f8548,Reenable parallel code for testing of cached code  cache bugfixes,1
354,4ffcd66,Bugfixes against time when max_elem_id > n_elem,1
355,27e9c88,Bugfixes for previous commit,1
356,7a3ff15,ZeroFunction  ParsedFunction bugfixes,1
357,72497ec,MeshBase::add_* API changes  bugfixes.,1
358,eeb5801,Bugfixes for rhs evaluations,1
359,83bc6ab,Bugfixes for the enable-default-comm-world case,1
360,8f0380e,Refactoring in estimate_error()  bugfixes in specpoly(),1
361,74e20fe,Bugfixes for Node = Point operations,1
362,882edaa,Simple (stupid) hp refinement options  bugfixes,1
363,b6217c5,"Bugfixes for ""cannot instantiate"" and ""initializing pointlocator twice"" problems",1
364,5c3b930,Bugfixes,1
365,f51e87c,Many (but not enough) bugfixes,1
366,03e20c1,Bugfixes for non-Lagrange coarsening  which might work now,1
367,7bf90a7,Bugfixes: backup the solution  and don't overwrite the accumulated error values,1
368,0f7d15d,Added Jacobi quadrature rules. These rules allow for conical product quadrature to be performed on tris and tets.  Although these types of rules are non-optimal (use more points than necessary and cluster points) they are correct  and easy to construct for high orders.  At this time  if you select anything beyond fifth-order quadrature for tets or tris you will get a conical product Gauss-Jacobi rule.  Other changes include fixing a broken 7 point Gauss quadrature rule which had the wrong weights  and making a few functions in the QBase class virtual instead of pure virtual.  This way you can create concrete quadrature classes without implementing anything for 2 and 3D.  The init_1D function is still pure virtual so you will at least need to define 1D quadrature rules if you create a new class.,1
369,1ce3350,Many more bugfixes/enhancements to DiffSystem framework  which now works for transient nonlinear problems,1
370,0eb9a0a,Bugfixes for mapvector-based ParallelMesh,1
371,56f5845,Elem::loose_bounding_box() tests,1
372,be6359c,Fixup constrain_element_matrix for the case where each matrix block is represented by a separate DenseMatrix,1
373,fe8f940,fixed the ::build_side() and ::side() for infinite cells.  the BoundaryMesh now works with infinite elements  too... yields cool pic's,1
374,51b6d96,Fixing one more small issue with stitch_meshes  internal sidesets were not being copied over to the final  stitched-together mesh.,1
375,cc962bf,Merge write_elements() fixes into write_elements_discontinuous() but note: * I don't have code that tests write_elements_discontinuous() * I don't know how write_elements_discontinuous() is supposed to differ   from write_elements() * It doesn't look like it's writing out the elem_num_map correctly:   it gets overwritten for each block.,1
376,ca1ba55,fixed the space-filling curve to only operate on the active elements.  Changed MeshRefinement::uniformly_refine() to only call prepare_for_use() after all the refinement steps are taken,1
377,407b91b,-Wconversion fixes are hard in 16 bits...,1
378,7483669.0,More dof_id_type and -Wconversion fixes,1
379,d98644b,More dof_id_type and -Wconversion fixes,1
380,f171897,More dof_id_type and -Wconversion fixes,1
381,8b44f9a,More dof_id_type and -Wconversion fixes,1
382,938bfb2,More dof_id_type and -Wconversion fixes,1
383,6fc715c,More -Wconversion and dof_id_type fixes,1
384,a895c95,More -Wconversion and dof_id_type fixes,1
385,24cf3e0,Still more dof_id_type  -Wconversion fixes,1
386,f2e4101,Minor bugfixes for Trilinos algebra.  This fixes the ex19 regression and make the trilinos nonlinear solver compatible with Ben's new function-object interface.,1
387,567c407,do not build Latex documentation by default  probably unreadable anyway.  more fixes for doxygen under Fedora,1
388,1e8674d,"Committing patch from Lorenzo Botti which fixes and improves XYZ finite elements. From his email: ""The major change is related to a scaling introduced to improve the condition number on small and big elements (small and big compared to the reference element). With such a scaling on linear hexs the XYZ is equivalent to a MONOMIAL basis  independently of the element size. On curved elements the approximation properties of this scaled XYZ should be better than MONOMIAL and should allow to go up to a third or fourth degree approximation without any trouble."" Also added miscellaneous_ex8 which is a copy of misellaneous_ex5  but uses XYZ elements instead of MONOMIAL elements. Tested successfully in 2D and 3D.",1
389,b000809,Fixed MeshTools::n_levels() with non-serial meshes  subactive elements  added local and active n_*_levels() versions,1
390,7164c8d,Bugfixes/enhancements for the Abaqus reader: * Fixed bug in reading comma-separated values in Abaqus reader. * Allow for general Abaqus->libmesh node mapping. * Better code for reading comma-separated element connectivities.,1
391,2b5aed6,1D support for linear and quadratic Lagrange elements  Adaptivity and finding neighbors support for 1D Generalization of side() to return AutoPtr<DofObject> rather than AutoPtr<Elem> Support for GNUPlot output in 1D Support for error estimation via Kelly indicator in 1D Some bug fixes added for allocation of zero-length arrays in dof_object.h  more needed! Changes to side() for all infinite element types to return AutoPtr<DofObject> Support for build_line in mesh_generation.C Added ex0 to test 1D code  ex4 updated to work in 1D.,1
392,f7b6610,Changed targets in the example programs from ex1 to ./ex1  for example.  This fixes the problem of not having . in your path  which was pointed out by Denis.  Thanks.,1
393,97f3f87,Fixes to remove unused variables when compiling in optimized mode with -Wall.,1
394,a4da446,major fixes for HP-UX  the suckin' OS: - aCC cannot swap  as in elem.h - inserted some more this-> - finally reading .unv works -- but why? status report on file I/O capabilities: - reading .xda: no - reading .unv: yes - writing .gmv: yes - writing .unv MeshData: works  but reordered? - reading .unv MeshData: no?,1
