Document Title,Abstract,Year,PDF Link,label
b226c0b,Change v67mbpt[60] to test HF with nspden 1 and nspden 4 with SOC,2018,,
570fea2,abiref ref,2018,,
3eae4f2,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
7444b8a,Cohsex with spinors,2018,,
f8e7fce,abiref ref,2018,,
1a051e3,Add test for SCR,2018,,
37bd92d,Code refactoring,2018,,
04740de,Refactoring,2018,,
bcf8795,adjustments to calcdensph to include the possibility of complex density arrays  corrections for printmagvtk,2018,,
64bad97,Debugging,2018,,
206fe31,Fix compilation error,2018,,
b4e1bd5,Save work,2018,,
462d520,symsigma with nspinor == 2,2018,,
6f92b00,Use abiref ref,2018,,
20932bb,Add support for symchi and nspinor = 2,2018,,
b6728f9,Activate symchi in tests,2018,,
ff5f6dd,Add test for Hilbert transform,2018,,
e087ee7,Use abiref file,2018,,
74391.0,Add pseudos for other tests,2018,,
d791d47,Merge branch 'gwsoc' of gitlab.abinit.org:gmatteo/abinit into gwsoc,2018,,
803e9a9,Increase tols,2018,,
bba58a3,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
87f7ac7,Work around gcc bug on tikal_gnu_5.4_mpich,2018,,
ffe3236,Increase tols,2018,,
badedeb,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
95a061d,Merge branch 'npike/abinit-develop' Small bugfixs to anaddb and mrgddb,2018,,
eb90126,merge with hotfix-8.4,2018,,
a0eb914,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
f87e1a7,add datatype for the fit data,2018,,
a7facbc,reoder subroutines in 78_effpot,2018,,
f72a126,remove the dimension for the imaginary part for the IFC (reduce the memory usage),2018,,
0d14638,fix dimension in atmfrc array,2018,,
654d5e5,remove option in fit_polynomial_coeff_fit,2018,,
4d30730,abirules,2018,,
69d88ee,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
4e1d93b,robodoc,2018,,
f128e7d,add MC option to the fit process,2018,,
47fa20a,Update refs,2018,,
e9c3b24,Merge branch 'develop' of gitlab.abinit.org:mverstra/abinit into mjv_eph,2018,,
a257044,Reduce memory allocated for wfs in m_phgamma,2018,,
f145e4b,merged Matteo and updated some stuff,2018,,
392870b,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
36f276c,trial symmetrization for Danila of the atom resolved PDOS in anaddb,2018,,
71e2dba,test: partial dos for q along a path in qspace,2018,,
6913be2,update ref files for PHDOS with symmetrized atom specific DOS,2018,,
00dca18,Merge branch 'develop' of gitlab:trunk/abinit into develop,2018,,
2713b37,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
64a06c2,Merge tag 'start-8.7.0' into Multibinit,2018,,
e24dc2d,Merge tag 'start-8.7.0' into develop,2018,,
c92782b,change zero to 0 for integer values,2018,,
ce7324a,add dipdip_prt input and update tests,2018,,
e657a95,add libxml flag for the abiref__gnu_5.3_serial config.ac,2018,,
7de34da,remove double quote in specs/testfarm.conf for libxml config,2018,,
65c397b,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
d021aa7,Clarified the calls to xchybrid_ncpp_cc.F90. Should still incorporate better handling of fockaux_ixc,2018,,
c697736,Merge branch 'develop' into ace_5,2018,,
d05e4c9,Merge branch 'develop' of gitlab:trunk/abinit into develop,2018,,
7708151.0,hange fockaux_ixc to auxc_ixc  and fockaux_scal to auxc_scal .,2018,,
fe1ef0b,egenerate doc,2018,,
ee10c24,Define get_auxc_ixc  and use it throughout.,2018,,
25f4814,bcf8795d branch version with Fabio's U matrix rotation option added to dfpt_mkvxc_noncoll,2018,,
4225071.0,missing https for ref file,2018,,
61be066,Now compile  and tests execute correctly. Use of auxc_ixc is rationalized  including default value. Fix typo in the doc for auxc_ixc.,2018,,
65f4c77,should work with libxc 4.0.1 - small changes in interfaces. Could a bot test be added with a recent version of libxc?,2018,,
564144d,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
90734b6,missing protection of libxc include,2018,,
0e6dbce,configure should accept libxc 4 now,2018,,
4a14566,third Vxc rotation method added (explicit roation matrix) turns out to be numerically unstable,2018,,
001b44f,graphene seems very sensitive for tutorial positron test - normally I did not touch anything which could have triggered this bb error,2018,,
b2e8803,graphene seems very sensitive for some tests. One extra line diff on graphene bot  I have simply adjusted the tolerance,2018,,
a0b4205,Merge remote-tracking branch 'trunk/develop' into Multibinit,2018,,
3172d85,fix dimension of atmfrc in 80/m_tdep_abitype,2018,,
0ba565a,Implement downsampling. Dos not compile yet. Also  clean cgtyphf.,2018,,
c80e380,Now compile. Also continued to clean : removed cg_typ,2018,,
44ce7c7,Change fock_downsampling to fockdownsampling,2018,,
64910000.0,Document new input variable fockdownsampling.,2018,,
5e057a4,Fix bugs. Document nkptns_hf. Also modify nkpthf documentation.,2018,,
f199d73,Allows tests libxc #72 and #73 (not yet ready though) for downsampling the k point grid for the Fock operator,2018,,
b871ed2,Now v7#65 works (reference should be updated  though ...).,2018,,
361db10,Echo nnsclohf in a more economical way (will need change the references). Clean the debug.,2018,,
90fad50,Determine a better nbandhf default value  echo nbandhf and nkpthf when it is useful  import stress bug fix from François  upgrade many refs files  BUT libxc#67 68  69 are not correct ?!,2018,,
79d9b96,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
8c231a4,Fix a bug  and then update the remaining references.,2018,,
4661098.0,make debug happy - explicit list of libxc CPP vars we will use,2018,,
25ac5f3,Modify test v7#65 to test non-trivial nbandhf.,2018,,
37a6bd3,Merge branch 'ace_6' into ace_1,2018,,
1fad9ee,bug corrections for stresses in the Fock context: Stresses in PAW now work and parallel calculations also,2018,,
36bb379,trial beautification of berryphase new subroutine,2018,,
998c32d,Fix compile problem ELPA. Progress in the def of test libxc#72,2018,,
1ca98cb,Echo kpthf only when there is some non-zero usefock,2018,,
f68114d,paral/t60.in was erroneously disabled because HAVE_ETSF_IO has been removed.,2018,,
53ae732,merged trunk provisional,2018,,
728330000000.0,Preliminary version of GKK file,2018,,
943115e,Fix a bug with the ordering of loops in smpbz,2018,,
1a90626,tolerance corrections for the test farm,2018,,
604c57d,Merge remote-tracking branch 'trunk/develop' into develop,2018,,
1930f03,Update reference files  with correct ordering of k points.,2018,,
9fd32d5,Disable temporarily tests libxc 72 and 73,2018,,
dadcea4,Merge branch 'release-8.6.1' into develop,2018,,
70cd422,Merge branch 'develop' into ace_6,2018,,
d2982a8,Fix memory leak in smpbz   fix incorrect links,2018,,
4335ab8,Add fockdownsampling input variable in test v7#70. A real test will come later.,2018,,
c14815f,Fix problem with the shifts   use norm conserving for test libxc#72,2018,,
506f586,Merge branch 'ace_6' into ace_1,2018,,
5e4774c,things in progress (handle with care),2018,,
40a29c8,bug correction for Fock forces,2018,,
78fdb65,Merge remote-tracking branch 'trunk/develop' into Multibinit,2018,,
20febdd,Merge remote-tracking branch 'trunk/develop' into develop,2018,,
115b5d4,Merge branch 'develop' of gitlab:trunk/abinit into develop,2018,,
e6f032e,Merge branch 'release-8.6.1' into develop,2018,,
90da232,Merge gmatteo/develop/f681 into _gmatteo,2018,,
2ea0c8a,Merge jollet/develop/20fe into _jollet,2018,,
26f1999,shift call output to outwf for ddk fil wrt berry phase output,2018,,
f9b139a,fix mem leak,2018,,
097dc9c,Fix the echo of kptns_hf,2018,,
2f99764,Final version of the tests libxc#72 & 73  to test downsampling.,2018,,
8a1416d,Merge branch 'release-8.6.1' into ace_1,2018,,
63143cf,Now tests libxc 72&73 work.,2018,,
4339c04,Add support for DDk.nc to ddk_init  netcdf output in optic,2018,,
5efcef6,Create Refs for libxc #72&73   Create test paral#09. Minor fixes for the sources.,2018,,
e7318c7,Clean debugging,2018,,
e9d2b36,Fix compilation errors on slaves without netcdf,2018,,
0d24b12,method 2 for vxc1 is working properly  but poor convergence  method1 contains mistakes  to continue fixing metallic corrections,2018,,
c0dc19f,Define new input variablse hybrid_mixing hybrid_mixing_sr hybrid_range_dft hybrid_range_fock,2018,,
1ab40b6,Separate hybrid_range into hybrid_range_dft and hybrid_range_fock for the upper routines. Should work ...,2018,,
6f63d03,New version for ELPA module,2018,,
5d41b61,Replace in all F90 hybrid_range by hyb_range,2018,,
19157d1,Replace in all F90 hybrid_range by hyb_range,2018,,
2ada948,APply change hybrid once more,2018,,
bf1a894,Final application of change,2018,,
2865cbd,Merge mverstra/develop/f9b1 into _mverstra,2018,,
d6f85b2,Change default for fockdownsampling in indefo.F90,2018,,
eb791e1,merge with the trunk,2018,,
4038c48,kpthf becomes kptns_hf also in the echo  so update the references,2018,,
d73755f,add stresses calculation for PAW Fock tests,2018,,
3fcf65e,Allow the user to modify the parameters for hybrids. Try to avoid printing them unless they have been user defined.,2018,,
38a201f,Typos,2018,,
d7bc1c9,Special treatment for HSE03 from libxc. All tests pass on my machine.,2018,,
b4cbe4d,Now test extensively all definitions of HSEx,2018,,
08fd643,Document the new input variables hyb_mixing  hyb_mixing_sr  hyb_range_dft  hyb_range_fock,2018,,
f4a8441,update refs files for libxc #72&73,2018,,
678c8a1,Merge branch 'ace_1' into ace_2,2018,,
f010b89,Switch gga_id(1) and gga_id(2),2018,,
a55484d,test reference corrections for PAW Fock stresses,2018,,
a61664e,Update refs,2018,,
92c5f69,Define tolerances for test libxc#72,2018,,
14bd0e1,method 3 for vxc regularization is working  tests ok  metalcor in progress,2018,,
6f4ee78,Merge branch 'develop' into ace_1,2018,,
707d047,Temporarily allows no test and no doc of the hyb* input variables (but they are present in ace_2).,2018,,
5ade938,Minor modifs,2018,,
f1c3fe0,Internediate state for drivexc.F90,2018,,
42bcdae,Merge branch 'develop' into ace_2,2018,,
1f9b4b7,Add two datasets to libxc#72. Also correct a few lines in the on-going implementation of B3LYP.,2018,,
334764a,Suppress the hyb_ lines in the reference abirules/t01.out,2018,,
9bf9c2c,More accurate documentation of the default for hyb_range_dft and hyb_range_fock,2018,,
d76f9f0,Introduce hyb_mixing as optional argument of drivexc  drivexc_main. Also inside xcdata datastructure.,2018,,
f0200d1,Make all input args of xcdata_init optional.,2018,,
08bcd85,add ddb_to_dtset to m_ddb.F90,2018,,
6a1c8b3,Merge remote-tracking branch 'trunk/develop' into Multibinit,2018,,
5dce9a9,Merge branch 'develop' of gitlab:amartin/abinit into develop,2018,,
1661cd0,debug option in mover_effpot,2018,,
f22a202,update ref of abichecks/buildsys/Refs/abiref_gnu_5.3_serial.ac (for libxml),2018,,
f4c5aa3,New optic.nc format.,2018,,
90ea85e,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into ddk,2018,,
59a1aab,Implemented the possibility to have optional xc_functionals as argument of drivexc and drivexc_main.,2018,,
1f4de20,debug abiref and add transfert from ddb to dtset (header of DDB),2018,,
119e5af,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
40a708c,Develop test libxc#25 of many functionals  using the hyb_* input variables. Also code combined Spencer-Alavi and HSE functionals.,2018,,
d764364,Several adjutments for the new ELPA module: OK for ELPA 2014  2015  2016  2017,2018,,
6746f77,Merge branch 'develop' of abinit-gitlab:trunk/abinit into elpa2017-2,2018,,
5Feb0300,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
4c7c0f0,abilint,2018,,
21d6e1f,Move GW-SOC tests to v8,2018,,
a6be096,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into ddk,2018,,
bb0c4c7,abilint,2018,,
270d5c2,Added python script to calculate Raman spectra from Anaddb output,2018,,
af29696,Finalize test libxc 72,2018,,
ffc9de6,Merge branch 'release-8.6.1' into develop,2018,,
ea56439,Reenable test v7#80 for nag@abiref in develop,2018,,
06535f7,Create new test libxc#74  with a pseudopotential that includes a non-linear core correction,2018,,
06d1401,right before merge with trunk,2018,,
b667700,merge with trunk  conflicts resolved,2018,,
e454c75,There is an erratic problem with nag@abiref for v7#80 even in v8.7.1 . Exclude host ...,2018,,
79dbc1f,compilation after merge ok  v8[20] updated for new calden,2018,,
f95a2be,Introduce new test libxc#74 with a pseudopotential that has a nonlinear core correction  and fix problems detected.,2018,,
427aaaf,Update refs,2018,,
b2a2b70,Modify test 72 to make it less sensitive to numerical errors. Also use option -medium.,2018,,
289fd13,Fix typo,2018,,
986b72f,Merge gmatteo/gwsoc/21d6 into _gmatteo,2018,,
671f6b3,Recover the normal default for auxc_ixc (namely  ixc 11),2018,,
6579eec,Update ref for libxc#72 due to modif of the input file,2018,,
522e9b5,Correct typo,2018,,
3b2c2c5,fld options set to -easy for tests libxc 72&74,2018,,
3c8e95a,abiauty problem..,2018,,
0fab725,abiauty...,2018,,
e22ff49,missing deallocations in dfpt_mkvxc_noncoll,2018,,
2aec0b6,cleaning up comments etc.,2018,,
575827b,Update tolerances for libxc#74,2018,,
baf266b,Resolved merge conflicts,2018,,
6eca741,Small changes to fortran files,2018,,
02fa3c5,fixed small typo,2018,,
9705408.0,pre-mr  before update,2018,,
73f3fec,Merge remote-tracking branch 'trunk/develop' into dfpt_noncoll,2018,,
92e018e,update configure.ac,2018,,
256e1b6,spelling error fixed,2018,,
9cfe38e,Slight adjustment of tolerance libxc#74 . Also exclude nag@petrus host for Tlibxc#74,2018,,
0eb2861,Update the doc for ixc. Also apply ./generate_doc.py.,2018,,
41c225b,Develop the GGA counterpart of B3LYP  for non-linear core corrections.,2018,,
fd0438b,Add missing declarations,2018,,
9ec215e,Typo,2018,,
63679a3,Clean the set up and doc of B3LYP functional,2018,,
306de4e,Merge npike/develop/256e into _npike,2018,,
98bd806,B3LYP is coded  including the non-linear core correction. Test 74 is adapted.,2018,,
6678f51,Tune libxc#72  for portability,2018,,
770cb5e,Strangely max2 complained about the previous deallocation coding. Should work now...,2018,,
a9fc1f8,Fix an allocation problem. However  max2 is still complaining about test libxc#72. I do not find the bug. So  exclude the host.,2018,,
e51430e,Fix inlined ABI_ALLOCATE  exclude host max2 for libxc#74 (deallocation problem)  introduce new input variable ixc_adv,2018,,
0ca117c,Document ixc_adv,2018,,
758a08f,Correct inlinde ABI_ALLOCATE statement,2018,,
0db6f02,Reenable two excluded hosts.,2018,,
25495b3,modifications of Raman_spec,2018,,
c9a650d,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into ddk,2018,,
88fb9d0,small bug fix,2018,,
3b24460,output renaming fixed,2018,,
59ea89c,Merge branch 'release-8.6.1' into develop,2018,,
6841b1c,Merge npike/develop/3b24 into _npike,2018,,
4e2de5e,Tune tolerance nline of v3#40,2018,,
f560a97,Adjust tolerance for test v8#81,2018,,
9a28622,Merge branch 'hotfix-8.6' into develop,2018,,
6968644.0,Merge branch 'develop' into ace_2,2018,,
5c57453,Define sigma_mixing as a member of sigparams_t,2018,,
19b440c,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into ddk,2018,,
ad9fa5e,Read ixc_adv  and prepare its use in calc_sigx_me. Tests execute correctly.,2018,,
269de61,Modify tests libxc #41-43  to read ixc_adv. Also references are modified. Tests execute correctly.,2018,,
25e3733,Declare ixc_adv 40 for all HF tests in the GW framework.,2018,,
d466d28,icutcoul is now set to 5 when HSE is done on top of GW,2018,,
165921b,Has to deal with istwfk  then nspinor  for test v8[80],2018,,
dc0d733,debug state,2018,,
2cdae42,Debug,2018,,
5dd9ac1,Debug,2018,,
d3465aa,Debug,2018,,
05d533b,Debug,2018,,
bd6bcc7,Debug,2018,,
14c72b0,Debug,2018,,
4.879e+94,Prevent attacking rhotoxc with GGA nspden=4 and requirement of XC kernel,2018,,
2e4ccc4,Test v8#80 working.,2018,,
0b2158b,Use ixc_adv and related parameters in calc_vhxc_me,2018,,
c232862,Optional argument was missing for size_dvxc. Initialize the ixc_adv of calc_vhxc_me using the optional features of libxc.,2018,,
d0bcda4,Fix issues linked with optional arguments xc_funcs. Now all tests pass  and the xc_funcs is used systematically  including for the GW part (sigma matrix elements).,2018,,
e230ee6,Fix bugs. Now all libxc tests pass,2018,,
f4a1e6f,Suppress gwfockmix in libxc#43,2018,,
ce384f0,Clean calc_vhxc_me.F90,2018,,
55b6d81,Clean gwfockmix.,2018,,
3c6b520,Merge branch 'hotfix-8.6' into develop,2018,,
a9b618c,Merge branch 'develop' into ace_4,2018,,
1019b07,Adjust tolerance for tutorial positron#4,2018,,
e1a544b,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into ddk,2018,,
5a35286,Finalize netcdf format for optic,2018,,
46adde8,Clean the developments for gwcalctyp *5   before merge request.,2018,,
1803d41,Merge branch 'ace_4' of gitlab:trunk/abinit into ace_4,2018,,
8ab7803,Merge branch 'develop' into ace_4,2018,,
5eb9b13,reactivation of abirules tests ( 3 4 6 7 ) + 20,2018,,
e2fb53a,abirules : fix reporting,2018,,
c0e6844,Changes for DFPT_+PAW+non-coll (warning: does not compile  temporary status),2018,,
111cff3,progress in DFPT+NC: use of c pointers (save memory)  store magn. in kxc  add vxc,2018,,
27748f9,fix in warningschk.py,2018,,
665524b,best outputs for 6 & 7 tests,2018,,
0d00a56,use color for output with warningschk.py,2018,,
30d6361,avoid duplicating termcolor. py,2018,,
e1e62be,try to fix encoding problem,2018,,
68b5aeb,easier resolution of the Unicode problem,2018,,
6.32e+98,Added fake -n/--no-split option to makemake,2018,,
3cffb13,Now the code compiles,2018,,
53f8bcc,"Create main executable ""dummy_tests""  to test whether coding error or bad practice are caught by the test farm.",2018,,
1741bf2,Split dummy_tests,2018,,
a978941,Development of the new dummy_tests program is complete. Should still be debugged.,2018,,
03165d3,Merge beuken/abirules/68b5 into abirules,2018,,
20eba19,Now the new executable compile correctly  and all the intentional warnings are detected.,2018,,
7b74040,Merge branch 'abirules' of gitlab.abinit.org:trunk/abinit into abirules,2018,,
49befad,Fix some conversion errors.,2018,,
ae1915a,Merge branch 'abirules' of gitlab:trunk/abinit into abirules,2018,,
ff0edc6,Correct conversions,2018,,
8194749.0,Use string dimension 200 for name  instead of 100.,2018,,
9b39b33,The pattern 'CHARACTER expression will be truncated in assignment' is eliminated  except when intentional.,2018,,
9b946c1,The pattern 'Same actual argument associated with INTENT' is eliminated  except when intentional.,2018,,
3b9ec60,Get rid off warning pattern 'Wunused-value' except when intentionally obtained.,2018,,
bfd4fee,Fix typo,2018,,
c7e9d0f,Change ixc_adv to ixc_sigma in src and doc. Also change ixc_hybrid to ixc_sigma.,2018,,
1cef202,Replace ixc_adv by ixc_sigma in Input and Refs files.,2018,,
e2cc0ef,Insert missing ifdef MPI.,2018,,
5a2a704,Update refs for which there is an intentional warning,2018,,
970464.0,Chane (temporarily) the ref for abirules#10  in order to have Jean-Michel fix a small issue.,2018,,
6e64769,The change ixc_adv to ixc_sigma had not been done everywhere,2018,,
44f3d86,Merge pouillon/buildsys-split-prep/0632 into _pouillon,2018,,
f671c3e,Merge branch 'develop' into _pouillon,2018,,
84de797,Fix typo,2018,,
bf5a40a,mv dummy_subroutines.F90 -> m_dummy.F90 and complete missing include statements.,2018,,
5cebb42,It was premature to upgrade the reference files for abirules ... abiref_gnu_5.3_debug is not capturing the warnings yet !,2018,,
03b0914,Improve the echo of warning for test 10 (from Jean-Michel),2018,,
b7b0f8a,Merge branch 'abirules' into develop,2018,,
dc2a6d0,Remove useless variables in dfpt_mkvxc_noncoll,2018,,
d90b8ab,Cleaning,2018,,
879dd2c,DFPT+NC: Bxc computed on the fly  zero limit for Bxc changed,2018,,
10929d3,Had to duplicate code in libpaw (this is a shame),2018,,
22f5cdf,Error in pawxc (new version),2018,,
000caad,Rename dfpt routines in m_pawxc (3->dfpt),2018,,
b314f96,Merge branch 'develop' of abinit-gitlab:trunk/abinit into dfpt-nc,2018,,
8458b7e,Suppress bxc,2018,,
d431ecd,Use m_xc_non_coll in m_pawxc,2018,,
cca952a,ABI_CONTIGUOUS is unknown in stand-alone version of libPAW,2018,,
9f309d7,Correction in magnetization rotation (DFPT+PAW),2018,,
d3af46a,Better implementation of pawxcm within PAW+NC,2018,,
fbddeeb,Adjust a ref file (passed->succeed),2018,,
6a235bb,Try to fix portability issue,2018,,
3666914.0,This tolerance should yield even better portability,2018,,
f43e704,Merge branch 'ace_4' of gitlab:trunk/abinit into ace_4,2018,,
0635Dec2,Replace ixc_adv by ixc_sigma in all files except references,2018,,
2348d01,Replace ixc_adv by ixc_sigma in reference files.,2018,,
096b9f9,Clean input files libxc 41 42 43 and adjust to recent use of gwcalctyp,2018,,
c4b179f,Another try,2018,,
4ed2b5f,There was still some leftover from the treatment of gwcalctyp > 100,2018,,
edc46fa,Get rid off mod100 (direct use gwcalctyp). Tests libxc[41:73] pass.,2018,,
baa4874,Suppress icutcoul and rcut from libxc#41 42,2018,,
4a33a83,Suppress an inadequate restrintion on the use of hybrids@LDA/GGA,2018,,
9792041.0,Merge branch 'develop' into ace_4,2018,,
6b7581c,Merge branch 'hotfix-8.6' into develop,2018,,
0f2f2fc,Apply src/make parents   (re)generate doc,2018,,
e2eff3e,Apply make abiauty,2018,,
e4f6736,Initialize v8.3.0  incl. *.ac files .,2018,,
58217f1,Start 8.7.0,2018,,
b6f3631,Initialize v8.7.0,2018,,
0bb87a0,First step introduce T-dep in optical properties,2018,,
ed2515f,After .rej of patch,2018,,
64bd99a,New file missing,2018,,
d5c28c3,Wrong patch...,2018,,
24f20eb,Mistakes yet again,2018,,
65fbb07,Yet again mistakes,2018,,
5b32317,Memory leak in optic,2018,,
a59c8c7,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into tdepoptic,2018,,
