Document Title,Abstract,Year,PDF Link,label
1f9a31f,hbond analysis: fixed incorrect residue handling with trailing numbers (#1339),2018,,
f189758,Fixed Issue #1347 (#1348),2018,,
8cd7603,documentation updates and fixes,2018,,
26149a1,numpy-docs for visualization module (#1346),2018,,
bf4733d,maintainer/deploy scripts,2018,,
c9f5cd0,added OC1 and OC2 to default list of hydrogen bond acceptors,2018,,
a59cd63,re-enable cron job,2018,,
5f2e0f1,removed Mock class from sphinx/conf.py,2018,,
5da4146,use sphinx-readable CSS with alabaster,2018,,
dc2dd7e,FIX: rmsf.run should return itself,2018,,
8bb6f4a,update changelog,2018,,
dc8b90c,improved selection exporter docs,2018,,
f6bc486,Merge pull request #1358 from MDAnalysis/issue-1104-selection-writer-docs,2018,,
13f2192,add comments,2018,,
ad5ff75,Merge pull request #1126 from MDAnalysis/new-sphinx-style,2018,,
afcd606,changed URL for docs to new http://docs.mdanalysis.org,2018,,
e12a647,Merge pull request #1367 from MDAnalysis/reader-speed-boost,2018,,
b60c924,Use Timestep API more in reader speed boost,2018,,
0b499e9,remove * imports in align docs,2018,,
2e2ad9f,Fix weights deprecations (#1356),2018,,
5222fc3,Updated PCA Tutorial (#1379),2018,,
6f906c0,Updated CHANGELOG for issue #1378 (#1380),2018,,
34f2370,Finalised version 0.16.1,2018,,
dfb09d6,Merge branch 'develop',2018,,
723cd89,Updated c sources for 0.16.1,2018,,
9c1b6d1,Tagged release 0.5.1,2018,,
0149cba,updated VMs,2018,,
66d73c6,Make openmp detection work on debian,2018,,
53cdffa,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
256699,Bumped version to 0.12.1-dev,2018,,
8fc52ae,Added wheel options to setup.cfg(s),2018,,
68df27f,Merge pull request #471 from kain88-de/openmp-detection,2018,,
0411d10,Fixed up CHANGELOG chronology,2018,,
b7c3522,Update CHANGELOG with changes in setup.py,2018,,
7b77951,new LAMMPS test files,2018,,
f393a64,fixed dt for LAMPPS DCD and setting of dt by user,2018,,
15d577b,added tests for LAMMPS DCDWriter and exceptions in DCDReader,2018,,
f5ad35f,testing flavor of DCDReader/Writer,2018,,
2a3c00e,updated docs for LAMMPS trajectory reader (units),2018,,
9dd05cc,fixed DCDReader.dt was not in sync with Timestep.dt,2018,,
893f661,Merge pull request #472 from MDAnalysis/fix-lammps,2018,,
f9eb342,doc fix in LAMMPS DCDWriter,2018,,
547f365,Added tests for Issue #476,2018,,
a1ce396,Fixed topology.base.guess_atom_element raising IndexError,2018,,
a626960,Merge pull request #477 from MDAnalysis/issue-476,2018,,
92936c7,Finalised 0.12.1 changes,2018,,
1b73883,Docs rebuilt for 0.12.1 release,2018,,
bd49cc9,Updated MANIFEST for Tests,2018,,
fdcbe82,fixed numpy -> np in LeafletFinder,2018,,
fb1e050,Merge branch 'develop' into release-0.12.1rc1,2018,,
9163e91,release 0.7.4,2018,,
1750084,Fixed: testest broken by the new PrimitivePDB Reader and Writer,2018,,
2391408,Issue 92: fixes/enhancements in relation to GLYCAM,2018,,
2056877,updated coordinate module docs,2018,,
8239120,regenerated HTML (online) docs,2018,,
8116017,new AtomGroup.moveto() method (+test),2018,,
6298104,notes on netcdf installation and projected release date for 0.7.6,2018,,
6033416,Trajectory API: partial implementation of Reader.__getitem__(),2018,,
4339386,fixed type selection,2018,,
9455306,Merge branch 'develop' into Lukas/HOLE,2018,,
7004214,regenerated online docs,2018,,
3966626,Merge remote-tracking branch 'alfred532008/tprparser' into pyTPRparser,2018,,
3198250,Fixes Issue 133: helanal: additional output of local bend and unit twist angles,2018,,
7271e52,docs: fixed broken links to CHARMM docs,2018,,
3000338,fixed memory blowup in the unit tests (introduced in commit 1e05654b23e2),2018,,
feb0722,H-bonding analysis now defaults to updating selections each time step (fixes Issue 138),2018,,
4786302,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,2018,,
0638463,Duplicated line in selections.rst removed,2018,,
30e29e0,Merge branch 'XDRclean' into develop Merged and finished converting the code to use libxdrfile2,2018,,
0157526,update CHANGELOG (Issue 184 fixed),2018,,
0228236,Fixes for Issue 201,2018,,
9098e46,"Code ""PEP8-fied""",2018,,
1763454,version changed to 0.9.2-dev. Documentation regenerated accordingly,2018,,
9577966,updated top-level README,2018,,
128d611,Added .nojekyll file to disable Jekyll,2018,,
4287276,Merge pull request #246 from MDAnalysis/feature-wrap,2018,,
603f768,Updated CHANGELOG to reflect resolution of Issue 256.,2018,,
e1f7a92,Version updated to 0.9.3-dev and doc regenerated,2018,,
dc7831e,Merge branch 'develop' of https://github.com/MDAnalysis/mdanalysis into develop,2018,,
f53e054,Added Tyler back to the 0.9.2 entry of the Changelog,2018,,
df95ff6,Added force reading to Amber netCDF4 reader,2018,,
ada5de0,Added guess_bonds to Universe and AtomGroup (Issue #245),2018,,
660115c,Merge branch 'develop' into feature-autobonds,2018,,
ec77b3c,Merge branch 'feature-autobonds' into develop,2018,,
bb010e7,MOL2Writer - add limitations and examples to documentation - resolves #227 - incorporated suggestion from @richardjgowers,2018,,
c5ca8b6,Added tests for NCDFReader.  Finished Issue #257,2018,,
625b076,Partially resolves #222 - still no tests  likely still broken for more complex cases,2018,,
b210934,Merge branch 'develop' into feature-netCDF_Forces,2018,,
855c363,Bumped version number,2018,,
8350328,Merge branch 'feature-netCDF_Forces' into develop,2018,,
c4de5de,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
3e02ee9,Added the 'same ... as' selection keyword (Fixes #217),2018,,
566f3ee,Added the 'same ... as' selection keyword (Fixes #217),2018,,
1f330d1,Added docs for the 'same ... as' selection keyword,2018,,
7d288d9,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
8848fd0,Added (another) Amber coordinate reader,2018,,
4b657e1,Updated CHANGELOG,2018,,
b2d70dd,Added SingleFrameReader,2018,,
7d2e276,Fixed failure when time not present in INPReader,2018,,
b9f12ce,Merge pull request #265 from MDAnalysis/feature-AmberCRDReader,2018,,
2f76d65,Merge pull request #267 from MDAnalysis/feature-singleframereader,2018,,
bd13e24,Updated INPCRDReader to SingleFrameReader style,2018,,
45bb4ee,Cleaned up coordinates/PDB,2018,,
1438f59,Fixed MDAnalysisTest not installing inpcrd data,2018,,
c648075,Finished coordinates tidy up,2018,,
e57d9e8,Merge pull request #269 from MDAnalysis/feature-readercleanup,2018,,
e72df36,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
0d1220f,better error messages for topology and coordinate formats (Issue #266),2018,,
6736ddb,Fixes Issue #273,2018,,
82c6557,Cylinder selections now work from AtomGroup instances and honor PBC.,2018,,
26a20bf,Merge branch 'fixed_cyzone' into develop,2018,,
9b1f0e9,Minor cosmetic cleaning,2018,,
bb7f382,Added MDAnalysis.lib module,2018,,
29df17b,Doc & pep8 fixup for core.distances,2018,,
cea341f,Minor fixes to some docs,2018,,
135dc55,Added MDAnalysis.lib._distances_openmp,2018,,
62a54ef,Added MDAnalysis.lib._distances_openmp,2018,,
40404f5,Fixed empty Universe not having topology dict,2018,,
28261dc,Added travis and coveralls,2018,,
00b00dc,Started translating core.transformations doctests into unit tests,2018,,
e77de5c,Fixed core/distances,2018,,
b584b37,Merge branch 'develop' into feature-openmpdistances,2018,,
69cfb15,Added travis tests for 2.6,2018,,
af862df,Removed dict comprehensions,2018,,
e5c059e,TestTopologyObjects: reduced test precision from 4 to 3 decimals,2018,,
4345e16,Merge pull request #278 from richardjgowers/develop,2018,,
3c7fe4f,README: changed travis-ci coverall badges,2018,,
0048b0a,Improved PDB performance (Issue #212),2018,,
b561151,bumped release to 0.10.0-dev,2018,,
846f7a7,MDAnalysis.align: submodules are not automatically imported anymore,2018,,
e53bc09,Structural superpositions (analysis.align) can use incomplete matches,2018,,
8250a83,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
987a412,fixes/enhancements for analysis.align,2018,,
04a8f70,merged develop (fixed CHANGELOG conflicts),2018,,
bc3db2c,Merge branch 'feature-improvedPDB' into develop,2018,,
1d86042,Final fixes,2018,,
7a26ab1,Added PSA module  updates to sphinx RSTs (not compiled).,2018,,
797712d,Generated Sphinx docs for psa,2018,,
3f320d3,Merge pull request #281 from sseyler/psa,2018,,
0dee7a5,added sseyler to AUTHORS and updated CHANGELOG,2018,,
0a1a268,Updated travis to only run coverage report on 2.7 job,2018,,
57eebe1,Updated travis to only run coverage report on 2.7 job,2018,,
1687fc5,Merge pull request #283 from MDAnalysis/feature-openmpdistances,2018,,
129497e,Merge branch 'develop' into gh-pages,2018,,
cd5583b,reST fixes (align and psa) and CHANGELOG fix,2018,,
87d3625,regenerated online docs with sphinx,2018,,
eea3d60,Merge branch 'develop' of github.com:MDAnalysis/mdanalysis into develop,2018,,
c707706,more reST fixes in analysis.psa,2018,,
ae2f747,online docs regenerated,2018,,
417d5de,Removed superfluous scipy import from psa module.,2018,,
fafb7b2,Merge pull request #285 from sseyler/develop,2018,,
af18501,Removed analysis from coverage report,2018,,
40ac1dc,Removed some unused tpr utils from coverage scope,2018,,
6bd2b6b,More tests for core.transformations,2018,,
696c991,Fixes for 2.6 compat,2018,,
92800c5,Finished writing tests for core.transformations,2018,,
dc155a5,Merge pull request #289 from MDAnalysis/feature-transform_tests,2018,,
70eb290,Finished finishing transformations tests,2018,,
fc47f09,Excluded visualizations from code coverage,2018,,
4fff079,Tagged some obsolete parts of LAMMPSParser as no cover,2018,,
147309d,README.rst: footnote on coverage,2018,,
3615387,Merge pull request #291 from MDAnalysis/orbeckst-patch-1,2018,,
0ae5394,Added indexing of *Groups via boolean arrays,2018,,
37602a6,Merge pull request #290 from MDAnalysis/feature-booleanindexing,2018,,
06c93bc,Version changed to 0.10.0  date on CHANGELOG fixed and documentation regenerated,2018,,
638463,Duplicated line in selections.rst removed,2018,,
dddc184,Create branch release-0-6-3,2018,,
8bc82f7,release 0.6.3 docs  version set to 0.6.3-rc1,2018,,
86b01a6,FIXED: adk_oplsaa.gro test file was not included and some tests failed if done from a non-developer install,2018,,
6d88101,reduced precision for distance tests from default to 5 decimals so that they also pass on 32 bit,2018,,
7.79e+47,minor doc improvements,2018,,
c5d4f27,mass-guessing for the PDBParser (unknown are set to 0!) and fixed backbone_dihedral in examples,2018,,
301f0f2,updated scripts in examples,2018,,
dde8566,added basic XYZ trajectory reader with compression support. See coordinates/XYZ.py for more details,2018,,
0e88bd6,standard documentation update - added Phil Fowler as author - reformatting and update of the README  with links to the wiki - minor doc fixes - schedule release for 07/08/2010 - AUTHORS file included in distribution,2018,,
728b674,Trajectory API: optional attribute 'compressed' defined and streamlined guess_format() by introducing get_ext(),2018,,
1125174.0,altered XYZReader class to not use format  also added unit tests for simple and compressed XYZ files (files in tests/data and comments),2018,,
ffc7753,release 0.6.3 (updated/reformatted CHANGELOG and bumped version) - included all changes since branching (XYZ reader  fixes) - all unit tests pass (Mac OS X 10.6.4 + MacPorts) for this revision,2018,,
b4d998b,Universe and load_new: cleanly load universe from a sole pdb or gro but nothing else - load_new: returns file format and filename or None if no input file (for building   psf-only universes) - load_new: raises TypeError if no reader for the format can be found,2018,,
f6b38a4,Create tag release-0-6-3,2018,,
3750663,Fix of leaflet.py - AtomGroup must be imported from MDAnalysis.core,2018,,
4.25E+98,simple example for using rotateby(): build the MthK tetramer (sort of...),2018,,
2616917,Trajectory API: use close() to close the trajectory,2018,,
7603305,coordinate tests: make sure that for Gromacs tests the conversion flag is set correctly - set core.flags[convert_gromacs_lengths] explicitly in setUp - encountered failures (possibly when running multiple tests with --processes=8) which   came about because the conversion flag was set to False even though it should have   been True,2018,,
caaede7,Create branch release-0-7-0,2018,,
5f4fef6,prepare 0.7.0 release: set release and date,2018,,
861639e,fixed race conditions in test suite - any tests that relied on values of the internal flags have been   changed so that they set behaviour through keyword arguments instead    of manipulating flags - affects gromacs conversion of length (GRO  XTC  TRR) with the convert_gromacs_length   flag and the use of the permissive PDB reader (permissive_pdb_reader flag) - tests could fail when they were performed in parallel and different test threads   changed the global flags - added a fes tests to check for the default values but DO NOT USE THE FLAGS during   testing,2018,,
aaabfa1,rc 4,2018,,
9398f8d,fixed: tests for crd files would fail (added crds to setup.py distribution),2018,,
a9b7195,upgraded ez_setup.py to 0.6c11,2018,,
26f4e9d,Fix for issue 51: bolean correction from and to or for various flot32/64 checks etc.,2018,,
1d0b90c,added Joe Goose to AUTHORS and documented fix of Issue 51 in CHANGELOG,2018,,
a8454cb,release number 0.7.0 with changes to setup.py - removed numpy from requirements because we are needing it anyway    even for setup and thus check earlier  easy_install is sometimes   trying to download a version of numpy even though a required version   exists in the system. This can be hugely annoying is prevented   by removing it from requirements. - raise the error when importing numpy fails in order to make   debugging easier,2018,,
0af3fb6,improvements to testing - added assert_ to test_atomgroup so that the tests can also be run with numpy <1.5 - added mini example script to examples for how to run all tests,2018,,
aad2ad5,Create tag release-0-7-0,2018,,
ab5e9e1,release 0.7.4 (fixes  enhancements and data files moved into separate package MDAnalysisTestData-0.7.4),2018,,
f2a497b,release 0.7.3 (fixes and enhancements and removal of dependency on LAPACK),2018,,
727c469,Create tag release-0-7-2,2018,,
6cc7b17,XDR-related cleanup and unit tests. Large file indexing now ok in 32bit.,2018,,
e75d869,libxdrfile2.0 license modified to GPL. Minor cleaning.,2018,,
510db46,TRZReader upgrade,2018,,
e67ce35,Adaptation/renaming to libxdrfile2,2018,,
3e+30,Merge branch 'XDRclean' into develop Merged and finished converting the code to use libxdrfile2,2018,,
a955578,Update of TRR I/O doc and improved error-checking.,2018,,
ae1b14c,Added applyPBC(coords  box) function to core.distances.  This moves all  atoms within the primary unit cell as defined by box.  Will work with both triclinic and orthogonal boxes.,2018,,
517bfa4,Added 'use_pbc' flag to core.flags this toggles the pbc flag in AtomGroup methods.,2018,,
69ebc6c,Made unit tests for Issue 164  Timestep.copy() not functioning properly,2018,,
62b8bdc,Merge remote-tracking branch 'richardjgowers2/issue156' into Issue/156,2018,,
31d83bb,minor reST cleanup in AtomGroup,2018,,
dceb7c7,AtomGroup.bond(): renamed keyword minimage to pbc for consistency,2018,,
5f9b2f2,reduced prec from 5 to 3 in TestPBCFlag,2018,,
a42d488,reST fix,2018,,
2d5a068,Fixed Timesteps not copying correctly (fixes Issue 164),2018,,
044b513,Merge remote-tracking branch 'richardjgowers2/TScopy' into develop,2018,,
1c81d77,added maintainer/install_all.sh for quick installation,2018,,
53ed8c0,Added copy_slice(slice) method to base.Timestep (Fixes Issue 163),2018,,
de467cc,MDAnalysis.analysis.rms.rmsd(): new center keyword,2018,,
2ad3e7f,changed name of flag 'convert_gromacs_lengths' to 'convert_lengths',2018,,
e07ff2b,Some corrections to documentations files.,2018,,
3e9feb0,Version bumped to 0.8.1rc1,2018,,
4b763d3,helanal: minor doc change (numpyfication),2018,,
f5b3503,Added core.topology.TransTable.copy method,2018,,
0a9a84a,added TopologyAttr.copy,2018,,
7b4bf01,added core.topology.Topology.copy,2018,,
a5c16d1,Added Reader.copy method,2018,,
8664cd7,Removed the problem where t0 was ignored. Changed the organisation of the functions and used mroe consistent variable names. Removed the mention of parallel selection which was not implemented. Inlined the function which did not do much.,2018,,
6fb2727,Corrected ProgressMeter to display loading correctly. Adjusted code to adhere to the 80 character line width limit.,2018,,
b6c0086,Bumped version to 0.17 release,2018,,
3961b09,Start of 0.17.1,2018,,
10ee7ff,Enable pytest warnings (#1661),2018,,
911ea22,added reading of record types,2018,,
93aefc7,added test for default record_types,2018,,
9.851e+35,Refined comments as discussed in https://github.com/MDAnalysis/mdanalysis/pull/1759,2018,,
5265b62,encoding of RecordTypes,2018,,
4de452f,fixed ResidueGroup and SegmentGroup RecordType access,2018,,
d9ef4ec,Merge pull request #1762 from MDAnalysis/issue-1753-add_recordtype,2018,,
7cc1e81,Fixes Issue #1582  AtomGroup.dimensions now always returns a copy,2018,,
b56ef01,Merge pull request #1764 from MDAnalysis/issue-1582-dimensions_copy,2018,,
2cdf0fb,Test case for the t0 argument being ignored. Corrected the original test_SurvivalProbability. The first point has to be 0 (autocorrelation). I changed the universe for the test so that the timeseries is not only 1s (meaning that nothing changes and the test is too naive). This could be further improved by using actual verified values.,2018,,
f658404,Adds S array type validation to lib.distances.transform_StoR,2018,,
62522f5,Adds tests for lib.distances.transform_StoR,2018,,
6fdf06d,fix header length information in dcd,2018,,
0ac274e,Refactors lib.distances._check_array and adds lib.distances._check_aray_dtype,2018,,
46d90c4,Testing Survival Probability against actual results. Changed selection of water to be only around one interface residue GLU with a short radius to make the analysis and selection faster.,2018,,
1fd24eb,Importing explicitly waterdynamics since this is the module we are testing in this file. Decreased precision to 3 decimals.,2018,,
f170e59,Author's name - first contribution,2018,,
fd68f60,DCDwriter now has a option to set istart,2018,,
c5504e5,Updates CHANGELOG with Fix of #1699,2018,,
4945415.0,Adds Nabarun Pal to list of authors,2018,,
adaf9d9,use istart information in dcd to set correct time,2018,,
b307e73,update changelog,2018,,
7a82fa9,Update CHANGELOG,2018,,
75b69bc,Update test_dcd.py,2018,,
2c55dcd,proper null termination of remark string,2018,,
eae5845,ENH: Added directed_hausdorff from scipy to speed up hausdorff calc (#1758),2018,,
1ae6ed5,add binder button (#1770),2018,,
2703b38,Merge pull request #1767 from MDAnalysis/fix-dcd-witer,2018,,
0a09297,Refactors topology.guessers by changing the criteria when warning is raised,2018,,
9935167.0,fixed link to Amber nctraj format,2018,,
daf6c1a,docs: updated path to matplotlib objects,2018,,
a5517b9,updated Amber TRJ docs,2018,,
83f8383,restructured Amber docs and WebCited original Amber format pages,2018,,
a647b2e,Adds machinery to recognize dummy atoms and assign masses,2018,,
c85cc4e,Add new function topology.guessers.validate_atom_types,2018,,
10184af,Fixes a bug in topology.guessers.validate_atom_types,2018,,
7.506e+80,Adds test to check for no warning when topology with MW atom type is loaded,2018,,
acfa56a,reST formatting fixes,2018,,
fc81ad0,raise minimum scipy version to 1.0.0,2018,,
97e6752,Add reindex option to write atom id to gro file,2018,,
1c5d2fc,Add test,2018,,
4b62604,fixed the PDB format of the HOLE test file PDB_HOLE,2018,,
0bf8090,Add doc,2018,,
2322fa4,Update GRO.py,2018,,
323823b,fixed broken links in HOLE docs,2018,,
ae62b93,added pbc to dist(),2018,,
69746d9,added test case for pbc in dist(),2018,,
34b3276,Added Universe.copy,2018,,
fc20c22,Fix docs,2018,,
b78f7ce,fix typo,2018,,
2f55f50,pytest.fixture,2018,,
9756173.0,Fix object,2018,,
09680c0,added pbc to dist(),2018,,
7b6ad00,Fixes Issue #1771,2018,,
3088f19,added testcase for dist w/o pbc,2018,,
1b514a8,Uses assert_nowarns for testing,2018,,
3b46b31,added pbc to calc_angle() in hbond_analysis,2018,,
efa0842,decimal correction in test case,2018,,
00c785b,changing assert_almost_equal to assert_allclose to correct precision error,2018,,
38af730,added pbc to hbond_analysis and required changes made,2018,,
b992af4,minor error correctionin mdamath.py,2018,,
3366c8a,minor changes in test_distance.py,2018,,
5368a7a,passed parameter through fixture,2018,,
931c170,File for duecredit module to load,2018,,
60430.0,add citations for MDAnalysis,2018,,
bbe9fe5,Changed the format of due.py to resolve the error in test,2018,,
941afa0,added handling of atom_style kwarg for Lammps Data parser & reader,2018,,
3c6d6b1,Adds cylayer and ccyzone to docstring of AtomGroup.select_atoms,2018,,
7e7a154,validating dimensions for self.pbc and addition of discription to docstring,2018,,
e135861,added atom_style kwarg to Lammps Data file reading,2018,,
2457627.0,Fixed MPI fork() warning when importing MDAnalysis after MPI_Init() call,2018,,
3.6e+22,Fixes typo in docstring of topology.guessers.validate_atom_types,2018,,
c4c7ad6,Removes the added versionchanged,2018,,
3d86c45,Updated docstring for AtomGroup.select_atoms,2018,,
8955570.0,fix (scope='class'),2018,,
41787ac,fixed up tests for reindex growriter,2018,,
6159650.0,MAINT: Config / DOC updates for latest asv version.,2018,,
e97fd8e,Updates hole download links,2018,,
eaaa968,Merge pull request #1793 from MDAnalysis/issue-1791-lammpsparser,2018,,
0308d68,applied changes suggested by @orbeckst and  @richardjgowers,2018,,
e47215b,added changelog entry for PR #1794 and added @zemanj to the list authors,2018,,
7c6e970,doc updated for #1791,2018,,
3b40305,fixed up GRO and LAMMPS docs,2018,,
eabf44f,made atom_style kwarg optional,2018,,
48f8dc4,renamed error variable,2018,,
a28e672,Updates CHANGELOG and adds name to author list,2018,,
9761de7,Updates to https urls for downloading hole,2018,,
37f51d3,whitespace removal,2018,,
713dc36,Removes unnecessary docstrings,2018,,
1fa0f81,Reorders docstring elements for better consistency,2018,,
a5f09a0,analysis.align: fixed error messages and fixed use n_atoms,2018,,
50f0bcb,align.get_matching_atoms(): more checks and tests,2018,,
139f4b9,AMBER NCDF reader mmap=None as default,2018,,
dc32455,tests for unwanted side effects when importing MDAnalysis,2018,,
44a1356,tests for unwanted side effects when importing MDAnalysis,2018,,
dbafc04,added changelog entry for import side effects,2018,,
dc706ed,added myself to the list of authors,2018,,
9b32968,AMBER NCDF: cleaned up mmap use,2018,,
f8b583b,Python 3 compatibility (still likely to break other tests),2018,,
a4a6d81,Python 3 compatibility (still likely to break other tests),2018,,
2f3419b,Python 3 compatibility (still likely to break other tests),2018,,
e94b1c4,Merge pull request #1813 from MDAnalysis/issue-1807-mmap,2018,,
f0ee149,isolated import tests by offloading to separate Python instance,2018,,
da738bd,isolated import tests by offloading to separate Python instance,2018,,
0f30ff5,isolated import tests by offloading to separate Python instance,2018,,
fdbd139,split the test into two separate ones (otherwise one could never fail),2018,,
96ab1cc,split the test into two separate ones (otherwise one could never fail),2018,,
d873996,split the test into two separate ones (otherwise one could never fail),2018,,
068e4ea,moved one test back into the test module,2018,,
5209585.0,moved one test back into the test module,2018,,
27d2727,moved one test back into the test module,2018,,
b15e8ea,Added the test case for Duecredit,2018,,
5e3bd49,cleanup: removed some unnecessary lines,2018,,
3f31d61,added comment explaining test_os_dot_fork_not_none,2018,,
fe68045,RMSD doc improvements,2018,,
b2fc3f9,added comment explaining why CalledProcessError is caught and raised again,2018,,
46fe093,omit due.py from coverage reporting,2018,,
dde9250,Updated docs  authors  and changelog,2018,,
e3d5cac,fixed duecredit import error reporting in due stub,2018,,
9383f08,Adding copy method to ChainReader,2018,,
149ac8b,Update TPR tests for tpx 112,2018,,
f68f884,duecredit: small fixes,2018,,
d97c75e,remove UTF-8 from duecredit citation,2018,,
bc374fa,Merge pull request #1810 from MDAnalysis/fix-aligner-errormessages,2018,,
ffc7b7a,mock out calls to fork() in duecredit,2018,,
1413eac,extensions need to be fully qualified in setup.py,2018,,
2ea22fd,add native NAMD 2.10 PSF and DCD,2018,,
b23e688,add tests for #1819,2018,,
81a44aa,correctly calculate start of time in DCD,2018,,
d3f5163,fix cython 0.28 compiler error,2018,,
6c788c6,fixes stochasticproxembed.pyx Cython compilation error,2018,,
4e323f1,fix cython to 0.27 as a band-aid solution,2018,,
486b27b,fixing istart/nsavc for writers,2018,,
340ffbf,fix copy error in cython setup,2018,,
0658f75,cython setup clean-up,2018,,
be3e4f7,removing unnecessary section from copy() and adding testcases,2018,,
f79f88b,"Revert ""fix cython to 0.27 as a band-aid solution""",2018,,
83648d2,fix rms tests,2018,,
4e7d4aa,DCD test: use decimal=5 for time tests,2018,,
d1f6b8c,Merge pull request #1822 from MDAnalysis/ayushsuhane-duecredits,2018,,
543853e,Fixes hyperlinks to external resources in docs for MDAnalysis.coordinates.PQR (#1836),2018,,
a11dce4,in copy()  seeking new reader and copying over current Timestep,2018,,
63b70f0,removing redundant test cases,2018,,
74defb7,Merge pull request #1833 from MDAnalysis/fix-cython28-build,2018,,
c7c6f40,BENCH: add rdf asv benchmarks (#1840),2018,,
994f08c,Merge branch 'develop' into issue-1819-dcd-istart,2018,,
6412516.0,updated CHANGELOG for #1819,2018,,
5a232a3,Merge pull request #1832 from MDAnalysis/issue-1819-dcd-istart,2018,,
de6a585,add GSD to docs,2018,,
d404dd4,make diffusionmap.DistanceMatrix full y use AnalysisBase,2018,,
4ce5ae9,analysis docs: explain verbose,2018,,
d91dd3c,improved docs for analysis.density,2018,,
8f950b6,changed groupby function to accept multiple attributes #1839 (#1846),2018,,
ace4dc8,Merge pull request #1843 from MDAnalysis/doc-fixes,2018,,
5be20e3,fix HydrogenBondAutoCorrel for scipy >= 1.0.1,2018,,
0baba7c,added tests for issue 1854,2018,,
