index,hash,time,message,buggy
103,5ef61be,2018-05-21 11:39:06,Clean args of print_efmas  start to assemble the arrays that will be printed in _EFMAS files.,0.0
104,a4b5fdc,2018-05-21 11:45:35,Switch band and kpt indices of efmasval  to respect usual ordering.,0.0
105,dc1e3ed,2018-05-21 13:24:24,Most arrays are ready in print_efmas,0.0
106,9aef718,2018-05-21 21:34:06,Switch pairs of indices in ch2c and eig2_diag,0.0
107,64e96c6,2018-05-21 21:42:19,Fill eig2_diag_arr,0.0
108,86c400f,2018-05-22 08:55:25,comment modif before trunk merge,0.0
109,f6bb8da,2018-05-22 08:55:36,Merge tag 'start-8.9.2' into Multibinit,0.0
110,544ecc1,2018-05-24 17:22:25,debug SP coupling in multibinit,0.0
111,f51f1a4,2018-05-24 22:01:15,Suppress initialize to zero in src/29_xgTools/m_xg.F90 (apparently not needed),0.0
112,c9f3919,2018-05-25 11:40:39,fix bug in supercell generator,1.0
113,672599c,2018-05-25 16:46:42,change default values for bmass and qmass + update ref,0.0
114,367ebfd,2018-05-27 16:50:59,*_EFMAS.nc can now be written .,0.0
115,533836a,2018-05-27 17:12:19,Also write k point reduced coordinates in _EFMAS.nc .,0.0
116,12ce79d,2018-05-27 17:25:51,Create v8_t57,0.0
117,3250148.0,2018-05-28 11:37:47,update test,0.0
118,4c86e6d,2018-05-28 13:25:25,debugging,0.0
119,8f051a7,2018-05-28 15:09:09,resolve conflicts,0.0
120,58e0866,2018-05-28 15:46:35,aesthetic spaces and interface modules removed,0.0
121,43be004,2018-05-28 15:46:50,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
122,ae19e66,2018-05-28 16:22:32,fix xml/ddb not read bug and clean,1.0
123,9568c7a,2018-05-28 17:21:42,fix undeclared variable bug,1.0
124,4b3ade3,2018-05-28 19:51:03,abimkdocs_plugin is also a requirement (local !),0.0
125,11bfe3a,2018-05-28 20:04:46,More correct modif of doc for pip install the requirements of the documentation,0.0
126,0b753bd,2018-05-28 20:31:24,Simpler,0.0
127,67fb9a2,2018-05-28 21:34:41,A dot was lacking in tutorial base 1 .,0.0
128,9063f2c,2018-05-28 21:58:34,Recover the dots that had been removed when switching to mkdocs .,0.0
129,8240277.0,2018-05-28 22:57:26,Disambiguation,0.0
130,e62bdf2,2018-05-29 00:22:20,Create v8_t57  in preparation of testing Frohlich general expression.,0.0
131,83a7fb5,2018-05-29 14:27:05,modification of initrhoij to restore normal behaviour,0.0
132,f9986b3,2018-05-29 14:29:05,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
133,7830c7e,2018-05-29 15:00:43,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
134,823dd06,2018-05-30 11:40:14,adjust tolerance for test on atlas_intel_18.0_openmpi,0.0
135,bff38c3,2018-05-30 12:41:18,Backimport the suppression of incorrect ABI_CONTIGUOUS directives  from Jean-Michel  in order to pass on GCC 8.1,0.0
136,916857c,2018-05-30 13:07:46,"Improve the descirption of usepotzero  and declare it as ""dev"" varset.",0.0
137,b8671d4,2018-05-30 14:40:44,Fix missing word,1.0
138,cd3f1bd,2018-05-30 17:41:30,Backport doc fixes from v8.9.2 .,0.0
139,d86f0c9,2018-05-30 17:42:08,Merge branch 'release-8.8' of gitlab:trunk/abinit into release-8.8,0.0
140,e9b6cbd,2018-05-30 17:48:33,Merge branch 'release-8.8' into _merge88,0.0
141,c1c9343,2018-05-30 19:13:39,Two more fixes related to ABI_CONTIGUOUS,0.0
142,57ec9f5,2018-05-30 22:51:25,Typo in GW1 tutorial doc,0.0
143,10ce352,2018-05-31 10:09:33,add energy into the goal function (need to be uncomment...),0.0
144,64ac937,2018-05-31 11:04:37,update variables in 57_iovars/chkvars.F90,0.0
145,1c45a88,2018-05-31 11:33:53,Minor modifs to the doc,0.0
146,2dc932b,2018-05-31 12:10:35,The default value for chkprim is now available at echo time  instead of being random.,0.0
147,8ddac04,2018-05-31 12:42:56,Comment out warnings that no normal user can understand. Add suggestions.,0.0
148,4da5a72,2018-05-31 13:52:32,Exclude host buda2_gnu_8.1_openmpi for test mpiio #26 ... Mmm  like Ifort18.0+openmpi ?! Perhaps there is something buggy in openmpi ... or in ABINIT ?!,0.0
149,12c90c7,2018-05-31 13:58:44,Reinstall correct testfarm.conf,0.0
150,7c90f3c,2018-05-31 14:56:08,Insert the proper section for buda2 gcc8.1,0.0
151,1ae0e7a,2018-05-31 14:58:06,Merge branch 'release-8.8' of gitlab:trunk/abinit into release-8.8,0.0
152,a80b3cd,2018-05-31 14:59:12,update variables in 57_iovars/chkvars.F90,0.0
153,a4b7db6,2018-05-31 15:07:49,Slight modif of the comment.,0.0
154,ae95228,2018-05-31 16:08:15,added xoroshiro128+ as random number generator for spin dynamics in multibinit,0.0
155,0f05216,2018-05-31 17:14:07,add test v8/t16 for spin dynamics in multibinit,1.0
156,b95cc8b,2018-05-31 17:18:20,fix auto test v8/t16,0.0
157,4c9ab2b,2018-05-31 17:29:03,Suppress bot references that are no more nightly tested (or in the on-demand pool). They are not certified anymore...,0.0
158,b107f5d,2018-05-31 17:54:59,fix bug in spin hist when there is no netcdf,1.0
159,a9b3145,2018-05-31 20:21:23,Define buda2 gun 8.1 bot with the tests for plugins,0.0
160,c54d611,2018-05-31 20:24:06,Adjust tolerance for v5_t73,0.0
161,b5f30ff,2018-05-31 20:37:13,Add reference *.ac files for different bots,0.0
162,fb35086,2018-05-31 20:38:21,Merge branch 'release-8.8' of gitlab.abinit.org:trunk/abinit into release-8.8,1.0
163,50cf4b5,2018-05-31 20:44:41,fix netcdf call when doesn't have netcdf,0.0
164,7a972d8,2018-05-31 20:58:03,add include config.h,0.0
165,bd29855,2018-05-31 22:10:28,insert add -A** to robodoc end,0.0
166,169cd1c,2018-05-31 22:47:33,small bug fix,1.0
167,eb015af,2018-05-31 23:43:36,add use m_abi_profile and m_errors,0.0
168,a2fc182,2018-06-01 00:02:19,Merge branch 'release-8.8' into _merge88,0.0
169,18eae13,2018-06-01 00:09:14,more m_abi_profile,0.0
170,dc68c73,2018-06-01 03:25:03,Suppress duplicate declaration of nucdipmom_k  due to merge.,0.0
171,aa90cfb,2018-06-01 09:03:16,use ABI_DEALLOCATE in spindynamics,0.0
172,ee7060b,2018-06-01 09:25:11,Fix MPI isend/ireceive,1.0
173,5934b95,2018-06-01 09:28:22,Check np_slk after knowing the wfoptalg value since value 114 does not need a special value,0.0
174,69d3ccf,2018-06-01 09:28:29,Merge remote-tracking branch 'refs/remotes/origin/elpa' into elpa,0.0
175,9864a3f,2018-06-01 09:28:45,small fix,1.0
176,621e14d,2018-06-01 09:34:05,small fix again,1.0
177,9c992c9,2018-06-01 09:40:16,Merge trunk,0.0
178,1f7ebd7,2018-06-01 12:55:53,"Remove input variable ""supercell"". Also initialize the global default for supercell_latt.",0.0
179,9ab45b3,2018-06-01 13:33:45,Declare ii.,0.0
180,6cc8da2,2018-06-01 14:52:27,merged trunk/develop,0.0
181,c99d7f9,2018-06-01 17:14:48,Exclude host buda2_gnu_8.1_openmpi for v8_t34 (like Nag ...) there is problem with this test ...,0.0
182,7647001.0,2018-06-01 18:01:09,exclude builder instead of exclude host ...,0.0
183,0a92785,2018-06-01 22:00:03,add licence and documentations,0.0
184,96e2092,2018-06-01 22:43:42,small bug fix in document,1.0
185,80c67b3,2018-06-02 00:25:10,The results of v7_t49 were actually not tested (v7_t48 output files were tested twice !),0.0
186,4532288.0,2018-06-02 11:39:55,Add refs files for t49,0.0
187,84ba776,2018-06-02 13:46:22,Merge remote-tracking branch 'remotes/amartin/Multibinit' into _amartin,0.0
188,993d799,2018-06-02 15:18:20,Minor modif,0.0
189,ddbaaf7,2018-06-02 16:47:30,Merge branch 'release-8.8' of gitlab:trunk/abinit into release-8.8,0.0
190,eb164bc,2018-06-02 16:50:59,Merge branch 'release-8.8' into _merge88,0.0
191,c9e3afd,2018-06-02 18:26:35,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
192,3eadba8,2018-06-02 19:28:36,Merge xuhe/spindynamics/96e2 into _xuhe,0.0
193,b2ebe89,2018-06-02 20:43:55,commented out twisted cprj parts for now,0.0
194,71b6fc5,2018-06-02 20:46:32,Merge remote-tracking branch 'remotes/trunk/develop' into beauty,0.0
195,5482cb5,2018-06-02 20:57:12,Initiate efmas_ncread,0.0
196,24ea270,2018-06-02 21:19:17,change n_cell to ncell due to the upstream change in m_multibinit_dataset,0.0
197,16f642f,2018-06-02 21:31:36,add spin_dynamics related keywords to chkvars,0.0
198,bb8b4f8,2018-06-03 00:15:30,efmas_ncread is complete. Also fixed some incimpleteness issues in print_efmas,0.0
199,7eb9030,2018-06-03 00:19:45,Allocate/deallocate kpt_efmas,0.0
200,d7cfb04,2018-06-03 00:38:08,Define input variable getefmas,0.0
201,66e5faf,2018-06-03 00:44:04,Define input variable irdefmas,0.0
202,a0a9b89,2018-06-03 01:08:12,The efmas_path file is read.,0.0
203,489381c,2018-06-03 13:49:18,Merge remote-tracking branch 'remotes/trunk/develop' into develop,0.0
204,14583c5,2018-06-04 08:44:13,Exclude v8_t34 for buda2_gnu_8.1_mpich3,0.0
205,741bd2a,2018-06-04 09:08:42,Now compiles,0.0
206,81d6c9e,2018-06-04 09:28:27,Now old tests are OK.,0.0
207,b2f6475,2018-06-04 11:27:51,outvar bug,0.0
208,7aef455,2018-06-04 12:34:24,Beautification of variables_abinit.py and bib documents,0.0
209,d441252,2018-06-04 12:37:19,beautified variables_optic.py,0.0
210,3b6ba8d,2018-06-04 13:07:23,smdelta is an integer  so should use intarr. Bug seen and fixed by Jordan Bieder.,0.0
211,4766230.0,2018-06-04 13:28:30,Merge npike/beauty' into _beauty,0.0
212,f725b6d,2018-06-04 15:04:48,beautified ffield.md,0.0
213,0eb5549,2018-06-04 16:07:03,Beautification job 2018,0.0
214,ead3b99,2018-06-04 19:20:39,Merge sponce/beauty/0eb5 into _beauty,0.0
215,e57c9ed,2018-06-04 19:26:02,Fix merge problem,1.0
216,1c0f610,2018-06-05 15:21:54,Beautification up to gw_invalid_freq,0.0
217,c309fb6,2018-06-05 16:18:35,Merge branch 'develop' of gitlab:trunk/abinit into beauty,0.0
218,5be0e73,2018-06-05 16:23:07,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
219,5b9f292,2018-06-05 17:14:34,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
220,52f6371,2018-06-06 11:51:27,beautify nuc.md and add Mossbauer examples,0.0
221,73e770e,2018-06-06 11:54:07,files added for new nuc.md examples,0.0
222,4e+217,2018-06-06 12:23:26,beautification of the GW 1 tutorial completed,0.0
223,e530036,2018-06-06 13:06:31,beautification of tutorial GW1: test suite has been fixed to be consistent with the new tutorial In total 3 test files have been eliminated,0.0
224,9ec9164,2018-06-06 17:27:46,beautification of tutorial GW2: just a few typos and layout improvements,0.0
225,27f03b3,2018-06-06 22:04:04,Add support for |alias|,0.0
226,85272.0,2018-06-07 01:13:54,Add refs  improve topics,0.0
227,807770e,2018-06-07 15:17:40,beautify optic.md,0.0
228,89ddfd8,2018-06-07 15:32:16,further beautification of optic.md and _Optic.md,0.0
229,65b621c,2018-06-07 15:50:55,further tweak of optic.md,0.0
230,6e00616,2018-06-07 17:29:16,Update the TESTINFO section for tests tgw1_?.in as suggested by GMatteo,0.0
231,9dab47d,2018-06-07 21:28:19,Merge jzwanzig/beauty/65b6 into _beauty,0.0
232,b00cf05,2018-06-08 06:39:38,Update ref file for tutorial nuc3,0.0
233,3e+19,2018-06-08 08:42:20,Change imag into aimag,0.0
234,c21fdc4,2018-06-08 08:42:44,Merge branch '_beauty' of gitlab.abinit.org:trunk/abinit into _beauty,0.0
235,97a4c1a,2018-06-08 09:28:16,beautification of tuto DFPT (RF) 1 and 2  bug in trying to add Petretto2018 reference in abiref.bib  it does not appear in the final http://127.0.0.1:8000/theory/bibliography/ page,0.0
236,b119b19,2018-06-08 11:46:43,Minor changes,0.0
237,258d07b,2018-06-08 15:35:28,final beautification process of tuto DFPT 1 and 2. I've justified the text that  I think  gives a better looking,0.0
238,b00dab5,2018-06-08 20:32:53,Minor changes,0.0
239,35caffd,2018-06-08 21:06:52,Adapt tolerances for tutorial nuc2&3,0.0
240,f280564,2018-06-08 22:24:34,Update ref files due to fix of smdelta problem,1.0
241,8.782e+78,2018-06-08 22:29:14,Merge remote-tracking branch 'bousquet/beauty' into beauty_gmatteo,0.0
242,0beb390,2018-06-09 00:50:31,Add AbiPy section to rf2 with figures,0.0
243,bd284c7,2018-06-09 02:20:48,Add DFPT cycle plot to rf1,0.0
244,8ee31e5,2018-06-09 06:05:02,Rename section for buda2 using _mpich3,0.0
245,eef58a2,2018-06-09 06:05:31,Rename section for buda2 using _mpich3,0.0
246,68b12df,2018-06-09 06:12:10,Adjust tolerance for tutorial nuc_3,0.0
247,059d58a,2018-06-09 06:13:56,Merge branch 'release-8.8' into _beauty,0.0
248,d380715,2018-06-09 06:47:48,Complete the rename of topics EffMass to EffectiveMass. Prepare ndtset 6 in v8_t57 (not yet activated).,0.0
249,1358a1c,2018-06-09 06:50:05,Use aimag instead of imag,0.0
250,ec60a6d,2018-06-09 06:53:23,Merge branch 'develop' into efmas,0.0
251,b07a8e0,2018-06-09 08:35:19,Fix DOI of Martin et al,1.0
252,376dc49,2018-06-09 08:36:33,Slightly more complete,0.0
253,4d2fb93,2018-06-09 08:38:34,Correct name of reference,0.0
254,e12e1db,2018-06-09 08:43:50,Update ref for v8_t57,0.0
255,9426567.0,2018-06-09 11:38:09,Merge branch 'develop' into efmas,0.0
256,e62ef76,2018-06-09 11:41:15,fld_options for v8_t57 is medium,0.0
257,0fcf9ec,2018-06-09 14:04:35,EffMass was still present in mkdocs.yml,0.0
258,dfd4112,2018-06-09 14:05:41,Adjust tolerance for v8_t57,0.0
259,81e0adb,2018-06-09 14:13:17,Add AbiPy plots to base3 and base4,0.0
260,bb42ada,2018-06-09 14:51:07,Insert CPP directive for availability of NetCDF,0.0
261,91a78a2,2018-06-09 14:57:07,Fix memory leak. v8_t57 not to be executed on IBM8 (no NetCDF).,1.0
262,12560f9,2018-06-09 15:01:04,Merge branch 'efmas' of gitlab.abinit.org:trunk/abinit into efmas,0.0
263,04dd0c3,2018-06-09 15:01:49,Relax tolerance for v6_t52 .,0.0
264,8d2c08d,2018-06-09 16:50:13,Shorten too long line,0.0
265,8726ac0,2018-06-09 16:53:13,Fix name He Xu,1.0
266,eb02c9f,2018-06-09 17:18:14,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into beauty_gmatteo,0.0
267,0224a17,2018-06-09 22:22:06,update mkroutine script to account for new module obligation,0.0
268,57f6613,2018-06-09 22:23:53,improved text and doc for source code tutorial,0.0
269,bc7ebb8,2018-06-10 00:37:45,Bse tutorial is now in synch with input files,0.0
270,5d03e03,2018-06-10 07:18:17,Enter eph driver with v8_t57. Fix several issues. Frohlich model not yet activated  but all readings are activated.,0.0
271,1726976.0,2018-06-10 14:09:02,Add link to MDF notebook,0.0
272,1844ad4,2018-06-11 00:17:00,half way through spin.mp update. Also a new figure for AFM FCC Fe  to be tested.,0.0
273,239c30b,2018-06-11 05:55:09,Intermediate commit. Working on m_frohlichmodel.F90 .,0.0
274,fb91d38,2018-06-11 05:59:34,Fix typo,0.0
275,f10d58a,2018-06-11 06:28:24,Fix typos,0.0
276,aadc01f,2018-06-11 06:31:02,Merge branch 'develop' into efmas,0.0
277,ba0c1d2,2018-06-11 10:53:22,Intermediate commit.,0.0
278,575d9ef,2018-06-11 12:09:45,beautification done for the gw variables,0.0
279,478dafd,2018-06-11 12:19:56,Merge remote-tracking branch 'trunk/develop' into beauty,0.0
280,193b707,2018-06-11 13:42:03,Misc corrections,0.0
281,6bfd5c0,2018-06-11 15:29:05,Merge branch 'develop' into _beauty,0.0
282,3a2cb1c,2018-06-11 15:32:20,beautification finished for me,0.0
283,206be3c,2018-06-11 15:46:32,Merge remote-tracking branch 'trunk/develop' into beauty,0.0
284,ac1abfe,2018-06-11 17:50:59,Merge jollet/beauty/206b into _beauty,0.0
285,f22a7d5,2018-06-11 18:06:56,Slightly modify the use of eph_frohlichmodel>1 for the time being.,0.0
286,f2b0404,2018-06-11 18:07:58,Merge branch 'develop' into efmas,0.0
287,5a2af1f,2018-06-11 18:08:11,Merge branch 'efmas' into efmas3,0.0
288,6486b59,2018-06-11 19:06:35,[beautification][2018] Fixed the vdw variable set,0.0
289,057a74f,2018-06-11 19:16:07,Primitive version of m_frohlichmodel.F90  only able to compute the average Frohlich effective mass.,0.0
290,ca8f723,2018-06-11 20:24:06,Merge pouillon/beauty/6486 into _beauty,0.0
291,a2b56e6,2018-06-11 20:48:28,Now m_frohlichmodel compiles,0.0
292,307c305,2018-06-11 22:17:10,frohlichmodel subroutine is OK for effective masses  v8_t57 works.,0.0
293,04b51cc,2018-06-12 00:02:35,update image file format and adapt He Xu name for mkdocs,0.0
294,a29dde1,2018-06-12 00:33:39,save for now. 75% done,0.0
295,b503862,2018-06-12 00:48:38,beautification variables_anaddb.py,0.0
296,3240b62,2018-06-12 06:39:00,Merge petretto/beauty/b503 into _beauty,0.0
297,e82bf10,2018-06-12 07:22:58,Replace the Gaussian quadrature for phi by a normal homogeneous sampling (since the integrand is periodic !),0.0
298,811f78e,2018-06-12 07:36:18,missed a latexable equation  and improved the text,0.0
299,42127b1,2018-06-12 08:35:12,Slight modif of m_frohlichmodel.F90.,0.0
300,c5f6d7f,2018-06-12 10:09:13,Fix problem with Gaussian weights.,1.0
301,5dde482,2018-06-12 10:18:04,Echo the results for electronic part of Frohlich model in the main output file.,0.0
302,2630dae,2018-06-12 10:35:43,corrected references and added ashcroft + mermin. NB: bassani is not used anywhere I think,0.0
303,de4f9c0,2018-06-12 10:43:12,Clean the computation of directions and weights for spherical integration.,0.0
304,6aeaa24,2018-06-12 11:05:47,Beauty AIM  Elastic and fold2bloch tutorials,0.0
305,31398db,2018-06-12 11:38:38,figure for AFM FCC Fe  and gitignore for auxiliary latex build files,0.0
306,6f0bbee,2018-06-12 11:39:32,alphabetize list in gitignore?,0.0
307,292242a,2018-06-12 11:44:02,reduce size of image,0.0
308,d994df5,2018-06-12 11:53:09,call ifc_calcnwrite_nana_terms,0.0
309,d605c91,2018-06-12 11:53:29,merged trunk beauty,0.0
310,f6b533b,2018-06-12 11:58:29,Update the test references with the output files of abiref for tgw1_x tests,0.0
311,292b2f1,2018-06-12 13:52:58,Mode-polarity is computed  and some averages over phonon branches as well. Compil OK as well as test v8_t57.,0.0
312,8bd73bc,2018-06-12 13:58:39,Beautification of DFT+U  DMFT  cRPA and Udet tutorials + DMFT variables.,0.0
313,f2d2d95,2018-06-12 16:59:52,Abinit beautification: DFPT vars and ffield vars,0.0
314,0764bda,2018-06-12 17:05:09,Merge vantroeyeb/beauty/6aea into _beauty,0.0
315,a05ce16,2018-06-12 17:07:01,Merge mverstra/beauty/2922 into _beauty,0.0
316,351c439,2018-06-12 17:10:47,Abinit beautification: DFPT vars and ffield vars,0.0
317,baf69c0,2018-06-12 17:20:48,Abinit beautification: DFPT vars and ffield vars,0.0
318,9339ec6,2018-06-12 17:34:10,The correction to be applied to the ZPR  due to missing q=0 volume  is computed.,0.0
319,e1e46b3,2018-06-12 19:10:37,ZPR from generalized Frohlich is computed. Still  not yet perfect agreement with the simple cubic analytical result.,0.0
320,b78e4db,2018-06-12 20:10:32,Tutorial on positron fixed,0.0
321,738aa3e,2018-06-12 20:36:50,Merge bruneval/beauty/f6b5 into _beauty,0.0
322,baba50d,2018-06-12 20:39:25,Merge amadon/beauty/8bd7 into _beauty,0.0
323,f536909,2018-06-12 20:57:22,Test v8_t57 is finalized.,0.0
324,1e849d9,2018-06-12 21:34:44,There was an error in the input file for v8_t57,0.0
325,8030ed8,2018-06-12 21:36:55,Merge branch 'develop' into efmas3,0.0
326,2e53f4f,2018-06-13 06:16:42,Update tolerances for tutorial gw1_1,0.0
327,3c110b9,2018-06-13 07:17:50,Fix ABI_DEALLOCATE.,0.0
328,3cd32c1,2018-06-13 07:23:51,Update ref for v8_t57,0.0
329,dc4dfcb,2018-06-13 07:25:35,Suppress erroneous comment,0.0
330,7e69723,2018-06-13 08:25:33,ABI_DEALLOCATE statements were missing,0.0
331,40010a3,2018-06-13 09:54:38,Added a bib reference.,0.0
332,8333686.0,2018-06-13 10:01:23,Suppress duplicate entry Sai2002,0.0
333,7872ad5,2018-06-13 10:02:58,Line exceeded 132 characters.,0.0
334,e9e962c,2018-06-13 10:03:55,Merge branch 'develop' into efmas3,0.0
335,2474bf4,2018-06-13 11:48:09,Towards new paw1 tutorial,0.0
336,96664ee,2018-06-13 12:22:54,Beautification variables-gstate first round,0.0
337,91141af,2018-06-13 12:27:10,Adjust tolerance for v8_t57 on max2,0.0
338,f80938f,2018-06-13 15:45:13,beautification,0.0
339,e6e2e49,2018-06-13 16:14:13,Beautification variables-gstate second round,0.0
340,decd576,2018-06-13 21:15:29,Merge lherbier/beauty/e6e2 into _beauty,0.0
341,d23bcb8,2018-06-13 21:17:04,Merge fnac/beauty/baf6 into _beauty,0.0
342,05ff45a,2018-06-13 21:19:43,Merge bousquet/beauty/f809 into _beauty,0.0
343,bf6fcbe,2018-06-14 08:22:11,Merge branch _beauty/05ff into develop,0.0
344,89fbe31,2018-06-14 11:46:56,Completed all references for ixc variable.,0.0
345,d0351d6,2018-06-14 12:12:07,Finalized beautification of eph and basic,0.0
346,c1b8faf,2018-06-14 16:05:06,paw1 tutorial done,0.0
347,c2a617f,2018-06-14 16:51:47,Beautification variables-gstate third and last round,0.0
348,5e3e4d0,2018-06-14 21:38:25,Merge lherbier/beauty/c2a6 into _beauty,0.0
349,a9c7fdc,2018-06-14 21:42:48,Merge antonius/beauty/d035 into _beauty,0.0
350,e2288eb,2018-06-15 09:08:45,Beauty,0.0
351,27ce80f,2018-06-15 09:16:53,Beauty,0.0
352,7625993.0,2018-06-15 10:00:56,Beauty,0.0
353,ab7823b,2018-06-15 13:13:58,Merge,0.0
354,1d153be,2018-06-15 13:23:04,Merge trunk,0.0
355,ab61776,2018-06-15 15:01:30,Gregory Geneste s contribution to documentation beautification,0.0
356,bd1d38b,2018-06-15 15:01:39,Remove duplicated bibtex entry (Souvatzis2008) in file doc/abiref.bib that made the ./mksite.py command failed. I made sure I kept the entry which was the same as the command: betterbib-doi2bibtex,0.0
357,bf39ca4,2018-06-15 16:08:59,"Corrected the ""year"" of bibtex entry Cohen and Chelikowsky. I changed the cite command in optic.md so that it now is coherent with the corrected reference.",0.0
358,1b905c7,2018-06-15 16:41:48,I have added reference Sai2002 that was cite in elastic.md but there was no reference in abiref.bib . ./mksite was complaining that this citation was missing.,0.0
359,e0d91c8,2018-06-15 18:18:14,Fix a few references in abiref.bib .,0.0
360,33aba84,2018-06-15 19:12:29,OK  paw2 tutorial done,0.0
361,371f1f2,2018-06-15 19:57:18,paw3 tutorial done,0.0
362,b52036c,2018-06-15 21:21:22,Merge torrent/beauty/371f into develop,0.0
363,96be546,2018-06-15 21:21:56,Merge torrent/geneste_beauty/ab61 into develop,0.0
364,570e642,2018-06-15 21:27:00,Merge biederj/beauty/ab78 into develop,0.0
365,de2d0f8,2018-06-15 21:28:57,Souvatzis2008 mentioned twice. Fixed.,0.0
366,36ca442,2018-06-16 06:08:13,Beautified doc/guide/new_user.md . Start to work on doc/tutorial/index.md. Also some other fixes.,0.0
367,254eaaa,2018-06-16 06:11:14,"Replace ""This lesson"" by ""This tutorial"" and ""lessons"" by ""tutorials"".",0.0
368,124d075,2018-06-16 06:14:27,"Replace ""Lesson"" by ""Tutorial""",0.0
369,5cc457b,2018-06-16 07:11:46,"Replace nearly everywhere ""lesson"" by ""tutorial""",0.0
370,99588ed,2018-06-16 08:13:56,More changes from lesson to tutorial,0.0
371,4f911c6,2018-06-16 08:30:01,tutorial:' can now be used as namespace (just an alias to 'lesson:' at present).,0.0
372,6347d11,2018-06-16 08:41:30,More replacements of lesson by tutorial,0.0
373,54d5071,2018-06-16 16:45:08,Finish modification to file base3.md for the beautification.,0.0
374,486637d,2018-06-17 05:51:28,Substitute lesson by tutorial in topics,0.0
375,a544b77,2018-06-17 08:16:15,Complete cleaning of tutorials base1  base2 and tddft.,0.0
376,99017b1,2018-06-18 06:27:11,Final modifs for vargeo input variables.,0.0
377,30429cf,2018-06-18 06:48:04,Fix linkchecker problems. Minor improvements as well.,0.0
378,3ad7ba3,2018-06-18 10:40:48,Update for scalapack/elpa,0.0
379,4d4fe61,2018-06-18 10:42:55,One more minor fix of a problem detected by linkchecker.,0.0
380,7100164.0,2018-06-18 10:54:40,Start finalization of v8.8.3,0.0
381,45c1011,2018-06-18 12:00:24,work on pseudopotentials.md,0.0
382,f328b546,2018-06-18 12:02:47,Beautification of varset='dev'.,0.0
383,350c69e,2018-06-18 12:05:05,Merge remote-tracking branch 'trunk/develop' into beauty,0.0
384,dbbce36,2018-06-18 12:29:10,Merge setten/master/45c1 into _beauty,0.0
385,255bca2,2018-06-18 12:36:26,Merge henrique/beauty/350c into _beauty,0.0
386,efcdc95,2018-06-18 15:42:51,set new ref,0.0
387,c452d3d,2018-06-18 19:08:36,Fix build example reference file for buda2_gnu_8.1,0.0
388,01c3e77,2018-06-19 06:01:48,Merge branch release-8.8/c452,0.0
389,638d9fc,2018-06-19 06:08:48,Merge branch 'release-8.8' into develop,0.0
390,da20450,2018-06-19 06:12:23,Initialize v8.8.4,0.0
