Unnamed: 0,Document Title,Abstract,time,label,
50,50,bfe7b5a5,DRR - Cpptraj: Fix issue where first character of new buffer could sometimes be overwritten by character from previous buffer.,1539150227.40183,1
229,229,66c73bcf,DRR - Cpptraj: Fix direct sum,1539149467.73779,1
765,765,76e10a9d,DRR - Cpptraj: Fix up hbond help  fix incorrect behavior of avgout/solvout/bridgeout.,1539147900.28821,1
573,573,6c47cc4a,Merge pull request #452 from drroe/fix_spam_mpi,1539148553.39304,0
123,123,7553f1be,DRR - Cpptraj: Fix up more analyses for new dataset framework,1539149854.52196,1
294,294,befeac1d,DRR - Cpptraj: Fix tests for parallel,1539149292.41114,1
929,929,a1540609,try again to fix OS X Travis build,1539148923.79825,0
847,847,71071cff,DRR - Cpptraj: First attempt to fix GIST for water models with extra points.,1539149860.92691,0
864,864,8.9278E+084,DRR - Cpptraj: Fix variable names in AMBPDB test,1539149669.80196,0
365,365,6.3193E+060,DRR - Cpptraj: Fix for # threads,1539149085.77711,1
25,25,c83a1542,DRR - Cpptraj: Fix # hbonds in nastruct on first frame read in by non-master,1539150342.69752,1
840,840,d3c77ced,DRR - Cpptraj: Fix up formatting for dihedrals  headers and fields now correspond and have sensible widths.,1539149939.83668,0
612,612,d1d76256,Merge pull request #586 from drroe/cphstats_implicit,1539148510.62613,0
598,598,91f2504f,Merge pull request #280 from drroe/fix_unwrap_parallel,1539148525.97684,0
575,575,da27777c,Merge pull request #556 from drroe/loops,1539148552.1104,0
577,577,e9e66432,Merge pull request #469 from drroe/test_ewald,1539148550.88674,0
677,677,1b848b29,Merge pull request #360 from drroe/randomsieve,1539148421.37088,0
88,88,1d4e7973,DRR - Cpptraj: Fix bug where orthorhombic imaging would fail for a dimension when subsequent dimension is imaged in same step due to too many 'else if's.,1539150013.69706,1
635,635,e219fdcd,Merge pull request #37 from drroe/improve_bondsearch,1539148486.2943,0
47,47,4a08d8d1,DRR - Cpptraj: Fix SetTruncOct so that lengths are equal to X and not just all set to zero. Add rout ine to print box info to STDOUT.,1539150252.41082,1
220,220,292902ca,DRR - Cpptraj: Fix error in debug section.,1539149480.84755,1
888,888,7f140d76,DRR - Cpptraj: Fix naming.,1539149325.2427,0
858,858,96a83a82,DRR - Cpptraj: Fix typo in help text,1539149744.62352,0
776,776,51034b44,Merge branch 'fix_gist_mem' into gist_general_solvent,1539147860.7174,1
642,642,c94db0f7,Merge pull request #304 from drroe/mol2map,1539148478.81228,1
797,797,2363c599,DRR - Cpptraj: Fix typo,1539147444.80107,1
465,465,892013f8,Merge pull request #188 from drroe/atommap,1539148741.02768,1
339,339,18e5561c,DRR - Cpptraj: Fix reference help.,1539149178.58785,1
805,805,b248d430,DRR - Cpptraj: Fix up clang compile  enable OpenMP if supported  add libstdc++ flag which seems to be required when linking to certain libraries via clang.,1539147385.4499,1
832,832,be19bffc,DRR - Cpptraj: Add 'center' option to closest  fix up reference command help.,1539150031.45435,0
320,320,ef6174c9,DRR - Cpptraj: Fix precision,1539149221.45966,1
510,510,9eac1107,Merge pull request #489 from drroe/curvefit_params,1539148607.35846,0
401,401,76747501,Fix cpptraj build when built as part of AmberTools (really fixes cpp_ambpdb  which needed to link Residue.o),1539148974.05281,1
147,147,0288298d,DRR - Cpptraj: Fix volmap sync  differences appear to be roundoff.,1539149756.35037,1
209,209,05cb1592,DRR - Cpptraj: Fix X axis label for integrate,1539149558.20193,1
142,142,07d332a2,DRR - Cpptraj: Fix for slightly different behavior of ensemble in serial and parallel,1539149782.44967,1
307,307,49ac0a04,DRR - Cpptraj: Fix memory estimation.,1539149249.51988,1
490,490,7b8963f0,Merge pull request #259 from drroe/minor_fixes,1539148625.18495,0
90,90,1fb279eb,DRR - Cpptraj: Fix up binary suffix determination for tests. Add 'cuda' test option.,1539150008.35988,1
436,436,969b13a1,Merge pull request #25 from hainm/update_parmed,1539148776.20312,0
179,179,da750df7,DRR - Cpptraj: Fix passing of default options in actions.,1539149664.15585,1
781,781,ff3d371d,DRR - Cpptraj: Change default for hb cutoff back to 3.5  reduce vertical separation cutoff to 2.0 (still may be a bit too big). Fix base pair step determination  base pairs are indexed by residue number.,1539147842.84614,1
475,475,8e768977,Merge pull request #337 from drroe/test_targets,1539148727.2699,0
654,654,ebb4b008,Merge pull request #331 from drroe/fix_cif,1539148464.94785,0
300,300,f72ed494,DRR - Cpptraj: Fix segfault in some routines using COORDS sets when velocities are present.,1539149258.80729,1
470,470,a18023bc,Merge pull request #501 from drroe/charmm_repd_logs,1539148736.34891,0
402,402,ac5dea44,Update CMake submodule  and fix CI scripts for new version,1539148959.60646,1
696,696,d9ae1d2f,Merge pull request #176 from drroe/frame_externalmem_assign,1539148359.57016,0
426,426,d6fd0351,Merge pull request #203 from rmcgibbo/check-netcdf,1539148789.83544,0
838,838,798c5333,DRR - Cpptraj: Fix code doc,1539149993.84553,0
596,596,9f7f2813,Merge pull request #470 from drroe/fix_mem_errors,1539148527.42779,0
265,265,431211fd,DRR - Cpptraj: Fix single ensemble for 'nosort',1539149389.13389,1
