Document Title,Abstract,Year,PDF Link,label,code,time
23a1bb7,Support for PDBs with 4 character resnames and segID output when writing (PrimitivePDBWriter) (Issue 63  patch by dcaplan) - When I try to read and write PDBs with 4 character resnames used in NAMD/VMD I end up with an improperly formatted PDB file. This is also an issue with segIDs not being written. - I've made a quick patch where I add support for 4 character resnames and change the format string for the output to write the segID. I also added very simple support for better guessing of atom types since the function guess_atom_type was just returning 0. - I'm still not sure about how to deal with the 2 types of format strings for writing PDBs.,2018,,,yes,1538150717.927049
bf338f5,"Issue #6: ""accessing coordinate functions of universe segments fails"" was caused by my previous skipping of the check for an empty AtomGroup. Reverted to previous version.",2018,,,yes,1538150606.17984
13e7f7d,chain reader added (Issue 39) - universe can read a list of files and concatenate them transparently   on the fly: u = Universe(PSF  [DCD_1  DCD_2  ...]) - only basic Trajectory API implemented (no indexing/slicing!) - can mix any formats (!) - added simple test case,2018,,,yes,1538150588.585754
ce80e91,Fixes Issue 1331 This handles the case where number of items is exactly divisible by number of items per line. Previously the code would always round up  where instead it should only round up when not exactly divisible.,2018,,,yes,1538150584.430524
b4a70b5,Many different code corrections according to code review (on Issue 228). Inculding: testsuites for topology reader were added. testsuites for topology reader were modified.,2018,,,yes,1538150580.786237
aed5881,AtomGroup: indexing reworked  implemented advanced slicing (Issue 36) - indexing of AtomGroup now always behaves like a list: integer --> Atom  slice --> AtomGroup  list/array --> AtomGroup (NEW  fixes Issue 36) - added test cases and modified older test cases (basically  atoms[:] cannot   be used to test for equality as it is now a AtomGroup  use ._atoms. - updated CHANGELOG (reorganized with a big AtomGroup section),2018,,,yes,1538150577.284082
a72168f,TRR I/O fully aware of missing coord/vel/force information (Issue 162) Exceptions are raised on access of missing data.,2018,,,yes,1538150565.250439
8a08496,experimental support for a special LAMMPS DCD Reder/Writer (Issue 84),2018,,,yes,1538150553.725626
0d6b32d,Added RMSF analysis class analysis.rms.RMSF (closes Issue #288),2018,,,yes,1538150544.860103
93c45e6,Resolves Issue 161 (trajectory slicing is now possible in MDAnalysis.analysis.contacts.ContactAnalysis1.run() method),2018,,,yes,1538150540.871737
0fb11f4,removed trajectory test data (Issue 28),2018,,,yes,1538150530.056736
e4f0cee,merged feature-xpdb (extended PDB) into develop (closes Issue 159),2018,,,yes,1538150520.678757
6c7a691,Patched issue with frame iteration in test_coord_match -- all unit tests now pass.,2018,,,yes,1538150503.090714
5a0eb5c,increased required Biopython version to 1.59 (Issue 147),2018,,,yes,1538150492.70276
ada5de0,Added guess_bonds to Universe and AtomGroup (Issue #245),2018,,,yes,1538150468.460798
87a1dba,rebuilt docs with sphinx (to check Issue 182),2018,,,yes,1538150466.864786
994e77d,added custom selection to ContactAnalysis (closes Issue 169),2018,,,yes,1538150465.324955
3d9b19f,Sphinx conf.py now specifies secure https mathjax_path. Rebuilt html docs. Should resolve Issue 182.,2018,,,yes,1538150463.670477
ce1508d,Issue 77: adding tests  extending the functionality,2018,,,yes,1538150455.973271
33ac4f6,Issue 724 - Removing assert statments from test units,2018,,,yes,1538150454.891044
5e84d12,closes Issue 153: AtomGroup.packintobox() merged,2018,,,yes,1538150449.974213
2fc9a84,Contact analysis: can use centroids of selected atoms per residue (closes Issue 169),2018,,,yes,1538150444.477569
a526913,test for writing DX files from density (Issue #544),2018,,,yes,1538150441.600884
354aae7,test for all selection writers (closes issue #353),2018,,,yes,1538150438.98419
407eb24,replaced netCDF4 with scipy.io.netcdf (issue #506),2018,,,yes,1538150437.401961
d55c082,New feature: support PDB altloc records (Issue 170),2018,,,yes,1538150426.649189
991a340,Changes for Issue #373,2018,,,yes,1538150407.749288
f1cecf5,Added ability to slice Reader object using lists and arrays of integers (Issue #437),2018,,,yes,1538150402.643286
966c8c2,Issue 87: moved master into package/ dir,2018,,,yes,1538150396.46511
ab943ca,"Added ""cached"" decorator (Issue 207)",2018,,,yes,1538150388.332469
06f592c,Issue 80:  Parallel distance matrix computation using Cython (closing),2018,,,yes,1538150387.103818
c5ca8b6,Added tests for NCDFReader.  Finished Issue #257,2018,,,yes,1538150386.117405
3771433.0,Moved many extensions files alongside the python code (Issue #444),2018,,,yes,1538150384.73825
01fa5b4,HBond analysis: new distance_type keyword (closes Issue 185),2018,,,yes,1538150378.554772
30e21da,Issue 87: moved UnitTest code from package to testsuite,2018,,,yes,1538150363.931069
ddf5b1d,Named groups in selections now accepted (Issue 174),2018,,,yes,1538150362.924924
390b6e8,Issue 80: Parallel distance matrix computation using Cython,2018,,,yes,1538150361.496408
134951b,Issue 79: recipe for making PCA TRRs from arrays,2018,,,yes,1538150360.624238
1e05654,discontinued support for Python 2.5 (Issue 130),2018,,,yes,1538150348.613054
cc73f72,NCDFReader (Issue 109): load coordinates right away,2018,,,yes,1538150343.253765
4a0b2e5,fixes Issue 116 (Failed to write AMBER netcdf trajectory from AtomGroup),2018,,,yes,1538150330.42759
074d349,Slicing of ResidueGroup and SegmentGroup produces the same groups (fixes Issue 135 and 148),2018,,,yes,1538150329.404026
547f365,Added tests for Issue #476,2018,,,yes,1538150324.309725
7131d6e,Closes Issue 2: TPRParser for Gromacs 4.0 - 4.6.1,2018,,,yes,1538150323.17723
86b41e2,NetCDFReader working (Issue 109),2018,,,yes,1538150309.815255
882978e,Named stream issue (#1669),2018,,,yes,1538150297.866431
c44d844,NetCDFWriter working (closes Issue 109),2018,,,yes,1538150297.01249
b23dae5,Start of Timestep API solidification (Issue #250),2018,,,yes,1538150295.332852
b26bbff,Issue 87: testsuite along package,2018,,,yes,1538150293.613904
0b8348d,Closes issue 85.,2018,,,yes,1538150265.188172
84e3882,Closes Issue #310,2018,,,yes,1538150264.319888
3c68292,Empty AtomGroup allowed (Issue 12),2018,,,yes,1538150260.110401
3b95cb9,Finished work on Issue #250,2018,,,yes,1538150258.38433
e9c013f,Added tests for Issue #304,2018,,,yes,1538150254.553841
3c9ae52,closes Issue 23: bond information can be guessed for a PDB,2018,,,yes,1538150253.630157
acf2425,Closes Issue #270,2018,,,yes,1538150252.698167
e023551,Closes Issue #620,2018,,,yes,1538150251.896035
53ed8c0,Added copy_slice(slice) method to base.Timestep (Fixes Issue 163),2018,,,yes,1538150247.499955
e952945,tests for issue #820,2018,,,yes,1538150242.624381
51b109e,Tests for Issue #532,2018,,,yes,1538150241.892073
3198250.0,Fixes Issue 133: helanal: additional output of local bend and unit twist angles,2018,,,yes,1538150241.147039
3198250,Fixes Issue 133: helanal: additional output of local bend and unit twist angles,2018,,,yes,1538150240.181458
e81a933,UnitTests for Issue 101,2018,,,yes,1538150239.25597
f19cdcc,Finished Issue #816,2018,,,yes,1538150238.840364
dc16124,Issue 1555 moltype (#1557),2018,,,yes,1538150238.241979
2ebcae2,correct reading/writing of DCD unit cell information (fixes Issue 187),2018,,,yes,1538150237.548931
22b33e8,detect OpenMP-capable compiler during setup (fixes Issue 145),2018,,,yes,1538150231.539413
f1b64de,Merged Lukas Grossar's HbondAnalysis improvements (fixes issue 103),2018,,,yes,1538150230.058632
1bd901d,fixes Issue 112 (alig.fasta2select used outdated Biopython),2018,,,yes,1538150229.544387
8a71081,fixes Issue 107: read NAMD/VMD space separated PSF files,2018,,,yes,1538150228.995336
7cc1e81,Fixes Issue #1582  AtomGroup.dimensions now always returns a copy,2018,,,yes,1538150228.344436
a5f9288,fixes Issue 143: alignto() now checks that the two selections describe the same atoms,2018,,,yes,1538150227.628006
50e6f5a,fixes Issue 122 by making netCDF4 an optional dependency,2018,,,yes,1538150226.922648
8ca4bd2,HydrogenBond analysis: fixes and tests (Issue 103),2018,,,yes,1538150226.024448
81ed228,FIXES Issue #22 (Universe.dimensions broken),2018,,,yes,1538150225.030867
34f925b,PBC for angle and torsion calculations (fixes Issue 172),2018,,,yes,1538150224.10717
3240a38,Test for issue #352 now pass,2018,,,yes,1538150220.075193
2391408,Issue 92: fixes/enhancements in relation to GLYCAM,2018,,,yes,1538150218.356809
2391408.0,Issue 92: fixes/enhancements in relation to GLYCAM,2018,,,yes,1538150217.358892
887ccee,Closing fixes to Issue 23: guessing bonds,2018,,,yes,1538150206.593653
6a76463,fixes Issue 113 (ClustalW would not be run in align.fasta2select()),2018,,,yes,1538150205.69186
e61eebb,added energy units and conversion (fixes Issue 214),2018,,,yes,1538150204.901146
520ed5a,More of Issue #250,2018,,,yes,1538150204.340863
ea70fd4,For issue #850,2018,,,yes,1538150203.52481
759b06b,Fixes Issue 199: FutureWarning from numpy in pyqcprot,2018,,,yes,1538150199.321278
4be4cb5,Fixes Issue 91: Reading/Writing of TRR velocities,2018,,,yes,1538150198.660286
a8a280c,fixes issue #99 	Infinite loop when writing single frame,2018,,,yes,1538150197.67025
2d2427e,fixes Issue 105: MultiPDB support and writing of single PDB frames,2018,,,yes,1538150197.172526
435430e,fixes Issue 111 (qcprot would sometimes return NAN),2018,,,yes,1538150196.646876
0210129,Fixes Issue #1502 (#1503),2018,,,yes,1538150196.146073
8420368,Fixes Issue #1495 (#1519),2018,,,yes,1538150195.647794
740db3d,fixes issue #95,2018,,,yes,1538150195.132273
303574b,Fixes issue #1330 (#1332),2018,,,yes,1538150194.646665
228236,Fixes for Issue 201,2018,,,yes,1538150194.102068
7b6ad00,Fixes Issue #1771,2018,,,yes,1538150186.938445
1c6fcfa,Fixes issue #385,2018,,,yes,1538150186.663942
0228236,Fixes for Issue 201,2018,,,yes,1538150186.353772
06bd71f,Fixes Issue #521,2018,,,yes,1538150186.083664
0b37120,Fixes for Issue #396,2018,,,yes,1538150185.782682
06b275b,Fixes Issue #820,2018,,,yes,1538150185.492307
4ca3235,Fixes Issue #1174 (#1505),2018,,,yes,1538150185.17096
223e381,Fixes Issue #389,2018,,,yes,1538150184.816762
50101f5,Fixes Issue #576,2018,,,yes,1538150184.480257
d25969a,fixes Issue 101,2018,,,yes,1538150184.003224
ac9afb9,Fixes issue #816,2018,,,yes,1538150180.144206
5d34981,Fixes for Issue #397,2018,,,yes,1538150179.496412
6736ddb,Fixes Issue #273,2018,,,yes,1538150178.863146
4fa0e65,Fixes for Issue #548,2018,,,yes,1538150178.329835
c7c417d,Fixes Issue 208,2018,,,yes,1538150177.813728
da35a5c,Fixes for Issue #755,2018,,,yes,1538150177.29117
3d12e60,Fixes Issue #512,2018,,,yes,1538150176.727185
e15fb06,fixes Issue 117,2018,,,yes,1538150176.079449
eb27af2,fixes issue 146,2018,,,yes,1538150175.34814
fb9ba38,fixes issue #95,2018,,,yes,1538150174.481806
0d37e3c,patch for Issue 57 by jandom,2018,,,yes,1538150169.951109
87977a3,added comment and formatting header to files (Issue 68 and Issue 69) - name  url  copyright and licence (GPL v2+)  Issue 68 - citation information (need to update once full citation available) - modelines for emacs and vim to ensure that no TABs are use (Issue 69) - might have to take a closer look at the licences of the bundled packages   and customize their comment headers,2018,,,yes,1538150167.73371
eaf6da3,Improved  Best-like contact analysis (Issue #702),2018,,,yes,1538150155.876202
cb2fb7e,Quantified code fixes for Issue #604,2018,,,yes,1538150097.209101
e11b6d2,Issue 76: integrated jjlights03's patch,2018,,,yes,1538150095.925329
929867e,PEP8 fixes topology/test_topology_str_types.py,2018,,,yes,1538150093.583048
f060ed3,parallel distance_array (Issue 80) in core.parallel.distances,2018,,,yes,1538150090.938612
fba975e,PEP8 fixes for coordinates/test_txyz.py (#1653),2018,,,yes,1538150071.035412
ee0da3c,MDAnalysis now truncates atom numbers when writing .gro files with more than 99 999 atoms  in a manner consistent with genbox in GROMACS 4.6.3. Note that it appears that some GROMACS utilities (i.e.  trjconv) actually write 00000 instead of 0 for the 100 000th atom. Both formats can be read in by MDAnalysis and VMD  and this is (overall) an improvement that allows us to write large .gro files in a workable manner. Fixes #550.,2018,,,yes,1538150060.517109
ef59286,Issue 23: 	generate bond list when using a PDB instead of a PSF,2018,,,yes,1538149870.862995
0048b0a,Improved PDB performance (Issue #212),2018,,,yes,1538149853.731516
b91013f,Issue 76: chainreader format,2018,,,yes,1538149829.361455
6111be9,Fixes error introduced by a different return tuple by libxdrfile.read_trr,2018,,,yes,1538149781.013979
5c09783,added tests for Issue 46 and Issue 47 - Issue 46 passes (except for CRD because CRD Reader is missing  see Issue 40) - Issue 47 fails (because no solution is implemented yet),2018,,,yes,1538149743.188553
10184af,Fixes a bug in topology.guessers.validate_atom_types,2018,,,yes,1538149726.981949
a55e6bd,Small bug in distances helper code This corresponds to r47 in /code/MDAnalysis.,2018,,,yes,1538149687.405393
f4fc049,Stupid bug in the calculation of CenterOfMass for Timeseries (in correl.h) This corresponds to r19 in /code/MDAnalysis.,2018,,,yes,1538149620.47831
0d1220f,better error messages for topology and coordinate formats (Issue #266),2018,,,yes,1538149611.94326
2819903,Improved the test for Issue#550 to include all lines in the coordinate file. Improved the error message.,2018,,,yes,1538149582.420522
4ee5bb4,Cleanup of code and minor bug fixes related to esoteric indexing of trajectories This corresponds to r53 in /code/MDAnalysis.,2018,,,yes,1538149457.034291
bbe9fe5,Changed the format of due.py to resolve the error in test,2018,,,yes,1538149451.676164
59560c2,Resolved issue 129 with unit test included. hole.py analysis module was missing os.close() call on temporary PDB file descriptors.,2018,,,yes,1538149437.861732
f0b2076,patch 57b by jandom: completes the fix of Issue 57 (coordinate checking of GRO/PDB writers) - From http://manual.gromacs.org/current/online/gro.html    - position (in nm  x y z in 3 columns  each 8 positions with 3 decimal places)    - velocity (in nm/ps (or km/s)  x y z in 3 columns  each 8 positions with 4 decimal places)   Does that mean a max values of 9999.999/-999.999 for coords and same for velocities  but with the decimal moved a digit to left? - added validation for gro writing  moved the coordinate checking method to parent writer class.,2018,,,yes,1538149421.991203
b992af4,minor error correctionin mdamath.py,2018,,,yes,1538149415.065869
da03548,prepared 0.7.1 release - bumped version to 0.7.1 - updated README with various package licences - updated contacts - removed doc/DevelopmentBranch.txt (outdated) and   added short README to point user to docs - fixed: pqr must be included in test cases,2018,,,yes,1538149408.954008
3ab4202,PDBQT small changes - fixed PDBQT test case  passes now sensibly - added docs - removed commented out Bio.PDB stuff in PDBQT.py (not needed) - updated CHANGELOG and AUTHORS with Paul Rigor's contribution - added PDBQT to the list of supported formats,2018,,,yes,1538149406.7507
97e5ab6,fixed race conditions in test suite - any tests that relied on values of the internal flags have been   changed so that they set behaviour through keyword arguments instead    of manipulating flags - affects gromacs conversion of length (GRO  XTC  TRR) with the convert_gromacs_length   flag and the use of the permissive PDB reader (permissive_pdb_reader flag) - tests could fail when they were performed in parallel and different test threads   changed the global flags - added a fes tests to check for the default values but DO NOT USE THE FLAGS during   testing,2018,,,yes,1538149362.076686
861639e,fixed race conditions in test suite - any tests that relied on values of the internal flags have been   changed so that they set behaviour through keyword arguments instead    of manipulating flags - affects gromacs conversion of length (GRO  XTC  TRR) with the convert_gromacs_length   flag and the use of the permissive PDB reader (permissive_pdb_reader flag) - tests could fail when they were performed in parallel and different test threads   changed the global flags - added a fes tests to check for the default values but DO NOT USE THE FLAGS during   testing,2018,,,yes,1538149360.835009
fba0d98,completed FIX of Issue 45 - delete universes in tearDown() AND any references held in other data structures - reduced the maximum memory footprint to <512MB (roughly) of one test process - tests run faster again (with --processes=2 I get 109s on my MacBook Pro 2-core for ~170 tests,2018,,,yes,1538149345.082166
48f2fb2,analysis.align: quick hacks to make it work again - must use an atom selection for the writer (workaround for Issue 49 when writing to a PDB or GRO) - added tol_mass parameter to avoid raising an exception for small mass differences (e.g. when   one structure is defined via a psf and the other via a pdb with atom mass heuristics) - fixed the progress counter (maybe use analysis.util.progress_meter instead?),2018,,,yes,1538149341.885909
d1ffce7,fixed Issue 57: optimized patch and added test case - moved the coordinate check out of the loop and test the whole coordinate array in one   go (better performance but error reporting is worse because we do not report the offending   atom anymore) - remove the opened PDB file before raising the ValueError - added test case (should have had one for PrimitivePDBWriter anyway...),2018,,,yes,1538149336.128259
9616de7,Rewrote TestLAMMPSDATAWriter to use pytest fixture (#1499),2018,,,yes,1538149317.431357
87dbe0e,Flip formats module to run using pytest (#1417),2018,,,yes,1538149304.141983
2d969b7,Run the pytest testsuite in parallel (#1418),2018,,,yes,1538149274.656105
b97f2ab,Port core module to pytest (#1443),2018,,,yes,1538149230.340827
10ee7ff,Enable pytest warnings (#1661),2018,,,yes,1538149205.504651
be8db1c,Port auxiliary module to pytest (#1439),2018,,,yes,1538149197.247361
d014d41,FIXED Issue 37: simulation box were not converted - added coordinates.core.triclinic_box() and triclinic_vectors() to handle conversion - added function convert_dimensions_to_unitcell() to Writers   and added to the requirements of the Trajectory API - GROWriter: introduced a temporary GROWriterStandard class which will replace the current   GROWriter (which got a DeprecationWarning),2018,,,yes,1538149179.233055
9ecb534,new attributes for Atom: radius and bfactor - enhanced Atom object with the radius value (read by the PQR reader) and   added radii() to AtomGroup  this should make it easier to handle PQR files - changed the way that B-factors were stored: they are now also store with   each individual Atom. For compatibility with the old behaviour  AtomGroup.bfactors   is still a (managed) attribute but this will likely be changed to a method in   the 0.8 release to have a more uniform interface - Fixed a bug with the Bio.PDB reader: in the absence of a segid in the file it   would throw an error,2018,,,yes,1538149169.434523
Feb0722,H-bonding analysis now defaults to updating selections each time step (fixes Issue 138),2018,,,yes,1538149160.933883
ea8f40c,Gromacs trajectories fixes and improvements - FIXED: trr/xtc tests failed (on Mac OS X) when MDAnalysis was properly installed   as a egg directory but not as a developer install:   - forgot to include the trr and xtc files in the package   - learned that xdrfile_open() segfaults (at least Mac OS X) if     there is no file: added additional check to prevent that - Gromacs XDR reader now behave like DCDReader:   (1) raise IOError when done    (2) continue raising with repeated next() - for some reason  TRR files can (always??) return status exdrINT at end of file  catch   this in _read_next_timestep() - regenerated swig files from libxdrfile.i (only minor doc things),2018,,,yes,1538149159.634575
c5b7c4a,Gromacs trajectories fixes and improvements - FIXED: trr/xtc tests failed (on Mac OS X) when MDAnalysis was properly installed as a egg directory but not as a developer install: - forgot to include the trr and xtc files in the package - learned that xdrfile_open() segfaults (at least Mac OS X) if there is no file: added additional check to prevent that - Gromacs XDR reader now behave like DCDReader: (1) raise IOError when done  (2) continue raising with repeated next() - for some reason  TRR files can (always??) return status exdrINT at end of file  catch this in _read_next_timestep() - regenerated swig files from libxdrfile.i (only minor doc things),2018,,,yes,1538149158.499634
44eb889,fixed: PDB writer would fail if atom type was an integer - use new guess_atom_element() which right now just does the same as guess_atom_type()   to always guess the element from the atomname - improved guess_atom_type() by also checking for names that start with numbers   such as some hydrogen atoms,2018,,,yes,1538149153.353602
