Document Title,Abstract,Year,PDF Link,label,code,time
8f78157,USER-DPD: aplly unpack_comm_hybrid bugfix d31121b to atom_vec_dpd_kokkos.cpp,2018,,,yes,1538162963.607857
654e09e,correct input examples affected by the Pair::settings() bugfix,2018,,,yes,1538162959.846334
87ea9ba,bugfix for library interface,2018,,,yes,1538162958.71705
982331.0,USER-DPD Kokkos: replicate 7a593c2f bugfix to pair_table_rx_kokkos.cpp,2018,,,yes,1538162952.547624
0982331,USER-DPD Kokkos: replicate 7a593c2f bugfix to pair_table_rx_kokkos.cpp,2018,,,yes,1538162951.607689
8210b25,USER-DPD Kokkos: replicate 9a560b90 bugfix to atom_vec_dpd_kokkos.cpp,2018,,,yes,1538162950.634231
da7776f,Bugfix for the limit keyword,2018,,,yes,1538162943.945602
01d0a5c,BUGFIX: use Kokkos::atomic_fetch_max() to avoid a race on new_maxneighs,2018,,,yes,1538162942.965422
ff2b613,Bugfix for building LAMMPS+KOKKOS+DPD with CMake,2018,,,yes,1538162942.116263
7e78921,USER-DPD Kokkos: propagate 763a00e8 bugfix to pair_multi_lucy_rx_kokkos.cpp,2018,,,yes,1538162941.142607
cee94da,bugfix. avoiding operating on uninitialize data. closes #690,2018,,,yes,1538162939.124436
763a00e,USER-DPD: pair_multi_lucy_rx bugfix for systems with multiple atom types,2018,,,yes,1538162937.823299
16d6dfc,Bugfix for effective plastic strain rate calc,2018,,,yes,1538162928.006316
fff43a4,USER-DPD Kokkos: bugfix for npair_ssa_kokkos.cpp corresponding to 0cd3f0cd,2018,,,yes,1538162920.855511
03766db,apply bugfix for MEAM provided by Wolfgang Verestek on lammps-users,2018,,,yes,1538162914.174693
534b7ad,Bugfix for checking image flags,2018,,,yes,1538162912.739067
411c069,BUGFIX: Prevent possible deadlock in Irregular::create_atom and create_data,2018,,,yes,1538162911.213524
05d3518,bugfix from Axel,2018,,,yes,1538162874.640638
d58dd4f,bugfix when parsing mpirun,2018,,,yes,1538162873.118611
53342a5,address a few cosmetic issues flagged by -Wpedantic,2018,,,yes,1538162871.429224
cb971f0,Kokkos bugfix,2018,,,yes,1538162869.456952
8.499e+75,updates to USER-REAXC code in USER-OMP from Chris Knight. addresses issues with multiple threads in use,2018,,,yes,1538162866.633322
5a88d74,Corrected error in etail and ptail,2018,,,yes,1538162864.075734
8499e72,updates to USER-REAXC code in USER-OMP from Chris Knight. addresses issues with multiple threads in use,2018,,,yes,1538162857.165657
5ff5bc2,avoid issues detected by coverity scan,2018,,,yes,1538162850.55794
1725832.0,address issue where uninstalling an empty package will erase all code in src,2018,,,yes,1538162840.949001
1725832,address issue where uninstalling an empty package will erase all code in src,2018,,,yes,1538162839.96927
a6c0fb8,Corrected error in etail and ptail,2018,,,yes,1538162837.098089
d07703e,re-apply bugfix from two years ago,2018,,,yes,1538162836.087411
8e5d380,avoid possible memory leak,2018,,,yes,1538162834.898195
caa9907,bugfix,2018,,,yes,1538162833.79233
e634c5a,memory allocation bugfix for USER-INTEL pppm from M Brown,2018,,,yes,1538162821.97534
6886dcb,correct minor issues  so LAMMPS compiles again,2018,,,yes,1538162819.893089
5d787f7,avoid tiny memory leak  when the restart command is specified multiple times,2018,,,yes,1538162818.816268
4e4fd5f,BUG: Dumping to multiple files failed with an error message complaining about a missing 'append yes' option.,2018,,,yes,1538162805.130036
d625346,correct potential out-of-bounds memory access,2018,,,yes,1538162775.601696
5821fe8,correct out-of-bounds accesses,2018,,,yes,1538162759.696662
5c9892c,apply airebo/m bugfix also to USER-OMP version,2018,,,yes,1538162758.442044
730e3cb,correct small (but harmless) logic error.,2018,,,yes,1538162752.764869
396e0b5,correct broken link in html bond doc overview,2018,,,yes,1538162743.254958
5909bd5,correct bug in tracking atom->nlocal vs. atom->nmax when allocating pbc enforcement buffers,2018,,,yes,1538162742.183026
734729b,avoid small memory leak with USER-REAXC + USER-OMP  spotted by GCC's address sanitizer,2018,,,yes,1538162736.595085
5cbaf7c,correct commands table format issue,2018,,,yes,1538162703.520338
8bba6d3,correct formatting and broken/colliding link issues with LATTE package related documentation,2018,,,yes,1538162683.470156
791f18b,Corrected error in Liouville factorization,2018,,,yes,1538162682.373272
a111cf6,BUG: Proper handling of bigint data. Corrects behavior when compiled with LAMMPS_BIGBIG.,2018,,,yes,1538162681.390368
c3a2ed0,plug small memory leak in USER-OMP variants of pppm kspace styles,2018,,,yes,1538162680.125495
e13e403,avoid memory leak in pppm/disp/omp,2018,,,yes,1538162661.335814
c98bb7f,Corrected minor bug in utility script,2018,,,yes,1538162659.6173
50a82bb,address uninitialized variable issues pointed out by valgrind/coverity,2018,,,yes,1538162654.738313
338fc28,combine citeme.log entry for pair reax/c/omp and fix qeq/reax/omp,2018,,,yes,1538162645.34363
4a875dc,Workaround for compiler bug in gcc v4.9.3  manifest in KOKKOS SNAP,2018,,,yes,1538162642.34446
47e2ca6,apply bugfix to reaxff taper function as described in issue #828,2018,,,yes,1538162640.948346
7b89e47,apply corrections to issues reported by static code analysis,2018,,,yes,1538162634.184156
3bc1c6b,Address bug in multifile restart writing with step number included,2018,,,yes,1538162630.403505
eebf110,Further tweaked the flangevin issue,2018,,,yes,1538162628.574347
939b1b2,Workaround issue in pair_snap_kokkos_impl,2018,,,yes,1538162624.387648
5e+171,fix array bounds issue due to typo. spotted by GCC.,2018,,,yes,1538162614.37996
5e165e6,fix array bounds issue due to typo. spotted by GCC.,2018,,,yes,1538162607.404662
f2d005f,Fixed errors in FixRxKokkos kokkos neighbor lists initialization and usage and calls to computeLocalTemperature.,2018,,,yes,1538162606.049439
621d7d5,Correct off-by-one error in line number reported,2018,,,yes,1538162599.02719
323570c,added jpg for kolmogorov-crespi-z equations and fixed hybrid/overlay check in source,2018,,,yes,1538162597.786675
a7d790a,Fixes coverity issue CID 179439,2018,,,yes,1538162593.762064
8a630ff,Fixes coverity issue CID 179440,2018,,,yes,1538162593.419754
617ca4e,Fixes coverity issue CID 179436,2018,,,yes,1538162592.990065
084626e,Fixes coverity issue CID 179426,2018,,,yes,1538162592.244194
f03b5a8,Fixed problem with image flags in attempt_molecule_insertion_full() and cleaned things up a little.,2018,,,yes,1538162591.032439
20806dd,Fixed bugs with pppm/gpu when used with compute group/group,2018,,,yes,1538162589.808006
e30c5fc,Fixed shebang and renamed to lib/kim/Install.py,2018,,,yes,1538162566.540147
fb08dc0,Small error in elements allocation causing seg. fault for parallel runs  fixed.,2018,,,yes,1538162565.426693
06cc38e,Fixed so tabulated pair_vashishta uses same pair_modify command style as other pair styles,2018,,,yes,1538162561.03534
b96100c,Fixed header for the force field file,2018,,,yes,1538162557.099433
a5d401e,Fixed header for the force field file,2018,,,yes,1538162556.318633
b9d0f96,change purge target in Makefile  also fixed one issue with Make.py,2018,,,yes,1538162554.964164
27a6371,implement a `python source` command as suggested in issue #454,2018,,,yes,1538162554.582074
c58bc6f,Fixed pbc wrapping in case of spherical bins,2018,,,yes,1538162554.147865
4c19f60,Fixed uninitialized variable for multiple molecule in set,2018,,,yes,1538162553.577947
bdb7669,Fixed coding style.,2018,,,yes,1538162547.090531
532a4e6,Fixed broken examples by adding NULL after stess/atom commands,2018,,,yes,1538162546.304284
84de575,fixed case where no axial components are active,2018,,,yes,1538162545.434922
4b03a29,Fixed molecule mass when gcmc offset applied,2018,,,yes,1538162544.376453
3ca986f,Fixed undefined tdof in setup,2018,,,yes,1538162543.241986
2dcbc80,min latte partially fixed,2018,,,yes,1538162542.059262
da1a3ac,Fixed error in onemols initialization when gcmc uses non-first molecule template,2018,,,yes,1538162539.55084
64cf52d,address spline out-of-bounds bug reported in issue #59 and refactor high-level spline code for consistency and efficiency,2018,,,yes,1538162538.449267
5e35ab2,fixed sucrose,2018,,,yes,1538162536.7591
066e759,Fixed problem with box flips under NVT,2018,,,yes,1538162535.698926
48ba812,Fixed initialization of arrays in computes/fixes in MC package,2018,,,yes,1538162532.650681
28e3ebf,Fixed error in average option,2018,,,yes,1538162531.978585
5e811f1,Fixed initialization of arrays in computes,2018,,,yes,1538162531.399368
1f3ef8e,Fixed initialization of arrays in computes,2018,,,yes,1538162530.696679
ca55525,Fixed problem with read_dump xyz,2018,,,yes,1538162529.680493
d09a857,Fixed initialization of arrays in computes,2018,,,yes,1538162529.318598
0e7ce19,Fixed initialization of arrays in computes,2018,,,yes,1538162528.980689
7d43f34,Fixed initialization of arrays in computes,2018,,,yes,1538162528.663233
fcd54f0,Fixed initialization of arrays in computes,2018,,,yes,1538162528.29894
95dde5c,Fixed initialization of arrays in computes,2018,,,yes,1538162527.898398
3e793d6,Fixed initialization of arrays in computes,2018,,,yes,1538162523.63693
f58fc94,Fixed neighbor list building that caused error in parallel runs with pair_meam_spline.,2018,,,yes,1538162522.000517
b2e792d,fixed problem with exclusion,2018,,,yes,1538162521.56896
55fe1f6,fixed integer division problem in python code snippet,2018,,,yes,1538162520.610754
265cc14,Fixed initialization of arrays in fixes,2018,,,yes,1538162519.301785
db077ef,Fixed initialization of arrays in fixes,2018,,,yes,1538162518.603041
9161bd9,fixed bug with pair hybrid/overaly and manybody potentials finding the right skip neighbor method,2018,,,yes,1538162513.154323
c11e876,implement second bugfix suggestion from @CF17 on issue #59,2018,,,yes,1538162512.607206
1780c86,Fixed error in ave/time version,2018,,,yes,1538162512.056949
f9a21ae,Fixed initialization of arrays in computes/fixes in MANYBODY package,2018,,,yes,1538162511.495623
853eab8,Fixed problem in column_length(int),2018,,,yes,1538162510.960903
1f0a6ae,Fixed broken basal example,2018,,,yes,1538162510.190325
2c7241b,Fixed initialization of arrays in fixes,2018,,,yes,1538162508.002314
b5a5627,Fixed initialization of arrays in fixes,2018,,,yes,1538162504.243275
ee2f6de,Fixed initialization of arrays in fixes,2018,,,yes,1538162502.72415
07eb1d4,Fixed initialization of arrays in fixes,2018,,,yes,1538162502.143884
425142b,Fixed initialization of arrays in fixes,2018,,,yes,1538162501.773198
36e085e,Fixed initialization of arrays in fixes,2018,,,yes,1538162501.440206
d6b9d0b,Fixed initialization of arrays in fixes,2018,,,yes,1538162500.974245
fd05a13,Fixed initialization of arrays in fixes,2018,,,yes,1538162500.185529
9025f65,Fixed MINe type,2018,,,yes,1538162499.256872
dbc60d9,Fixed OpenCL compilation issues with __global keywords,2018,,,yes,1538162495.109568
edbb8bc,Fixed uninitialized variables,2018,,,yes,1538162494.275354
fc3505f,Fixed a number of issues after verifying against the KIM version,2018,,,yes,1538162492.950066
050a136,Fixed error in average option,2018,,,yes,1538162492.461016
d241f92,Fixed error in average option,2018,,,yes,1538162491.776949
2479d80,Fixed memory leak from rlist,2018,,,yes,1538162490.984635
904609a,Fixed issue with switching function derivative in PairAIREBO::FLJ,2018,,,yes,1538162489.903809
d7646ae,Fixed opencl error,2018,,,yes,1538162485.704074
b921b69,implement bugfix from issue #388,2018,,,yes,1538162484.694456
e551418,Fixed negligible error in Tersoff and COMB,2018,,,yes,1538162481.001967
a5234d7,fix bug reported by richard berger via https://ci.lammps.org/job/lammps/job/master/job/regression/160/testReport/junit/examples/msst/msst/,2018,,,yes,1538162473.79767
66b4c9b,implement modified version of balance and fix balance according to steve's suggestions and requirements,2018,,,yes,1538162472.502089
c0f1a32,fixed namespace issue,2018,,,yes,1538162471.245697
6f7bd78,Fixes issue #701,2018,,,yes,1538162467.022179
3d1d0c5,Cleaned up 3-body gpu styles  and fixed a bug for tersoff/zbl/gpu. There is a unresolved bug for neigh no with tpa > 1 with BaseThree  enforce tpa = 1 for neigh no in BaseThree for now.,2018,,,yes,1538162465.970676
e8b64a9,Fixed memory error in ewald_disp.cpp,2018,,,yes,1538162463.936721
5ae8de8,Fixing broken USER-INTEL examples,2018,,,yes,1538162462.705684
8503ac2,Fixed error->all instead of error->one bug in USER-DPD/fix_shardlow.cpp.,2018,,,yes,1538162458.83806
50c7234,Fix to communication for mpi. Tested  and now working correctly with MPI.,2018,,,yes,1538162457.442314
b1d3b56,apply bugfix reported in issue #820,2018,,,yes,1538162451.788876
fcb81d2,Fixing broken USER-EFF examples,2018,,,yes,1538162451.361533
7e1c6cc,Fixing more broken USER-EFF examples,2018,,,yes,1538162450.914289
d007fac,Fixing Kokkos output for number of OpenMP threads,2018,,,yes,1538162450.287226
5c5df89,Fixing segfault in USER-FEP,2018,,,yes,1538162449.426874
7ee45ec,Fixing tagint and imageint issues in Kokkos package,2018,,,yes,1538162448.263469
62c95d8,Fixing broken USER-EFF example,2018,,,yes,1538162442.531523
5ce8e2f,Fixing GPU memory issue in modify_kokkos  need to cherry pick back to Master,2018,,,yes,1538162441.016677
5da0d39,Fixing fdotr in pair_buck_coul_cut_kokkos,2018,,,yes,1538162440.404117
e564fc4,Fixing Kokkos default values,2018,,,yes,1538162439.255151
917ca19,Fixing GPU memory issue in modify_kokkos  need to cherry pick back to Master,2018,,,yes,1538162435.627847
def0d4e,Fixing logic error with suffix styles,2018,,,yes,1538162431.337155
3c88b2a,Fixing execution space issues in KOKKOS package,2018,,,yes,1538162430.750601
f4b6b67,Fixing more execution space issues in KOKKOS package,2018,,,yes,1538162429.984043
557e5b9,Fixing Kokkos execution space issue with regions,2018,,,yes,1538162426.816431
1834a5e,Fixing more Kokkos per-atom and fdotr issues,2018,,,yes,1538162424.88659
35803c7,Fixing issues found during GPU runtime testing,2018,,,yes,1538162423.012006
807d952,Fixing issues found during GPU runtime testing,2018,,,yes,1538162422.230984
8649794,Fixing CUDA runtime issues in fix_shardlow_kokkos,2018,,,yes,1538162421.208739
8649794.0,Fixing CUDA runtime issues in fix_shardlow_kokkos,2018,,,yes,1538162420.250133
b5e95a0,Fixing USER-CUDA compile error,2018,,,yes,1538162418.031124
e05b132,Fixing error check in fix_eos_table_rx_kokkos,2018,,,yes,1538162414.481047
ee9e7cf,Fixing Kokkos CUDA Makefile issue,2018,,,yes,1538162413.318595
bf8b5e4,Fixing broken basal example,2018,,,yes,1538162410.251523
be13ecf,Fixing Kokkos warnings,2018,,,yes,1538162406.924182
6cc969d,Fixing warnings in Kokkos,2018,,,yes,1538162406.599446
6d665f1,Fixing warning,2018,,,yes,1538162406.301164
b96b6b9,Fixing error checks,2018,,,yes,1538162405.976043
fc80281,Fixing bugs in per-atom,2018,,,yes,1538162405.707316
bf9517b,Fixing Kokkos bugs,2018,,,yes,1538162405.447274
384aef4,Fixing Kokkos bugs,2018,,,yes,1538162405.17899
579b616,Fixing restart error,2018,,,yes,1538162404.898172
7839c33,Fixing compile error with Kokkos CUDA Makefiles,2018,,,yes,1538162400.043013
c51cadc,Fixing CUDA runtime issues in fix_shardlow_kokkos,2018,,,yes,1538162399.722185
520ab26,Fixing more CUDA runtime issues,2018,,,yes,1538162399.419711
36cbe43,Fixing some CUDA runtime issues in npair_ssa_kokkos,2018,,,yes,1538162399.128148
14554c9,Fixing compile error in USER-OMP,2018,,,yes,1538162398.851984
9eb8702,Fixing Kokkos bugs,2018,,,yes,1538162398.275983
da43baf,Fixing a few bugs in Kokkos,2018,,,yes,1538162397.118529
8b4130c,Fixing issue with pressure in pair_hybrid_kokkos,2018,,,yes,1538162391.536635
da41fcb,Fixing Kokkos bugs,2018,,,yes,1538162391.122069
92ae19e,Fixing Kokkos bugs,2018,,,yes,1538162390.46969
34785af,Fixing Kokkos bugs,2018,,,yes,1538162389.888543
efe60bf,Fixing more CUDA runtime issues,2018,,,yes,1538162388.713884
d6a67c2,Fixing Kokkos bugs,2018,,,yes,1538162384.72307
d913f5e,Fixing Kokkos bugs,2018,,,yes,1538162384.421386
3580e54,Fixing Kokkos CUDA compile error,2018,,,yes,1538162383.840492
3.58e+57,Fixing Kokkos CUDA compile error,2018,,,yes,1538162383.578383
b4b7310,Fixing CUDA runtime issues in pair_exp6_rx_kokkos,2018,,,yes,1538162383.291797
e6ba3cc,Fixing Kokkos compile errors,2018,,,yes,1538162383.014127
cfa61b9,Fixing runtime issues in fix_eos_table_rx_kokkos,2018,,,yes,1538162382.12507
743148d,Fixing compile problem,2018,,,yes,1538162378.554128
7332692,Fixing Kokkos issue in fix_eos_table_rx_kokkos,2018,,,yes,1538162377.810975
7332692.0,Fixing Kokkos issue in fix_eos_table_rx_kokkos,2018,,,yes,1538162376.289338
2b29980,Fixing inheritance issue in pair_hybrid_overlay_kokkos,2018,,,yes,1538162375.489
d93e3d1,Fixing runtime issues with pair_exp6_rx_kokkos,2018,,,yes,1538162375.12409
13b6196,Fixing Kokkos compile error,2018,,,yes,1538162374.329711
c15d658,Fixing issue in pair_multi_lucy_rx_kokkos found by ibaned,2018,,,yes,1538162373.978656
59e5d36,Fixing region issue,2018,,,yes,1538162373.52547
35e1cf1,Fixing issue with ev_setup in pair_hybrid_kokkos,2018,,,yes,1538162369.850679
b889776,Fixing memory leak in Kokkos neighborlist,2018,,,yes,1538162369.560199
0da53bb,Fixing compile error,2018,,,yes,1538162369.282538
acdb932,Fixing index issue in pair_exp6_rx_kokkos,2018,,,yes,1538162369.002551
5897955,Fixing GPU memory issue in fix_eos_table_rx_kokkos,2018,,,yes,1538162368.697169
5897955.0,Fixing GPU memory issue in fix_eos_table_rx_kokkos,2018,,,yes,1538162368.401553
6f51c3b,Fixing issues in pair_multi_lucy_rx_kokkos,2018,,,yes,1538162367.510014
d2b6559,Fixing issue in fix_qeq_reax,2018,,,yes,1538162367.103899
2d32fa8,Fixing GPU memory issues in atom_vec_dpd_kokkos,2018,,,yes,1538162362.847179
a001a5c,Fixing memory overflow issue in comm_kokkos,2018,,,yes,1538162362.258729
c468727,Fixing issue in fix_wall_lj93_kokkos,2018,,,yes,1538162361.902954
5569c4c,Fixing GPU memory issue with fix_property_atom_kokkos,2018,,,yes,1538162361.286515
26c8d3d,Fixing GPU memory issue in fix_langevin_kokkos,2018,,,yes,1538162360.801422
b38733e,Fixing GPU memory issue in pair_exp6_rx_kokkos,2018,,,yes,1538162360.189514
de6442d,Fixing GPU memory issues in Kokkos,2018,,,yes,1538162356.339455
fc94f1b,Fixing GPU memory issues in Kokkos,2018,,,yes,1538162355.849692
6f92429,Fixing per-atom ev issue,2018,,,yes,1538162355.482179
440ce63,Fixing memory error,2018,,,yes,1538162355.036952
cd6f885,Fixing memory error,2018,,,yes,1538162354.465641
144780f,Fixing memory error,2018,,,yes,1538162353.729327
73177d6,Fixing GPU memory issue in domain_kokkos,2018,,,yes,1538162352.646388
3366136.0,Fixing Kokkos memory issue,2018,,,yes,1538162351.94189
3366136,Fixing Kokkos memory issue,2018,,,yes,1538162351.272134
f47a40b,Fixing Kokkos memory deallocation issue,2018,,,yes,1538162350.295895
f314fbc,Fixing some Kokkos issues,2018,,,yes,1538162345.812339
04fd038,Fixed a bug with equal-style variables as manifold params.,2018,,,yes,1538162342.055218
7e58f08,Fixing bug in pppm/intel for AVX-512 with single precision and ik diff. This commit simplifies the code by eliminating packing optimizations that were slower under typical parameters and had some memory bugs.,2018,,,yes,1538162335.121372
daf9f95,Fixing Kokkos per-atom e/v issue,2018,,,yes,1538162334.089132
fd1e707,Fixing Kokkos issue,2018,,,yes,1538162333.427853
b3d89e0,Fixing another Kokkos issue,2018,,,yes,1538162332.707996
6b79bbf,Fixing Kokkos memory issue,2018,,,yes,1538162331.744393
76acb8c,Fixing Kokkos memory issue,2018,,,yes,1538162330.87055
4381db8,correct the bug discovered by stan due to uninitialized scale factors for eam/alloy/omp and eam/fs/omp,2018,,,yes,1538162329.896532
fa5ec0b,Fixes with post-force() not allowed after fix rigid or rigid/small,2018,,,yes,1538162325.454213
721b312,Fixing small bug in Kokkos pair styles with long-range Coulombics,2018,,,yes,1538162311.83053
afd2f6b,Fixing small bug in run-style verlet split,2018,,,yes,1538162309.82974
083ff54,small bug fixes,2018,,,yes,1538162308.986849
4f19525,Fixing bug with Kokkos and reading restart files,2018,,,yes,1538162308.124518
f4d0aa3,correct cut-n-paste bug reported by Massimo Pica Ciamarra on lammps-users,2018,,,yes,1538162299.784269
a67cb06,Fixing small Kokkos bug,2018,,,yes,1538162289.379884
000df6e,Fixing what seems to be a Kokkos bug  I will submit to Kokkos lib developers too,2018,,,yes,1538162288.397403
27172c4,Fixing Kokkos bug when many atom types,2018,,,yes,1538162287.460509
e2117af,Fixing Kokkos bug,2018,,,yes,1538162286.586639
0af9203,remove useless and incorrect neighbor list request in fix qeq/comb/omp,2018,,,yes,1538162276.742601
0565b1d,Fixing auto_sync logic bug in modify_kokkos,2018,,,yes,1538162275.978583
688b1f1,Fixing bug in Kokkos ReaxFF,2018,,,yes,1538162275.579876
116ae9d,Fixing copy bug in pair_exp6_rx_kokkos,2018,,,yes,1538162275.204792
635151.0,Fixing neighbor bug,2018,,,yes,1538162274.465924
f45b388,Fixing a bug in the kspace error estimator for triclinic systems,2018,,,yes,1538162270.25434
5b7ab13,Fixing Kokkos neighbor bug,2018,,,yes,1538162269.606838
9e23f05,Fixing Kokkos bug,2018,,,yes,1538162268.565336
630783c,Fixing neighbor bug,2018,,,yes,1538162267.846616
1a1b81c,Fixing Kokkos bug,2018,,,yes,1538162264.275259
daf766d,Fixing Kokkos neighbor bug,2018,,,yes,1538162263.824325
0635151,Fixing neighbor bug,2018,,,yes,1538162263.458067
b6be862,Fixing Kokkos bug,2018,,,yes,1538162261.732908
0541d52,Fixing Kokkos bug,2018,,,yes,1538162261.361349
eb10541,Fixing Kokkos bug,2018,,,yes,1538162260.622568
8c4d592,Fixing Kokkos bug,2018,,,yes,1538162256.396736
c8fb847,Fixing Kokkos bug,2018,,,yes,1538162255.627701
8ee124a,Fixing Kokkos bug,2018,,,yes,1538162255.336796
2ad2326,Fixing Kokkos bug,2018,,,yes,1538162254.914876
42ef877,Fixing Kokkos bug with restarts,2018,,,yes,1538162253.99588
dca90d4,Fixing Kokkos bug,2018,,,yes,1538162253.410679
c210fae,Fixing Kokkos memory bug,2018,,,yes,1538162252.806265
72a1dc1,Fixing bug in qeq,2018,,,yes,1538162252.073365
5c6e7b1,BUGFIX: fix a copy-o in build_Item_Ghost(): xbin2  etc. should be an int xbin2  ybin2  and zbin2 are temporary integer bin coordinates  not floats!,2018,,,yes,1538162248.699822
89fc866,Fixing bug on Macs,2018,,,yes,1538162241.173231
aaa76b5,Fixing bug,2018,,,yes,1538162238.686937
49dd944,fix gcmc updates from Aidan  trimming of output for replica commands,2018,,,yes,1538162229.182375
e7825ba,import fix halt prototype code with corrections for soft exit,2018,,,yes,1538162199.803766
1995f43,fix some more code formatting issues  add newline at EOF,2018,,,yes,1538162144.378958
925481c,USER-DPD: Fix hard-wall force interaction bug  and ensure fraction is >= 0 pair_exp6_rx.cpp patch by Jim Larentzos.  Applied by Tim Mattox.,2018,,,yes,1538162122.284816
92d15d4,replace string compare with enums  fix memory leak  formatting cleanup,2018,,,yes,1538162115.573628
44841f6,fix ave/chunk fixes  2d disc option  fix_modify dynamic/dof,2018,,,yes,1538162107.746886
1ac9081,fix external only needs to collect virial in case it is requested,2018,,,yes,1538162106.83166
c24fca6,fix possible uninitialized data access with pppm and pppm/disp,2018,,,yes,1538162105.97837
f735a66,Fixed bug in qtype bugfix,2018,,,yes,1538162104.857448
5c37fcc,fix ti/spring for eam/allow and eam/fs,2018,,,yes,1538162102.956246
37d5567,Fixed bug in lamda_box_corners function,2018,,,yes,1538162093.825565
8.86e+172,Fixed triclinic bug in gcmc and qtype bug atom/swap,2018,,,yes,1538162090.141505
5cbf3cf,Fixed triclinic bug in gcmc and qtype bug atom/swap,2018,,,yes,1538162088.172543
0eeb240,whitespace cleanup  fix bug in looking for empty strings  improve read performance and handling of comments,2018,,,yes,1538162082.0391
0da2e17,Fixed triclinic bug in gcmc and qtype bug atom/swap,2018,,,yes,1538162079.09367
54210d7,Fixed triclinic bug in gcmc and qtype bug atom/swap,2018,,,yes,1538162077.957238
bb141aa,USER-INTEL: Bug fix for case where a bond/angle/dihedral/improper style is specified  but there are no bond/... types and therefore no allocation.,2018,,,yes,1538162076.588803
c083d5d,fix memory leak in list of neighbor list requests,2018,,,yes,1538162074.799391
423e3b6,integrate fix wall/ees and wall/region/ees into doc system,2018,,,yes,1538162073.45954
